,title,text
0,A Child's Christmas In Wales,"One Christmas was so much like another, in those years around the sea-town corner now and out of all sound except the distant speaking of the voices I sometimes hear a moment before sleep, that I can never remember whether it snowed for six days and six nights when I was twelve or whether it snowed for twelve days and twelve nights when I was six.

All the Christmases roll down toward the two-tongued sea, like a cold and headlong moon bundling down the sky that was our street; and they stop at the rim of the ice-edged fish-freezing waves, and I plunge my hands in the snow and bring out whatever I can find. In goes my hand into that wool-white bell-tongued ball of holidays resting at the rim of the carol-singing sea, and out come Mrs. Prothero and the firemen.

It was on the afternoon of the Christmas Eve, and I was in Mrs. Prothero's garden, waiting for cats, with her son Jim. It was snowing. It was always snowing at Christmas. December, in my memory, is white as Lapland, though there were no reindeer's. But there were cats. Patient, cold and callous, our hands wrapped in socks, we waited to snowball the cats. Sleek and long as jaguars and horrible-whiskered, spitting and snarling, they would slink and sidle over the white back-garden walls, and the lynx-eyed hunters, Jim and I, fur-capped and moccasined trappers from Hudson Bay, off Mumbles Road, would hurl our deadly snowballs at the green of their eyes. The wise cats never appeared.

We were so still, Eskimo-footed arctic marksmen in the muffling silence of the eternal snows - eternal, ever since Wednesday - that we never heard Mrs. Prothero's first cry from her igloo at the bottom of the garden. Or, if we heard it at all, it was, to us, like the far-off challenge of our enemy and prey, the neighbor's polar cat. But soon the voice grew louder.
""Fire!"" cried Mrs. Prothero, and she beat the dinner-gong.

And we ran down the garden, with the snowballs in our arms, toward the house; and smoke, indeed, was pouring out of the dining-room, and the gong was bombilating, and Mrs. Prothero was announcing ruin like a town crier in Pompeii. This was better than all the cats in Wales standing on the wall in a row. We bounded into the house, laden with snowballs, and stopped at the open door of the smoke-filled room.

Something was burning all right; perhaps it was Mr. Prothero, who always slept there after midday dinner with a newspaper over his face. But he was standing in the middle of the room, saying, ""A fine Christmas!"" and smacking at the smoke with a slipper.

""Call the fire brigade,"" cried Mrs. Prothero as she beat the gong.
""There won't be there,"" said Mr. Prothero, ""it's Christmas.""
There was no fire to be seen, only clouds of smoke and Mr. Prothero standing in the middle of them, waving his slipper as though he were conducting.
""Do something,"" he said. And we threw all our snowballs into the smoke - I think we missed Mr. Prothero - and ran out of the house to the telephone box.
""Let's call the police as well,"" Jim said. ""And the ambulance."" ""And Ernie Jenkins, he likes fires.""

But we only called the fire brigade, and soon the fire engine came and three tall men in helmets brought a hose into the house and Mr. Prothero got out just in time before they turned it on. Nobody could have had a noisier Christmas Eve. And when the firemen turned off the hose and were standing in the wet, smoky room, Jim's Aunt, Miss. Prothero, came downstairs and peered in at them. Jim and I waited, very quietly, to hear what she would say to them. She said the right thing, always. She looked at the three tall firemen in their shining helmets, standing among the smoke and cinders and dissolving snowballs, and she said, ""Would you like anything to read?""

Years and years ago, when I was a boy, when there were wolves in Wales, and birds the color of red-flannel petticoats whisked past the harp-shaped hills, when we sang and wallowed all night and day in caves that smelt like Sunday afternoons in damp front farmhouse parlors, and we chased, with the jawbones of deacons, the English and the bears, before the motor car, before the wheel, before the duchess-faced horse, when we rode the daft and happy hills bareback, it snowed and it snowed. But here a small boy says: ""It snowed last year, too. I made a snowman and my brother knocked it down and I knocked my brother down and then we had tea.""

""But that was not the same snow,"" I say. ""Our snow was not only shaken from white wash buckets down the sky, it came shawling out of the ground and swam and drifted out of the arms and hands and bodies of the trees; snow grew overnight on the roofs of the houses like a pure and grandfather moss, minutely -ivied the walls and settled on the postman, opening the gate, like a dumb, numb thunder-storm of white, torn Christmas cards.""

""Were there postmen then, too?""
""With sprinkling eyes and wind-cherried noses, on spread, frozen feet they crunched up to the doors and mittened on them manfully. But all that the children could hear was a ringing of bells.""
""You mean that the postman went rat-a-tat-tat and the doors rang?""
""I mean that the bells the children could hear were inside them.""
""I only hear thunder sometimes, never bells.""
""There were church bells, too.""
""Inside them?""
""No, no, no, in the bat-black, snow-white belfries, tugged by bishops and storks. And they rang their tidings over the bandaged town, over the frozen foam of the powder and ice-cream hills, over the crackling sea. It seemed that all the churches boomed for joy under my window; and the weathercocks crew for Christmas, on our fence.""

""Get back to the postmen""
""They were just ordinary postmen, found of walking and dogs and Christmas and the snow. They knocked on the doors with blue knuckles ....""
""Ours has got a black knocker....""
""And then they stood on the white Welcome mat in the little, drifted porches and huffed and puffed, making ghosts with their breath, and jogged from foot to foot like small boys wanting to go out.""
""And then the presents?""
""And then the Presents, after the Christmas box. And the cold postman, with a rose on his button-nose, tingled down the tea-tray-slithered run of the chilly glinting hill. He went in his ice-bound boots like a man on fishmonger's slabs.
""He wagged his bag like a frozen camel's hump, dizzily turned the corner on one foot, and, by God, he was gone.""

""Get back to the Presents.""
""There were the Useful Presents: engulfing mufflers of the old coach days, and mittens made for giant sloths; zebra scarfs of a substance like silky gum that could be tug-o'-warred down to the galoshes; blinding tam-o'-shanters like patchwork tea cozies and bunny-suited busbies and balaclavas for victims of head-shrinking tribes; from aunts who always wore wool next to the skin there were mustached and rasping vests that made you wonder why the aunts had any skin left at all; and once I had a little crocheted nose bag from an aunt now, alas, no longer whinnying with us. And pictureless books in which small boys, though warned with quotations not to, would skate on Farmer Giles' pond and did and drowned; and books that told me everything about the wasp, except why.""

""Go on the Useless Presents.""
""Bags of moist and many-colored jelly babies and a folded flag and a false nose and a tram-conductor's cap and a machine that punched tickets and rang a bell; never a catapult; once, by mistake that no one could explain, a little hatchet; and a celluloid duck that made, when you pressed it, a most unducklike sound, a mewing moo that an ambitious cat might make who wished to be a cow; and a painting book in which I could make the grass, the trees, the sea and the animals any colour I pleased, and still the dazzling sky-blue sheep are grazing in the red field under the rainbow-billed and pea-green birds. Hardboileds, toffee, fudge and allsorts, crunches, cracknels, humbugs, glaciers, marzipan, and butterwelsh for the Welsh. And troops of bright tin soldiers who, if they could not fight, could always run. And Snakes-and-Families and Happy Ladders. And Easy Hobbi-Games for Little Engineers, complete with instructions. Oh, easy for Leonardo! And a whistle to make the dogs bark to wake up the old man next door to make him beat on the wall with his stick to shake our picture off the wall. And a packet of cigarettes: you put one in your mouth and you stood at the corner of the street and you waited for hours, in vain, for an old lady to scold you for smoking a cigarette, and then with a smirk you ate it. And then it was breakfast under the balloons.""

""Were there Uncles like in our house?""
""There are always Uncles at Christmas. The same Uncles. And on Christmas morning, with dog-disturbing whistle and sugar fags, I would scour the swatched town for the news of the little world, and find always a dead bird by the Post Office or by the white deserted swings; perhaps a robin, all but one of his fires out. Men and women wading or scooping back from chapel, with taproom noses and wind-bussed cheeks, all albinos, huddles their stiff black jarring feathers against the irreligious snow. Mistletoe hung from the gas brackets in all the front parlors; there was sherry and walnuts and bottled beer and crackers by the dessertspoons; and cats in their fur-abouts watched the fires; and the high-heaped fire spat, all ready for the chestnuts and the mulling pokers. Some few large men sat in the front parlors, without their collars, Uncles almost certainly, trying their new cigars, holding them out judiciously at arms' length, returning them to their mouths, coughing, then holding them out again as though waiting for the explosion; and some few small aunts, not wanted in the kitchen, nor anywhere else for that matter, sat on the very edge of their chairs, poised and brittle, afraid to break, like faded cups and saucers.""

Not many those mornings trod the piling streets: an old man always, fawn-bowlered, yellow-gloved and, at this time of year, with spats of snow, would take his constitutional to the white bowling green and back, as he would take it wet or fire on Christmas Day or Doomsday; sometimes two hale young men, with big pipes blazing, no overcoats and wind blown scarfs, would trudge, unspeaking, down to the forlorn sea, to work up an appetite, to blow away the fumes, who knows, to walk into the waves until nothing of them was left but the two furling smoke clouds of their inextinguishable briars. Then I would be slap-dashing home, the gravy smell of the dinners of others, the bird smell, the brandy, the pudding and mince, coiling up to my nostrils, when out of a snow-clogged side lane would come a boy the spit of myself, with a pink-tipped cigarette and the violet past of a black eye, cocky as a bullfinch, leering all to himself.

I hated him on sight and sound, and would be about to put my dog whistle to my lips and blow him off the face of Christmas when suddenly he, with a violet wink, put his whistle to his lips and blew so stridently, so high, so exquisitely loud, that gobbling faces, their cheeks bulged with goose, would press against their tinsled windows, the whole length of the white echoing street. For dinner we had turkey and blazing pudding, and after dinner the Uncles sat in front of the fire, loosened all buttons, put their large moist hands over their watch chains, groaned a little and slept. Mothers, aunts and sisters scuttled to and fro, bearing tureens. Auntie Bessie, who had already been frightened, twice, by a clock-work mouse, whimpered at the sideboard and had some elderberry wine. The dog was sick. Auntie Dosie had to have three aspirins, but Auntie Hannah, who liked port, stood in the middle of the snowbound back yard, singing like a big-bosomed thrush. I would blow up balloons to see how big they would blow up to; and, when they burst, which they all did, the Uncles jumped and rumbled. In the rich and heavy afternoon, the Uncles breathing like dolphins and the snow descending, I would sit among festoons and Chinese lanterns and nibble dates and try to make a model man-o'-war, following the Instructions for Little Engineers, and produce what might be mistaken for a sea-going tramcar.

Or I would go out, my bright new boots squeaking, into the white world, on to the seaward hill, to call on Jim and Dan and Jack and to pad through the still streets, leaving huge footprints on the hidden pavements.
""I bet people will think there's been hippos.""
""What would you do if you saw a hippo coming down our street?""
""I'd go like this, bang! I'd throw him over the railings and roll him down the hill and then I'd tickle him under the ear and he'd wag his tail.""
""What would you do if you saw two hippos?""

Iron-flanked and bellowing he-hippos clanked and battered through the scudding snow toward us as we passed Mr. Daniel's house.
""Let's post Mr. Daniel a snow-ball through his letter box.""
""Let's write things in the snow.""
""Let's write, 'Mr. Daniel looks like a spaniel' all over his lawn.""
Or we walked on the white shore. ""Can the fishes see it's snowing?""

The silent one-clouded heavens drifted on to the sea. Now we were snow-blind travelers lost on the north hills, and vast dewlapped dogs, with flasks round their necks, ambled and shambled up to us, baying ""Excelsior."" We returned home through the poor streets where only a few children fumbled with bare red fingers in the wheel-rutted snow and cat-called after us, their voices fading away, as we trudged uphill, into the cries of the dock birds and the hooting of ships out in the whirling bay. And then, at tea the recovered Uncles would be jolly; and the ice cake loomed in the center of the table like a marble grave. Auntie Hannah laced her tea with rum, because it was only once a year.

Bring out the tall tales now that we told by the fire as the gaslight bubbled like a diver. Ghosts whooed like owls in the long nights when I dared not look over my shoulder; animals lurked in the cubbyhole under the stairs and the gas meter ticked. And I remember that we went singing carols once, when there wasn't the shaving of a moon to light the flying streets. At the end of a long road was a drive that led to a large house, and we stumbled up the darkness of the drive that night, each one of us afraid, each one holding a stone in his hand in case, and all of us too brave to say a word. The wind through the trees made noises as of old and unpleasant and maybe webfooted men wheezing in caves. We reached the black bulk of the house. ""What shall we give them? Hark the Herald?""
""No,"" Jack said, ""Good King Wencelas. I'll count three."" One, two three, and we began to sing, our voices high and seemingly distant in the snow-felted darkness round the house that was occupied by nobody we knew. We stood close together, near the dark door. Good King Wencelas looked out On the Feast of Stephen ... And then a small, dry voice, like the voice of someone who has not spoken for a long time, joined our singing: a small, dry, eggshell voice from the other side of the door: a small dry voice through the keyhole. And when we stopped running we were outside our house; the front room was lovely; balloons floated under the hot-water-bottle-gulping gas; everything was good again and shone over the town.
""Perhaps it was a ghost,"" Jim said.
""Perhaps it was trolls,"" Dan said, who was always reading.
""Let's go in and see if there's any jelly left,"" Jack said. And we did that.

Always on Christmas night there was music. An uncle played the fiddle, a cousin sang ""Cherry Ripe,"" and another uncle sang ""Drake's Drum."" It was very warm in the little house. Auntie Hannah, who had got on to the parsnip wine, sang a song about Bleeding Hearts and Death, and then another in which she said her heart was like a Bird's Nest; and then everybody laughed again; and then I went to bed. Looking through my bedroom window, out into the moonlight and the unending smoke-colored snow, I could see the lights in the windows of all the other houses on our hill and hear the music rising from them up the long, steady falling night. I turned the gas down, I got into bed. I said some words to the close and holy darkness, and then I slept."
1,A Letter To My Aunt,"A Letter To My Aunt Discussing The Correct Approach To Modern Poetry


To you, my aunt, who would explore
The literary Chankley Bore,
The paths are hard, for you are not
A literary Hottentot
But just a kind and cultured dame
Who knows not Eliot (to her shame).
Fie on you, aunt, that you should see
No genius in David G.,
No elemental form and sound
In T.S.E. and Ezra Pound.
Fie on you, aunt! I'll show you how
To elevate your middle brow,
And how to scale and see the sights
From modernist Parnassian heights.

First buy a hat, no Paris model
But one the Swiss wear when they yodel,
A bowler thing with one or two
Feathers to conceal the view;
And then in sandals walk the street
(All modern painters use their feet
For painting, on their canvas strips,
Their wives or mothers, minus hips).

Perhaps it would be best if you
Created something very new,
A dirty novel done in Erse
Or written backwards in Welsh verse,
Or paintings on the backs of vests,
Or Sanskrit psalms on lepers' chests.
But if this proved imposs-i-ble
Perhaps it would be just as well,
For you could then write what you please,
And modern verse is done with ease.

Do not forget that 'limpet' rhymes
With 'strumpet' in these troubled times,
And commas are the worst of crimes;
Few understand the works of Cummings,
And few James Joyce's mental slummings,
And few young Auden's coded chatter;
But then it is the few that matter.
Never be lucid, never state,
If you would be regarded great,
The simplest thought or sentiment,
(For thought, we know, is decadent);
Never omit such vital words
As belly, genitals and -----,
For these are things that play a part
(And what a part) in all good art.
Remember this: each rose is wormy,
And every lovely woman's germy;
Remember this: that love depends
On how the Gallic letter bends;
Remember, too, that life is hell
And even heaven has a smell
Of putrefying angels who
Make deadly whoopee in the blue.
These things remembered, what can stop
A poet going to the top?

A final word: before you start
The convulsions of your art,
Remove your brains, take out your heart;
Minus these curses, you can be
A genius like David G.

Take courage, aunt, and send your stuff
To Geoffrey Grigson with my luff,
And may I yet live to admire
How well your poems light the fire."
2,A Process in the Weather of the Heart,"A process in the weather of the heart
Turns damp to dry; the golden shot
Storms in the freezing tomb.
A weather in the quarter of the veins
Turns night to day; blood in their suns
Lights up the living worm.

A process in the eye forewarns
The bones of blindness; and the womb
Drives in a death as life leaks out.

A darkness in the weather of the eye
Is half its light; the fathomed sea
Breaks on unangled land.
The seed that makes a forest of the loin
Forks half its fruit; and half drops down,
Slow in a sleeping wind.

A weather in the flesh and bone
Is damp and dry; the quick and dead
Move like two ghosts before the eye.

A process in the weather of the world
Turns ghost to ghost; each mothered child
Sits in their double shade.
A process blows the moon into the sun,
Pulls down the shabby curtains of the skin;
And the heart gives up its dead."
3,A Refusal to Mourn the Death...,"Never until the mankind making
Bird beast and flower
Fathering and all humbling darkness
Tells with silence the last light breaking
And the still hour
Is come of the sea tumbling in harness

And I must enter again the round
Zion of the water bead
And the synagogue of the ear of corn
Shall I let pray the shadow of a sound
Or sow my salt seed
In the least valley of sackcloth to mourn

The majesty and burning of the child's death.
I shall not murder
The mankind of her going with a grave truth
Nor blaspheme down the stations of the breath
With any further
Elegy of innocence and youth.

Deep with the first dead lies London's daughter,
Robed in the long friends,
The grains beyond age, the dark veins of her mother,
Secret by the unmourning water
Of the riding Thames.
After the first death, there is no other."
4,After the Funeral (In memory of Ann Jones),"After the funeral, mule praises, brays,
Windshake of sailshaped ears, muffle-toed tap
Tap happily of one peg in the thick
Grave's foot, blinds down the lids, the teeth in black,
The spittled eyes, the salt ponds in the sleeves,
Morning smack of the spade that wakes up sleep,
Shakes a desolate boy who slits his throat
In the dark of the coffin and sheds dry leaves,
That breaks one bone to light with a judgment clout'
After the feast of tear-stuffed time and thistles
In a room with a stuffed fox and a stale fern,
I stand, for this memorial's sake, alone
In the snivelling hours with dead, humped Ann
Whose hodded, fountain heart once fell in puddles
Round the parched worlds of Wales and drowned each sun
(Though this for her is a monstrous image blindly
Magnified out of praise; her death was a still drop;
She would not have me sinking in the holy
Flood of her heart's fame; she would lie dumb and deep
And need no druid of her broken body).
But I, Ann's bard on a raised hearth, call all
The seas to service that her wood-tongued virtue
Babble like a bellbuoy over the hymning heads,
Bow down the walls of the ferned and foxy woods
That her love sing and swing through a brown chapel,
Blees her bent spirit with four, crossing birds.
Her flesh was meek as milk, but this skyward statue
With the wild breast and blessed and giant skull
Is carved from her in a room with a wet window
In a fiercely mourning house in a crooked year.
I know her scrubbed and sour humble hands
Lie with religion in their cramp, her threadbare
Whisper in a damp word, her wits drilled hollow,
Her fist of a face died clenched on a round pain;
And sculptured Ann is seventy years of stone.
These cloud-sopped, marble hands, this monumental
Argument of the hewn voice, gesture and psalm
Storm me forever over her grave until
The stuffed lung of the fox twitch and cry Love
And the strutting fern lay seeds on the black sill."
5,All All and All,"I

All all and all the dry worlds lever,
Stage of the ice, the solid ocean,
All from the oil, the pound of lava.
City of spring, the governed flower,
Turns in the earth that turns the ashen
Towns around on a wheel of fire.

How now my flesh, my naked fellow,
Dug of the sea, the glanded morrow,
Worm in the scalp, the staked and fallow.
All all and all, the corpse's lover,
Skinny as sin, the foaming marrow,
All of the flesh, the dry worlds lever.


II

Fear not the waking world, my mortal,
Fear not the flat, synthetic blood,
Nor the heart in the ribbing metal.
Fear not the tread, the seeded milling,
The trigger and scythe, the bridal blade,
Nor the flint in the lover's mauling.

Man of my flesh, the jawbone riven,
Know now the flesh's lock and vice,
And the cage for the scythe-eyed raver.
Know, O my bone, the jointed lever,
Fear not the screws that turn the voice,
And the face to the driven lover.


III

All all and all the dry worlds couple,
Ghost with her ghost, contagious man
With the womb of his shapeless people.
All that shapes from the caul and suckle,
Stroke of mechanical flesh on mine,
Square in these worlds the mortal circle.

Flower, flower the people's fusion,
O light in zenith, the coupled bud,
And the flame in the flesh's vision.
Out of the sea, the drive of oil,
Socket and grave, the brassy blood,
Flower, flower, all all and all."
6,All All And All The Dry Worlds Lever,"I

All all and all the dry worlds lever,
Stage of the ice, the solid ocean,
All from the oil, the pound of lava.
City of spring, the governed flower,
Turns in the earth that turns the ashen
Towns around on a wheel of fire.

How now my flesh, my naked fellow,
Dug of the sea, the glanded morrow,
Worm in the scalp, the staked and fallow.
All all and all, the corpse's lover,
Skinny as sin, the foaming marrow,
All of the flesh, the dry worlds lever.


II

Fear not the waking world, my mortal,
Fear not the flat, synthetic blood,
Nor the heart in the ribbing metal.
Fear not the tread, the seeded milling,
The trigger and scythe, the bridal blade,
Nor the flint in the lover's mauling.

Man of my flesh, the jawbone riven,
Know now the flesh's lock and vice,
And the cage for the scythe-eyed raver.
Know, O my bone, the jointed lever,
Fear not the screws that turn the voice,
And the face to the driven lover.


III

All all and all the dry worlds couple,
Ghost with her ghost, contagious man
With the womb of his shapeless people.
All that shapes from the caul and suckle,
Stroke of mechanical flesh on mine,
Square in these worlds the mortal circle.

Flower, flower the people's fusion,
O light in zenith, the coupled bud,
And the flame in the flesh's vision.
Out of the sea, the drive of oil,
Socket and grave, the brassy blood,
Flower, flower, all all and all."
7,All That I Owe the Fellows of the Grave,"All that I owe the fellows of the grave
And all the dead bequeathed from pale estates
Lies in the fortuned bone, the flask of blood,
Like senna stirs along the ravaged roots.
O all I owe is all the flesh inherits,
My fathers' loves that pull upon my nerves,
My sisters tears that sing upon my head
My brothers' blood that salts my open wounds

Heir to the scalding veins that hold love's drop,
My fallen filled, that had the hint of death,
Heir to the telling senses that alone
Acquaint the flesh with a remembered itch,
I round this heritage as rounds the sun
His winy sky, and , as the candles moon,
Cast light upon my weather. I am heir
To women who have twisted their last smile,
To children who were suckled on a plague,
To young adorers dying on a kiss.
All such disease I doctor in my blood,
And all such love's a shrub sown in the breath.

Then look, my eyes, upon this bonehead fortune
And browse upon the postures of the dead;
All night and day I eye the ragged globe
Through periscopes rightsighted from the grave;
All night and day I wander in these same
Wax clothes that wax upon the ageing ribs;
All night my fortune slumbers in its sheet.
Then look, my heart, upon the scarlet trove,
And look, my grain, upon the falling wheat;
All night my fortune slumbers in its sheet."
8,Altarwise by Owl-Light,".Altarwise by owl-light in the half-way house
 The gentleman lay graveward with his furies;
 Abaddon in the hangnail cracked from Adam,
 And, from his fork, a dog among the fairies,
 The atlas-eater with a jaw for news,
 Bit out the mandrake with to-morrows scream.
 Then, penny-eyed, that gentlemen of wounds,
 Old cock from nowheres and the heaven's egg,
 With bones unbuttoned to the half-way winds,
 Hatched from the windy salvage on one leg,
 Scraped at my cradle in a walking word
 That night of time under the Christward shelter:
 I am the long world's gentlemen, he said,
 And share my bed with Capricorn and Cancer.

 Death is all metaphors, shape in one history;
 The child that sucketh long is shooting up,
 The planet-ducted pelican of circles
 Weans on an artery the genders strip;
 Child of the short spark in a shapeless country
 Soon sets alight a long stick from the cradle;
 The horizontal cross-bones of Abaddon,
 You by the cavern over the black stairs,
 Rung bone and blade, the verticals of Adam,
 And, manned by midnight, Jacob to the stars.
 Hairs of your head, then said the hollow agent,
 Are but the roots of nettles and feathers
 Over the groundwork's thrusting through a pavement
 And hemlock-headed in the wood of weathers.

 First there was the lamb on knocking knees
 And three dead seasons on a climbing grave
 That Adam's wether in the flock of horns,
 Butt of the tree-tailed worm that mounted Eve,
 Horned down with skullfoot and the skull of toes
 On thunderous pavements in the garden of time;
 Rip of the vaults, I took my marrow-ladle
 Out of the wrinkled undertaker's van,
 And, Rip Van Winkle from a timeless cradle,
 Dipped me breast-deep in the descending bone;
 The black ram, shuffling of the year, old winter,
 Alone alive among his mutton fold,
 We rung our weathering changes on the ladder,
 Said the antipodes, and twice spring chimed.

 What is the metre of the dictionary?
 The size of genesis? the short spark's gender?
 Shade without shape? the shape of the Pharaohs echo?
 (My shape of age nagging the wounded whisper.)
 Which sixth of wind blew out the burning gentry?
 (Questions are hunchbacks to the poker marrow.)
 What of a bamboo man among your acres?
 Corset the boneyards for a crooked boy?
 Button your bodice on a hump of splinters,
 My camel's eyes will needle through the shroud.
 Loves reflection of the mushroom features,
 Still snapped by night in the bread-sided field,
 Once close-up smiling in the wall of pictures,
 Arc-lamped thrown back upon the cutting flood."
9,Among Those Killed In The Dawn Raid Was A Man Aged A Hundred,"When the morning was waking over the war
He put on his clothes and stepped out and he died,
The locks yawned loose and a blast blew them wide,
He dropped where he loved on the burst pavement stone
And the funeral grains of the slaughtered floor.
Tell his street on its back he stopped a sun
And the craters of his eyes grew springshots and fire
When all the keys shot from the locks, and rang.
Dig no more for the chains of his grey-haired heart.
The heavenly ambulance drawn by a wound
Assembling waits for the spade's ring on the cage.
O keep his bones away from the common cart,
The morning is flying on the wings of his age
And a hundred storks perch on the sun's right hand."
