,title,text
0,Advertisement For The Waldorf-Astoria,"Fine living . . . a la carte?
    Come to the Waldorf-Astoria!

    LISTEN HUNGRY ONES!
Look! See what Vanity Fair says about the
    new Waldorf-Astoria:

    ""All the luxuries of private home. . . .""
Now, won't that be charming when the last flop-house
    has turned you down this winter?
    Furthermore:
""It is far beyond anything hitherto attempted in the hotel
    world. . . ."" It cost twenty-eight million dollars. The fa-
    mous Oscar Tschirky is in charge of banqueting.
    Alexandre Gastaud is chef. It will be a distinguished
    background for society.
So when you've no place else to go, homeless and hungry
    ones, choose the Waldorf as a background for your rags--
(Or do you still consider the subway after midnight good
    enough?)

       ROOMERS
Take a room at the new Waldorf, you down-and-outers--
    sleepers in charity's flop-houses where God pulls a
    long face, and you have to pray to get a bed.
They serve swell board at the Waldorf-Astoria. Look at the menu, will
you:

    GUMBO CREOLE
    CRABMEAT IN CASSOLETTE
    BOILED BRISKET OF BEEF
    SMALL ONIONS IN CREAM
    WATERCRESS SALAD
    PEACH MELBA

Have luncheon there this afternoon, all you jobless.
    Why not?
Dine with some of the men and women who got rich off of
    your labor, who clip coupons with clean white fingers
    because your hands dug coal, drilled stone, sewed gar-
    ments, poured steel to let other people draw dividends
    and live easy.
(Or haven't you had enough yet of the soup-lines and the bit-
    ter bread of charity?)
Walk through Peacock Alley tonight before dinner, and get
    warm, anyway. You've got nothing else to do."
1,April Rain Song,"Let the rain kiss you
Let the rain beat upon your head with silver liquid drops
Let the rain sing you a lullaby
The rain makes still pools on the sidewalk
The rain makes running pools in the gutter
The rain plays a little sleep song on our roof at night
And I love the rain."
2,As I Grew Older,"It was a long time ago.
I have almost forgotten my dream.
But it was there then,
In front of me,
Bright like a sun--
My dream.
And then the wall rose,
Rose slowly,
Slowly,
Between me and my dream.
Rose until it touched the sky--
The wall.
Shadow.
I am black.
I lie down in the shadow.
No longer the light of my dream before me,
Above me.
Only the thick wall.
Only the shadow.
My hands!
My dark hands!
Break through the wall!
Find my dream!
Help me to shatter this darkness,
To smash this night,
To break this shadow
Into a thousand lights of sun,
Into a thousand whirling dreams
Of sun!"
3,Bad Morning,"Here I sit
With my shoes mismated.
Lawdy-mercy!
I's frustrated!"
4,Children's Rhymes,"By what sends
the white kids
I ain't sent:
I know I can't
be President.
What don't bug
them white kids
sure bugs me:
We know everybody
ain't free.

Lies written down
for white folks
ain't for us a-tall:
Liberty And Justice--
Huh!--For All?"
5,Cross,"My old man's a white old man
And my old mother's black.
If ever I cursed my white old man
I take my curses back.
If ever I cursed my black old mother
And wished she were in hell,
I'm sorry for that evil wish
And now I wish her well
My old man died in a fine big house.
My ma died in a shack.
I wonder were I'm going to die,
Being neither white nor black?"
6,Cultural Exchange,"In the Quarter of the Negroes
Where the doors are doors of paper
Dust of dingy atoms
Blows a scratchy sound.
Amorphous jack-o'-Lanterns caper
And the wind won't wait for midnight
For fun to blow doors down.
By the river and the railroad
With fluid far-off going
Boundaries bind unbinding
A whirl of whistles blowing.
No trains or steamboats going--
Yet Leontyne's unpacking.

In the Quarter of the Negroes
Where the doorknob lets in Lieder
More than German ever bore,
Her yesterday past grandpa--
Not of her own doing--
In a pot of collard greens
Is gently stewing.

Pushcarts fold and unfold
In a supermarket sea.
And we better find out, mama,
Where is the colored laundromat
Since we move dup to Mount Vernon.

In the pot behind the paper doors
on the old iron stove what's cooking?
What's smelling, Leontyne?
Lieder, lovely Lieder
And a leaf of collard green.
Lovely Lieder, Leontyne.

You know, right at Christmas
They asked me if my blackness,
Would it rub off?
I said, Ask your mama.

Dreams and nightmares!
Nightmares, dreams, oh!
Dreaming that the Negroes
Of the South have taken over--
Voted all the Dixiecrats
Right out of power--

Comes the COLORED HOUR:
Martin Luther King is Governor of Georgia,
Dr. Rufus Clement his Chief Adviser,
A. Philip Randolph the High Grand Worthy.
In white pillared mansions
Sitting on their wide verandas,
Wealthy Negroes have white servants,
White sharecroppers work the black plantations,
And colored children have white mammies:
Mammy Faubus
Mammy Eastland
Mammy Wallace
Dear, dear darling old white mammies--
Sometimes even buried with our family.
Dear old
Mammy Faubus!

Culture, they say, is a two-way street:
Hand me my mint julep, mammy.
Hurry up!
Make haste!"
7,Daybreak in Alabama,"When I get to be a composer
I'm gonna write me some music about
Daybreak in Alabama
And I'm gonna put the purtiest songs in it
Rising out of the ground like a swamp mist
And falling out of heaven like soft dew.
I'm gonna put some tall tall trees in it
And the scent of pine needles
And the smell of red clay after rain
And long red necks
And poppy colored faces
And big brown arms
And the field daisy eyes
Of black and white black white black people
And I'm gonna put white hands
And black hands and brown and yellow hands
And red clay earth hands in it
Touching everybody with kind fingers
And touching each other natural as dew
In that dawn of music when I
Get to be a composer
And write about daybreak
In Alabama."
8,Democracy,"Democracy will not come
Today, this year
  Nor ever
Through compromise and fear.

I have as much right
As the other fellow has
 To stand
On my two feet
And own the land.

I tire so of hearing people say,
Let things take their course.
Tomorrow is another day.
I do not need my freedom when I'm dead.
I cannot live on tomorrow's bread.

     Freedom
     Is a strong seed
     Planted
     In a great need.

     I live here, too.
     I want freedom
     Just as you."
9,Dinner Guest: Me,"I know I am
The Negro Problem
Being wined and dined,
Answering the usual questions
That come to white mind
Which seeks demurely
To Probe in polite way
The why and wherewithal
Of darkness U.S.A.--
Wondering how things got this way
In current democratic night,
Murmuring gently
Over fraises du bois,
""I'm so ashamed of being white.""

The lobster is delicious,
The wine divine,
And center of attention
At the damask table, mine.
To be a Problem on
Park Avenue at eight
Is not so bad.
Solutions to the Problem,
Of course, wait."
10,Dream Deferred,"What happens to a dream deferred?
Does it dry up
Like a raisin in the sun?
Or fester like a sore--
And then run?
Does it stink like rotten meat?
Or crust and sugar over--
like a syrupy sweet?
Maybe it just sags
like a heavy load.
Or does it explode?"
11,Dream Variations,"To fling my arms wide
In some place of the sun,
To whirl and to dance
Till the white day is done.
Then rest at cool evening
Beneath a tall tree
While night comes on gently,
   Dark like me-
That is my dream!

To fling my arms wide
In the face of the sun,
Dance! Whirl! Whirl!
Till the quick day is done.
Rest at pale evening...
A tall, slim tree...
Night coming tenderly
   Black like me."
12,Dreams,"Hold fast to dreams
For if dreams die
Life is a broken-winged bird
That cannot fly.
Hold fast to dreams
For when dreams go
Life is a barren field
Frozen with snow."
13,Ennui,"It's such a
Bore
Being always
Poor."
