,title,text
0,A Dog Has Died,"My dog has died.
I buried him in the garden
next to a rusted old machine.

Some day I'll join him right there,
but now he's gone with his shaggy coat,
his bad manners and his cold nose,
and I, the materialist, who never believed
in any promised heaven in the sky
for any human being,
I believe in a heaven I'll never enter.
Yes, I believe in a heaven for all dogdom
where my dog waits for my arrival
waving his fan-like tail in friendship.

Ai, I'll not speak of sadness here on earth,
of having lost a companion
who was never servile.
His friendship for me, like that of a porcupine
withholding its authority,
was the friendship of a star, aloof,
with no more intimacy than was called for,
with no exaggerations:
he never climbed all over my clothes
filling me full of his hair or his mange,
he never rubbed up against my knee
like other dogs obsessed with sex.

No, my dog used to gaze at me,
paying me the attention I need,
the attention required
to make a vain person like me understand
that, being a dog, he was wasting time,
but, with those eyes so much purer than mine,
he'd keep on gazing at me
with a look that reserved for me alone
all his sweet and shaggy life,
always near me, never troubling me,
and asking nothing.

Ai, how many times have I envied his tail
as we walked together on the shores of the sea
in the lonely winter of Isla Negra
where the wintering birds filled the sky
and my hairy dog was jumping about
full of the voltage of the sea's movement:
my wandering dog, sniffing away
with his golden tail held high,
face to face with the ocean's spray.

Joyful, joyful, joyful,
as only dogs know how to be happy
with only the autonomy
of their shameless spirit.

There are no good-byes for my dog who has died,
and we don't now and never did lie to each other.

So now he's gone and I buried him,
and that's all there is to it.
"
1,A Lemon,"Out of lemon flowers
loosed
on the moonlight, love's
lashed and insatiable
essences,
sodden with fragrance,
the lemon tree's yellow
emerges,
the lemons
move down
from the tree's planetarium

Delicate merchandise!
The harbors are big with it-
bazaars
for the light and the
barbarous gold.
We open
the halves
of a miracle,
and a clotting of acids
brims
into the starry
divisions:
creation's
original juices,
irreducible, changeless,
alive:
so the freshness lives on
in a lemon,
in the sweet-smelling house of the rind,
the proportions, arcane and acerb.

Cutting the lemon
the knife
leaves a little cathedral:
alcoves unguessed by the eye
that open acidulous glass
to the light; topazes
riding the droplets,
altars,
aromatic facades.

So, while the hand
holds the cut of the lemon,
half a world
on a trencher,
the gold of the universe
wells
to your touch:
a cup yellow
with miracles,
a breast and a nipple
perfuming the earth;
a flashing made fruitage,
the diminutive fire of a planet."
2,A Song of Despair,"The memory of you emerges from the night around me.
The river mingles its stubborn lament with the sea.

Deserted like the dwarves at dawn.
It is the hour of departure, oh deserted one!

Cold flower heads are raining over my heart.
Oh pit of debris, fierce cave of the shipwrecked.

In you the wars and the flights accumulated.
From you the wings of the song birds rose.

You swallowed everything, like distance.
Like the sea, like time. In you everything sank!

It was the happy hour of assault and the kiss.
The hour of the spell that blazed like a lighthouse.

Pilot's dread, fury of blind driver,
turbulent drunkenness of love, in you everything sank!

In the childhood of mist my soul, winged and wounded.
Lost discoverer, in you everything sank!

You girdled sorrow, you clung to desire,
sadness stunned you, in you everything sank!

I made the wall of shadow draw back,
beyond desire and act, I walked on.

Oh flesh, my own flesh, woman whom I loved and lost,
I summon you in the moist hour, I raise my song to you.

Like a jar you housed infinite tenderness.
and the infinite oblivion shattered you like a jar.

There was the black solitude of the islands,
and there, woman of love, your arms took me in.

There was thirst and hunger, and you were the fruit.
There were grief and ruins, and you were the miracle.

Ah woman, I do not know how you could contain me
in the earth of your soul, in the cross of your arms!

How terrible and brief my desire was to you!
How difficult and drunken, how tensed and avid.

Cemetery of kisses, there is still fire in your tombs,
still the fruited boughs burn, pecked at by birds.

Oh the bitten mouth, oh the kissed limbs,
oh the hungering teeth, oh the entwined bodies.

Oh the mad coupling of hope and force
in which we merged and despaired.

And the tenderness, light as water and as flour.
And the word scarcely begun on the lips.

This was my destiny and in it was my voyage of my longing,
and in it my longing fell, in you everything sank!

Oh pit of debris, everything fell into you,
what sorrow did you not express, in what sorrow are you not drowned!

From billow to billow you still called and sang.
Standing like a sailor in the prow of a vessel.

You still flowered in songs, you still brike the currents.
Oh pit of debris, open and bitter well.

Pale blind diver, luckless slinger,
lost discoverer, in you everything sank!

It is the hour of departure, the hard cold hour
which the night fastens to all the timetables.

The rustling belt of the sea girdles the shore.
Cold stars heave up, black birds migrate.

Deserted like the wharves at dawn.
Only tremulous shadow twists in my hands.

Oh farther than everything. Oh farther than everything.

It is the hour of departure. Oh abandoned one!"
3,Absence,"I have scarcely left you
When you go in me, crystalline,
Or trembling,
Or uneasy, wounded by me
Or overwhelmed with love, as
when your eyes
Close upon the gift of life
That without cease I give you.

My love,
We have found each other
Thirsty and we have
Drunk up all the water and the
Blood,
We found each other
Hungry
And we bit each other
As fire bites,
Leaving wounds in us.

But wait for me,
Keep for me your sweetness.
I will give you too
A rose."
4,Algunas Bestias,"Era el crepúsculo de la iguana.  
Desde la arcoirisada crestería  
su leengua como un dardo  
se hundía en la verdura,  
el hormiguero monacal pisaba  
con melodioso pie la selva,  
el guanaco fino como el oxigeno  
en las anchas alturas pardas  
iba calzando botas de oro,  
mientras la llama abria cándidos  
ojos en la delicadeza  
del mundo lleno de rocio.  
Los monos trenzaban un hilo  
interminablemente erótico  
en las riberas de la aurora,  
derribando muros de polen  
y espantando el vuelo violeta  
de las mariposas de Muzo  
Era la noche de los caimanes,  
la noche pura y pululante  
de hocicos saliendo del légamo,  
y de las ciénagas soñolientas  
un ruido opaco de armaduras  
volvía al origen terrestre.  
El jaguar tocaba las hojas  
con su ausencia fosforescente,  
el puma corre en el ramaje  
como el fuego devorador  
mientras arden en él los ojos  
alcohólicos de la selva.  
Los tejones rascan los pies  
del río, husmean el nido  
cuya delicia palpitante  
atacarán con dientes rojos.  
Y en el fondo del agua magna,  
como el círulo de la tierra,  
está la gigante anaconda  
cubierta de barros rituales,  
devoradora y religiosa."
5,Bird,"It was passed from one bird to another,
the whole gift of the day.
The day went from flute to flute,
went dressed in vegetation,
in flights which opened a tunnel
through the wind would pass
to where birds were breaking open
the dense blue air -
and there, night came in.

When I returned from so many journeys,
I stayed suspended and green
between sun and geography -
I saw how wings worked,
how perfumes are transmitted
by feathery telegraph,
and from above I saw the path,
the springs and the roof tiles,
the fishermen at their trades,
the trousers of the foam;
I saw it all from my green sky.
I had no more alphabet
than the swallows in their courses,
the tiny, shining water
of the small bird on fire
which dances out of the pollen."
6,Brown and Agile Child,"Brown and agile child, the sun which forms the fruit
And ripens the grain and twists the seaweed
Has made your happy body and your luminous eyes
And given your mouth the smile of water.

A black and anguished sun is entangled in the twigs
Of your black mane when you hold out your arms.
You play in the sun as in a tidal river
And it leaves two dark pools in your eyes.

Brown and agile child, nothing draws me to you,
Everything pulls away from me here in the noon.
You are the delirious youth of bee,
The drunkedness of the wave, the power of the heat.

My somber heart seeks you always
I love your happy body, your rich, soft voice.
Dusky butterfly, sweet and sure
Like the wheat field, the sun, the poppy, and the water."
7,Cat's Dream,"How neatly a cat sleeps,
sleeps with its paws and its posture,
sleeps with its wicked claws,
and with its unfeeling blood,
sleeps with all the rings--
a series of burnt circles--
which have formed the odd geology
of its sand-colored tail.

I should like to sleep like a cat,
with all the fur of time,
with a tongue rough as flint,
with the dry sex of fire;
and after speaking to no one,
stretch myself over the world,
over roofs and landscapes,
with a passionate desire
to hunt the rats in my dreams.

I have seen how the cat asleep
would undulate, how the night
flowed through it like dark water;
and at times, it was going to fall
or possibly plunge into
the bare deserted snowdrifts.
Sometimes it grew so much in sleep
like a tiger's great-grandfather,
and would leap in the darkness over
rooftops, clouds and volcanoes.

Sleep, sleep cat of the night,
with episcopal ceremony
and your stone-carved moustache.
Take care of all our dreams;
control the obscurity
of our slumbering prowess
with your relentless heart
and the great ruff of your tail.


Translated by Alastair Reid"
8,Clenched Soul,"We have lost even this twilight.
No one saw us this evening hand in hand
while the blue night dropped on the world.

I have seen from my window
the fiesta of sunset in the distant mountain tops.

Sometimes a piece of sun
burned like a coin in my hand.

I remembered you with my soul clenched
in that sadness of mine that you know.

Where were you then?
Who else was there?
Saying what?
Why will the whole of love come on me suddenly
when I am sad and feel you are far away?

The book fell that always closed at twilight
and my blue sweater rolled like a hurt dog at my feet.

Always, always you recede through the evenings
toward the twilight erasing statues."
9,Drunk as Drunk on Turpentine,"Drunk as drunk on turpentine
From your open kisses,
Your wet body wedged
Between my wet body and the strake
Of our boat that is made of flowers,
Feasted, we guide it - our fingers
Like tallows adorned with yellow metal -
Over the sky's hot rim,
The day's last breath in our sails.

Pinned by the sun between solstice
And equinox, drowsy and tangled together
We drifted for months and woke
With the bitter taste of land on our lips,
Eyelids all sticky, and we longed for lime
And the sound of a rope
Lowering a bucket down its well. Then,
We came by night to the Fortunate Isles,
And lay like fish
Under the net of our kisses.


      POEMA 9

Ebrio de trementina y largos besos,
estival, el velero de las rosas dirijo,
torcido hacia la muerte del delgado día,
cimentado en el sólido frenesí marino.

Pálido y amarrado a mi agua devorante
cruzo en el agrio olor del clima descubierto,
aún vestido de gris y sonidos amargos,
y una cimera triste de abandonada espuma.

Voy, duro de pasiones, montado en mi ola única,
lunar, solar, ardiente y frío, repentino,
dormido en la garganta de las afortunadas
islas blancas y dulces como caderas frescas.

Tiembla en la noche húmeda mi vestido de besos
locamente cargado de eléctricas gestiones,
de modo heroico dividido en sueños
y embriagadoras rosas practicándose en mí.

Aguas arriba, en medio de las olas externas,
tu paralelo cuerpo se sujeta en mis brazos
como un pez infinitamente pegado a mi alma
rápido y lento en la energía subceleste."
