,title,text
0,Authorship,"You say that father write a lot of books, but what he writes I don't
understand.
    He was reading to you all evening, but could you really
make out what he meant?
    What nice stores, mother, you can tell us! Why can't father
write like that, I wonder?
    Did he never hear from his own mother stories of giants and
fairies and princesses?
    Has he forgotten them all?
    Often when he gets late for his bath you have to call him
a hundred times.
    You wait and keep his dishes warm for him, but he goes on
writing and forgets.
    Father always plays at making books.
    If ever I go to play in father's room, you come and call me,
""What a naughty child!""
    If I make the slightest noise you say, ""Don't you see that
father's at his work?""
    What's the fun of always writing and writing?
    When I take up father's pen or pencil and write upon his book
just as he does,-a,b,c,d,e,f,g,h,i,-why do you get cross with me
then, mother?
    You never say a word when father writes.
    When my father wastes such heaps of paper, mother, you don't
seem to mind at all.
    But if I take only one sheet to make a boat with, you say,
""Child, how troublesome you are!""
    What do you think of father's spoiling sheets and sheets of
paper with black marks all over both sides?"
1,Baby's Way,"If baby only wanted to, he could fly up to heaven this moment.
    It is not for nothing that he does not leave us.
    He loves to rest his head on mother's bosom, and cannot ever
bear to lose sight of her.
    Baby know all manner of wise words, though few on earth can
understand their meaning.
    It is not for nothing that he never wants to speak.
    The one thing he wants is to learn mother's words from
mother's lips. That is why he looks so innocent.
    Baby had a heap of gold and pearls, yet he came like a beggar
on to this earth.
    It is not for nothing he came in such a disguise.
    This dear little naked mendicant pretends to be utterly
helpless, so that he may beg for mother's wealth of love.
    Baby was so free from every tie in the land of the tiny
crescent moon.
    It was not for nothing he gave up his freedom.
    He knows that there is room for endless joy in mother's little
corner of a heart, and it is sweeter far than liberty to be caught
and pressed in her dear arms.
    Baby never knew how to cry. He dwelt in the land of perfect
bliss.
    It is not for nothing he has chosen to shed tears.
    Though with the smile of his dear face he draws mother's
yearning heart to him, yet his little cries over tiny troubles
weave the double bond of pity and love."
2,Baby's World,"I wish I could take a quiet corner in the heart of my baby's very
own world.
    I know it has stars that talk to him, and a sky that stoops
down to his face to amuse him with its silly clouds and rainbows.
    Those who make believe to be dumb, and look as if they never
could move, come creeping to his window with their stories and with
trays crowded with bright toys.
    I wish I could travel by the road that crosses baby's mind,
and out beyond all bounds;
    Where messengers run errands for no cause between the kingdoms
of kings of no history;
    Where Reason makes kites of her laws and flies them, the Truth
sets Fact free from its fetters."
3,Beggarly Heart,"When the heart is hard and parched up,
come upon me with a shower of mercy.

When grace is lost from life,
come with a burst of song.

When tumultuous work raises its din on all sides shutting me out from
beyond, come to me, my lord of silence, with thy peace and rest.

When my beggarly heart sits crouched, shut up in a corner,
break open the door, my king, and come with the ceremony of a king.

When desire blinds the mind with delusion and dust, O thou holy one,
thou wakeful, come with thy light and thy thunder."
4,Benediction,"Bless this little heart, this white soul that has won the kiss of
heaven for our earth.
    He loves the light of the sun, he loves the sight of his
mother's face.
    He has not learned to despise the dust, and to hanker after
gold.
    Clasp him to your heart and bless him.
    He has come into this land of an hundred cross-roads.
    I know not how he chose you from the crowd, came to your door,
and grasped you hand to ask his way.
    He will follow you, laughing the talking, and not a doubt in
his heart.
    Keep his trust, lead him straight and bless him.
    Lay your hand on his head, and pray that though the waves
underneath grow threatening, yet the breath from above may come and
fill his sails and waft him to the heaven of peace.
    Forget him not in your hurry, let him come to your heart and
bless him."
5,Brink Of Eternity,"In desperate hope I go and search for her
in all the corners of my room;
I find her not.

My house is small
and what once has gone from it can never be regained.

But infinite is thy mansion, my lord,
and seeking her I have to come to thy door.

I stand under the golden canopy of thine evening sky
and I lift my eager eyes to thy face.

I have come to the brink of eternity from which nothing can vanish
---no hope, no happiness, no vision of a face seen through tears.

Oh, dip my emptied life into that ocean,
plunge it into the deepest fullness.
Let me for once feel that lost sweet touch
in the allness of the universe."
6,Chain Of Pearls,"Mother, I shall weave a chain of pearls for thy neck
with my tears of sorrow.

The stars have wrought their anklets of light to deck thy feet,
but mine will hang upon thy breast.

Wealth and fame come from thee
and it is for thee to give or to withhold them.
But this my sorrow is absolutely mine own,
and when I bring it to thee as my offering
thou rewardest me with thy grace."
7,Closed Path,"I thought that my voyage had come to its end
at the last limit of my power,---that the path before me was closed,
that provisions were exhausted
and the time come to take shelter in a silent obscurity.

But I find that thy will knows no end in me.
And when old words die out on the tongue,
new melodies break forth from the heart;
and where the old tracks are lost,
new country is revealed with its wonders."
8,Clouds and Waves,"Mother, the folk who live up in the clouds call out to me-
    ""We play from the time we wake till the day ends.
    We play with the golden dawn, we play with the silver moon.""
    I ask, ""But how am I to get up to you ?""
    They answer, ""Come to the edge of the earth, lift up your
hands to the sky, and you will be taken up into the clouds.""
    ""My mother is waiting for me at home, ""I say, ""How can I leave
her and come?""
    Then they smile and float away.
    But I know a nicer game than that, mother.
    I shall be the cloud and you the moon.
    I shall cover you with both my hands, and our house-top will
be the blue sky.
    The folk who live in the waves call out to me-
    ""We sing from morning till night; on and on we travel and know
not where we pass.""
    I ask, ""But how am I to join you?""
    They tell me, ""Come to the edge of the shore and stand with
your eyes tight shut, and you will be carried out upon the waves.""
    I say, ""My mother always wants me at home in the everything-
how can I leave her and go?""
    They smile, dance and pass by.
    But I know a better game than that.
    I will be the waves and you will be a strange shore.
    I shall roll on and on and on, and break upon your lap with
laughter.
    And no one in the world will know where we both are."
9,Colored Toys,"When I bring to you colored toys, my child,
I understand why there is such a play of colors on clouds, on water,
and why flowers are painted in tints
---when I give colored toys to you, my child.

When I sing to make you dance
I truly now why there is music in leaves,
and why waves send their chorus of voices to the heart of the listening earth
---when I sing to make you dance.

When I bring sweet things to your greedy hands
I know why there is honey in the cup of the flowers
and why fruits are secretly filled with sweet juice
---when I bring sweet things to your greedy hands.

When I kiss your face to make you smile, my darling,
I surely understand what pleasure streams from the sky in morning light,
and what delight that is that is which the summer breeze brings to my body
---when I kiss you to make you smile."
