,title,text
0,A Bard's Epitaph,"Is there a whim-inspired fool,
Owre fast for thought, owre hot for rule,
Owre blate to seek, owre proud to snool,
Let him draw near;
And owre this grassy heap sing dool,
And drap a tear.

Is there a bard of rustic song,
Who, noteless, steals the crowds among,
That weekly this area throng,
O, pass not by!
But, with a frater-feeling strong,
Here, heave a sigh.

Is there a man, whose judgment clear
Can others teach the course to steer,
Yet runs, himself, life's mad career,
Wild as the wave,
Here pause-and, thro' the starting tear,
Survey this grave.

The poor inhabitant below
Was quick to learn the wise to know,
And keenly felt the friendly glow,
And softer flame;
But thoughtless follies laid him low,
And stain'd his name!

Reader, attend! whether thy soul
Soars fancy's flights beyond the pole,
Or darkling grubs this earthly hole,
In low pursuit:
Know, prudent, cautious, self-control
Is wisdom's root."
1,A Bottle And Friend,"There's nane that's blest of human kind,
But the cheerful and the gay, man,
Fal, la, la, &c.

Here's a bottle and an honest friend!
What wad ye wish for mair, man?
Wha kens, before his life may end,
What his share may be o' care, man?

Then catch the moments as they fly,
And use them as ye ought, man:
Believe me, happiness is shy,
And comes not aye when sought, man."
2,A Dedication,"Expect na, sir, in this narration,
A fleechin, fleth'rin Dedication,
To roose you up, an' ca' you guid,
An' sprung o' great an' noble bluid,
Because ye're surnam'd like His Grace-
Perhaps related to the race:
Then, when I'm tir'd-and sae are ye,
Wi' mony a fulsome, sinfu' lie,
Set up a face how I stop short,
For fear your modesty be hurt.

This may do-maun do, sir, wi' them wha
Maun please the great folk for a wamefou;
For me! sae laigh I need na bow,
For, Lord be thankit, I can plough;
And when I downa yoke a naig,
Then, Lord be thankit, I can beg;
Sae I shall say-an' that's nae flatt'rin-
It's just sic Poet an' sic Patron.

The Poet, some guid angel help him,
Or else, I fear, some ill ane skelp him!
He may do weel for a' he's done yet,
But only-he's no just begun yet.

The Patron (sir, ye maun forgie me;
I winna lie, come what will o' me),
On ev'ry hand it will allow'd be,
He's just-nae better than he should be.

I readily and freely grant,
He downa see a poor man want;
What's no his ain, he winna tak it;
What ance he says, he winna break it;
Ought he can lend he'll no refus't,
Till aft his guidness is abus'd;
And rascals whiles that do him wrang,
Ev'n that, he does na mind it lang;
As master, landlord, husband, father,
He does na fail his part in either.

But then, nae thanks to him for a'that;
Nae godly symptom ye can ca' that;
It's naething but a milder feature
Of our poor, sinfu' corrupt nature:
Ye'll get the best o' moral works,
'Mang black Gentoos, and pagan Turks,
Or hunters wild on Ponotaxi,
Wha never heard of orthodoxy.
That he's the poor man's friend in need,
The gentleman in word and deed,
It's no thro' terror of damnation;
It's just a carnal inclination.

Morality, thou deadly bane,
Thy tens o' thousands thou hast slain!
Vain is his hope, whase stay an' trust is
In moral mercy, truth, and justice!

No-stretch a point to catch a plack:
Abuse a brother to his back;
Steal through the winnock frae a whore,
But point the rake that taks the door;
Be to the poor like ony whunstane,
And haud their noses to the grunstane;
Ply ev'ry art o' legal thieving;
No matter-stick to sound believing.

Learn three-mile pray'rs, an' half-mile graces,
Wi' weel-spread looves, an' lang, wry faces;
Grunt up a solemn, lengthen'd groan,
And damn a' parties but your own;
I'll warrant they ye're nae deceiver,
A steady, sturdy, staunch believer.

O ye wha leave the springs o' Calvin,
For gumlie dubs of your ain delvin!
Ye sons of Heresy and Error,
Ye'll some day squeel in quaking terror,
When Vengeance draws the sword in wrath.
And in the fire throws the sheath;
When Ruin, with his sweeping besom,
Just frets till Heav'n commission gies him;
While o'er the harp pale Misery moans,
And strikes the ever-deep'ning tones,
Still louder shrieks, and heavier groans!

Your pardon, sir, for this digression:
I maist forgat my Dedication;
But when divinity comes 'cross me,
My readers still are sure to lose me.

So, sir, you see 'twas nae daft vapour;
But I maturely thought it proper,
When a' my works I did review,
To dedicate them, sir, to you:
Because (ye need na tak it ill),
I thought them something like yoursel'.

Then patronize them wi' your favor,
And your petitioner shall ever-
I had amaist said, ever pray,
But that's a word I need na say;
For prayin, I hae little skill o't,
I'm baith dead-sweer, an' wretched ill o't;
But I'se repeat each poor man's pray'r,
That kens or hears about you, sir-

""May ne'er Misfortune's gowling bark,
Howl thro' the dwelling o' the clerk!
May ne'er his genrous, honest heart,
For that same gen'rous spirit smart!
May Kennedy's far-honour'd name
Lang beet his hymeneal flame,
Till Hamiltons, at least a dizzen,
Are frae their nuptial labours risen:
Five bonie lasses round their table,
And sev'n braw fellows, stout an' able,
To serve their king an' country weel,
By word, or pen, or pointed steel!
May health and peace, with mutual rays,
Shine on the ev'ning o' his days;
Till his wee, curlie John's ier-oe,
When ebbing life nae mair shall flow,
The last, sad, mournful rites bestow!""

I will not wind a lang conclusion,
With complimentary effusion;
But, whilst your wishes and endeavours
Are blest with Fortune's smiles and favours,
I am, dear sir, with zeal most fervent,
Your much indebted, humble servant.

But if (which Pow'rs above prevent)
That iron-hearted carl, Want,
Attended, in his grim advances,
By sad mistakes, and black mischances,
While hopes, and joys, and pleasures fly him,
Make you as poor a dog as I am,
Your humble servant then no more;
For who would humbly serve the poor?
But, by a poor man's hopes in Heav'n!
While recollection's pow'r is giv'n-
If, in the vale of humble life,
The victim sad of fortune's strife,
I, thro' the tender-gushing tear,
Should recognise my master dear;
If friendless, low, we meet together,
Then, sir, your hand-my Friend and Brother!"
3,A Dream,"Guid-Mornin' to our Majesty!
May Heaven augment your blisses
On ev'ry new birth-day ye see,
A humble poet wishes.
My bardship here, at your Levee
On sic a day as this is,
Is sure an uncouth sight to see,
Amang thae birth-day dresses
Sae fine this day.

I see ye're complimented thrang,
By mony a lord an' lady;
""God save the King"" 's a cuckoo sang
That's unco easy said aye:
The poets, too, a venal gang,
Wi' rhymes weel-turn'd an' ready,
Wad gar you trow ye ne'er do wrang,
But aye unerring steady,
On sic a day.

For me! before a monarch's face
Ev'n there I winna flatter;
For neither pension, post, nor place,
Am I your humble debtor:
So, nae reflection on your Grace,
Your Kingship to bespatter;
There's mony waur been o' the race,
And aiblins ane been better
Than you this day.

'Tis very true, my sovereign King,
My skill may weel be doubted;
But facts are chiels that winna ding,
An' downa be disputed:
Your royal nest, beneath your wing,
Is e'en right reft and clouted,
And now the third part o' the string,
An' less, will gang aboot it
Than did ae day.^1

Far be't frae me that I aspire
To blame your legislation,
Or say, ye wisdom want, or fire,
To rule this mighty nation:
But faith! I muckle doubt, my sire,
Ye've trusted ministration
To chaps wha in barn or byre
Wad better fill'd their station
Than courts yon day.

And now ye've gien auld Britain peace,
Her broken shins to plaister,
Your sair taxation does her fleece,
Till she has scarce a tester:
For me, thank God, my life's a lease,
Nae bargain wearin' faster,
Or, faith! I fear, that, wi' the geese,
I shortly boost to pasture
I' the craft some day.

I'm no mistrusting Willie Pitt,
When taxes he enlarges,
(An' Will's a true guid fallow's get,
A name not envy spairges),
That he intends to pay your debt,
An' lessen a' your charges;
But, God-sake! let nae saving fit
Abridge your bonie barges
An'boats this day.

Adieu, my Liege; may freedom geck
Beneath your high protection;
An' may ye rax Corruption's neck,
And gie her for dissection!
But since I'm here, I'll no neglect,
In loyal, true affection,
To pay your Queen, wi' due respect,
May fealty an' subjection
This great birth-day.

Hail, Majesty most Excellent!
While nobles strive to please ye,
Will ye accept a compliment,
A simple poet gies ye?
Thae bonie bairntime, Heav'n has lent,
Still higher may they heeze ye
In bliss, till fate some day is sent
For ever to release ye
Frae care that day.

For you, young Potentate o'Wales,
I tell your highness fairly,
Down Pleasure's stream, wi' swelling sails,
I'm tauld ye're driving rarely;
But some day ye may gnaw your nails,
An' curse your folly sairly,
That e'er ye brak Diana's pales,
Or rattl'd dice wi' Charlie
By night or day.

Yet aft a ragged cowt's been known,
To mak a noble aiver;
So, ye may doucely fill the throne,
For a'their clish-ma-claver:
There, him^2 at Agincourt wha shone,
Few better were or braver:
And yet, wi' funny, queer Sir John,^3
He was an unco shaver
For mony a day.

For you, right rev'rend Osnaburg,
Nane sets the lawn-sleeve sweeter,
Altho' a ribbon at your lug
Wad been a dress completer:
As ye disown yon paughty dog,
That bears the keys of Peter,
Then swith! an' get a wife to hug,
Or trowth, ye'll stain the mitre
Some luckless day!

Young, royal Tarry-breeks, I learn,
Ye've lately come athwart her-
A glorious galley,^4 stem and stern,
Weel rigg'd for Venus' barter;
But first hang out, that she'll discern,
Your hymeneal charter;
Then heave aboard your grapple airn,
An' large upon her quarter,
Come full that day.

Ye, lastly, bonie blossoms a',
Ye royal lasses dainty,
Heav'n mak you guid as well as braw,
An' gie you lads a-plenty!
But sneer na British boys awa!
For kings are unco scant aye,
An' German gentles are but sma',
They're better just than want aye
On ony day.

Gad bless you a'! consider now,
Ye're unco muckle dautit;
But ere the course o' life be through,
It may be bitter sautit:
An' I hae seen their coggie fou,
That yet hae tarrow't at it.
But or the day was done, I trow,
The laggen they hae clautit
Fu' clean that day."
4,A Fiddler In The North,"Amang the trees, where humming bees,
At buds and flowers were hinging, O,
Auld Caledon drew out her drone,
And to her pipe was singing, O:
'Twas Pibroch, Sang, Strathspeys, and Reels,
She dirl'd them aff fu' clearly, O:
When there cam' a yell o' foreign squeels,
That dang her tapsalteerie, O.

Their capon craws an' queer ""ha, ha's,""
They made our lugs grow eerie, O;
The hungry bike did scrape and fyke,
Till we were wae and weary, O:
But a royal ghaist, wha ance was cas'd,
A prisoner, aughteen year awa',
He fir'd a Fiddler in the North,
That dang them tapsalteerie, O."
5,A Man's a Man for A' That,"Is there for honesty poverty
That hings his head, an' a' that;
The coward slave - we pass him by,
We dare be poor for a' that!
For a' that, an' a' that,
Our toils obscure an' a' that,
The rank is but the guinea's stamp,
The man's the gowd for a' that.

What though on hamely fare we dine,
Wear hoddin grey, an' a' that?
Gie fools their silks, and knaves their wine,
A man's a man for a' that.
For a' that, an' a' that,
Their tinsel show, an' a' that,
The honest man, tho' e'er sae poor,
Is king o' men for a' that.

Ye see yon birkie ca'd a lord,
Wha struts, an' stares, an' a' that;
Tho' hundreds worship at his word,
He's but a coof for a' that.
For a' that, an' a' that,
His ribband, star, an' a' that,
The man o' independent mind
He looks an' laughs at a' that.

A price can mak a belted knight,
A marquise, duke, an' a' that;
But an honest man's aboon his might,
Gude faith, he maunna fa' that!
For a' that, an' a' that,
Their dignities an' a' that,
The pith o' sense, an' pride o' worth,
Are higher rank than a' that.

Then let us pray that come it may,
(As come it will for a' that,)
That Sense and Worth, o'er a' the earth,
Shall bear the gree, an' a' that.
For a' that, an' a' that,
That man to man, the world o'er,
Shall brithers be for a' that."
6,A Poets Welcome to His Love-Begotten Daughter,"Thou's welcome, wean; mishanter fa' me,
If thoughts o' thee, or yet thy mammie,
Shall ever daunton me or awe me,
My sweet wee lady,
Or if I blush when thou shalt ca' me
Tyta or daddie.

Tho' now they ca' me fornicator,
An' tease my name in countra clatter,
The mair they talk, I'm kend the better,
E'en let them clash;
An auld wife's tongue's a feckless matter
To gie ane fash.

Welcome! my bonie, sweet, wee dochter,
Tho' ye come here a wee unsought for,
And tho' your comin' I hae fought for,
Baith kirk and queir;
Yet, by my faith, ye're no unwrought for,
That I shall swear!

Sweet fruit o' monie a merry dint,
My funny toil is no a' tint,
Tho' thou cam to the warl' asklent,
Which fools may scoff at;
In my last plack thy part's be in't
The better ha'f o't.

Tho' I should be the waur bestead,
Thou's be as braw and bienly clad,
And thy young years as nicely bred
Wi' education,
As onie brat o' wedlock's bed,
In a' thy station.

Wee image o' my bonie Betty,
As fatherly I kiss and daut thee,
As dear and near my heart I set thee
Wi' as gude will
As a' the priests had seen me get thee
That's out o' hell.

Lord grant that thou may aye inherit
Thy mither's person, grace, an' merit,
An' thy poor, worthless daddy's spirit,
Without his failins,
'Twill please me mair to see thee heir it,
Than stockit mailens.

For if thou be what I wad hae thee,
And tak the counsel I shall gie thee,
I'll never rue my trouble wi' thee -
The cost nor shame o't,
But be a loving father to thee,
And brag the name o't."
7,"A Red, Red Rose","O my Luve's like a red, red rose
That's newly sprung in June:
O my Luve's like the melodie
That's sweetly play'd in tune!

As fair thou art, my bonnie lass,
So deep in love am I:
And I will love thee still, my dear,
Till a' the seas gang dry:

Till a' the seas gang dry, my dear,
And the rocks melt with the sun;
I will luve thee still my dear,
When the sands of life shall run.

And fare thee weel, my only Luve,
And fare thee weel a while!
And I will come again , my Luve,
Tho' it were ten thousand mile."
8,A Winter Night,"When biting Boreas, fell and doure,
    Sharp shivers thro' the leafless bow'r;
    When Phœbus gies a short-liv'd glow'r,
        Far south the lift,
    Dim-dark'ning thro' the flaky show'r,
        Or whirling drift:
    Ae night the storm the steeples rocked,
    Poor Labour sweet in sleep was locked,
    While burns, wi' snawy wreeths upchoked,
       Wild-eddying swirl,
   Or thro' the mining outlet bocked,
       Down headlong hurl.
   List'ning, the doors an' winnocks rattle,
   I thought me on the ourie cattle,
   Or silly sheep, wha bide this brattle
       O' winter war,
   And thro' the drift, deep-lairing, sprattle,
       Beneath a scar.
   Ilk happing bird, wee, helpless thing!
   That, in the merry months o' spring,
   Delighted me to hear thee sing,
       What comes o' thee?
   Whare wilt thou cow'r thy chittering wing
       An' close thy e'e?
   Ev'n you on murd'ring errands toil'd,
   Lone from your savage homes exil'd,
   The blood-stain'd roost, and sheep-cote spoil'd
       My heart forgets,
   While pityless the tempest wild
       Sore on you beats."
9,Address To A Haggis,"Fair fa' your honest, sonsie face,
  Great chieftain o' the puddin-race!
  Aboon them a' ye tak your place,
     Painch, tripe, or thairm:
  Weel are ye wordy of a grace
     As lang's my arm.

  The groaning trencher there ye fill,
  Your hurdies like a distant hill,
  Your pin wad help to mend a mill
     In time o' need,
  While thro' your pores the dews distil
     Like amber bead.

  His knife see rustic Labour dight,
  An' cut ye up wi' ready slight,
  Trenching your gushing entrails bright
     Like onie ditch;
  And then, O what a glorious sight,
     Warm-reekin, rich!

  Then, horn for horn, they strech an' strive:
  Deil tak the hindmost! on they drive,
  Till a' their weel-swall'd kytes belyve,
     Are bent like drums;
  Then auld Guidman, maist like to rive,
     'Bethankit!' hums.

  Is there that owre his French ragout
  Or olio that wad staw a sow,
  Or fricassee wad mak her spew
     Wi' perfect sconner,
  Looks down wi' sneering, scornfu' view
     On sic a dinner?

  Poor devil! see him owre his trash,
  As feckless as a wither'd rash,
  His spindle shank, a guid whip-lash,
     His nieve a nit;
  Thro' bluidy flood or field to dash,
     O how unfit!

  But mark the Rustic, haggis-fed,
  The trembling earth resounds his tread.
  Clap in his walie nieve a blade,
     He'll make it whissle;
  An' legs, an' arms, an' heads will sned,
     Like taps o' thrissle.

  Ye Pow'rs wha mak mankind your care,
  And dish them out their bill o 'fare,
  Auld Scotland wants nae skinking ware
     That jaups in luggies;
  But, if ye wish her gratefu' prayer,
     Gie her a Haggis!"
