,title,text
0,"""Back To The Army Again""","I'm 'ere in a ticky ulster an' a broken billycock 'at,
A-layin' on to the sergeant I don't know a gun from a bat;
My shirt's doin' duty for jacket, my sock's stickin' out o' my boots,
An' I'm learnin' the damned old goose-step along o' the new recruits!

  Back to the Army again, sergeant,
   Back to the Army again.
  Don't look so 'ard, for I 'aven't no card,
   I'm back to the Army again!

I done my six years' service.  'Er Majesty sez:  ""Good-day --
You'll please to come when you're rung for, an' 'ere's your 'ole back-pay;
An' fourpence a day for baccy -- an' bloomin' gen'rous, too;
An' now you can make your fortune -- the same as your orf'cers do.""

  Back to the Army again, sergeant,
   Back to the Army again;
  'Ow did I learn to do right-about turn?
   I'm back to the Army again!

A man o' four-an'-twenty that 'asn't learned of a trade --
Beside ""Reserve"" agin' him -- 'e'd better be never made.
I tried my luck for a quarter, an' that was enough for me,
An' I thought of 'Er Majesty's barricks, an' I thought I'd go an' see.

  Back to the Army again, sergeant,
   Back to the Army again;
  'Tisn't my fault if I dress when I 'alt --
   I'm back to the Army again!

The sergeant arst no questions, but 'e winked the other eye,
'E sez to me, ""'Shun!"" an' I shunted, the same as in days gone by;
For 'e saw the set o' my shoulders, an' I couldn't 'elp 'oldin' straight
When me an' the other rookies come under the barrick-gate.

  Back to the Army again, sergeant,
   Back to the Army again;
  'Oo would ha' thought I could carry an' port?
   I'm back to the Army again!

I took my bath, an' I wallered -- for, Gawd, I needed it so!
I smelt the smell o' the barricks, I 'eard the bugles go.
I 'eard the feet on the gravel -- the feet o' the men what drill --
An' I sez to my flutterin' 'eart-strings, I sez to 'em, ""Peace, be still!""

  Back to the Army again, sergeant,
   Back to the Army again;
  'Oo said I knew when the ~Jumner~ was due?
   I'm back to the Army again!

I carried my slops to the tailor; I sez to 'im, ""None o' your lip!
You tight 'em over the shoulders, an' loose 'em over the 'ip,
For the set o' the tunic's 'orrid.""  An' 'e sez to me, ""Strike me dead,
But I thought you was used to the business!"" an' so 'e done what I said.

  Back to the Army again, sergeant,
   Back to the Army again.
  Rather too free with my fancies?  Wot -- me?
   I'm back to the Army again!

Next week I'll 'ave 'em fitted; I'll buy me a swagger-cane;
They'll let me free o' the barricks to walk on the Hoe again
In the name o' William Parsons, that used to be Edward Clay,
An' -- any pore beggar that wants it can draw my fourpence a day!

  Back to the Army again, sergeant,
   Back to the Army again:
  Out o' the cold an' the rain, sergeant,
   Out o' the cold an' the rain.

                   'Oo's there?
A man that's too good to be lost you,
A man that is 'andled an' made --
A man that will pay what 'e cost you
In learnin' the others their trade -- parade!
You're droppin' the pick o' the Army
Because you don't 'elp 'em remain,
But drives 'em to cheat to get out o' the street
An' back to the Army again!"
1,"""Soldier An' Sailor Too""","As I was spittin' into the Ditch aboard o' the ~Crocodile~,
I seed a man on a man-o'-war got up in the Reg'lars' style.
'E was scrapin' the paint from off of 'er plates,
 an' I sez to 'im, ""'Oo are you?""
Sez 'e, ""I'm a Jolly -- 'Er Majesty's Jolly -- soldier an' sailor too!""
Now 'is work begins by Gawd knows when, and 'is work is never through;
'E isn't one o' the reg'lar Line, nor 'e isn't one of the crew.
'E's a kind of a giddy harumfrodite -- soldier an' sailor too!

An' after I met 'im all over the world, a-doin' all kinds of things,
Like landin' 'isself with a Gatlin' gun to talk to them 'eathen kings;
'E sleeps in an 'ammick instead of a cot,
 an' 'e drills with the deck on a slew,
An' 'e sweats like a Jolly -- 'Er Majesty's Jolly -- soldier an' sailor too!
For there isn't a job on the top o' the earth the beggar don't know, nor do --
You can leave 'im at night on a bald man's 'ead, to paddle 'is own canoe --
'E's a sort of a bloomin' cosmopolouse -- soldier an' sailor too.

We've fought 'em in trooper, we've fought 'em in dock,
 and drunk with 'em in betweens,
When they called us the seasick scull'ry-maids,
 an' we called 'em the Ass Marines;
But, when we was down for a double fatigue, from Woolwich to Bernardmyo,
We sent for the Jollies -- 'Er Majesty's Jollies -- soldier an' sailor too!
They think for 'emselves, an' they steal for 'emselves,
 and they never ask what's to do,
But they're camped an' fed an' they're up an' fed before our bugle's blew.
Ho! they ain't no limpin' procrastitutes -- soldier an' sailor too.

You may say we are fond of an 'arness-cut, or 'ootin' in barrick-yards,
Or startin' a Board School mutiny along o' the Onion Guards;
But once in a while we can finish in style for the ends of the earth to view,
The same as the Jollies -- 'Er Majesty's Jollies -- soldier an' sailor too!
They come of our lot, they was brothers to us;
 they was beggars we'd met an' knew;
Yes, barrin' an inch in the chest an' the arm, they was doubles o' me an' you;
For they weren't no special chrysanthemums -- soldier an' sailor too!

To take your chance in the thick of a rush, with firing all about,
Is nothing so bad when you've cover to 'and, an' leave an' likin' to shout;
But to stand an' be still to the ~Birken'ead~ drill
 is a damn tough bullet to chew,
An' they done it, the Jollies -- 'Er Majesty's Jollies --
 soldier an' sailor too!
Their work was done when it 'adn't begun; they was younger nor me an' you;
Their choice it was plain between drownin' in 'eaps
 an' bein' mopped by the screw,
So they stood an' was still to the ~Birken'ead~ drill, soldier an' sailor too!

We're most of us liars, we're 'arf of us thieves,
 an' the rest are as rank as can be,
But once in a while we can finish in style
 (which I 'ope it won't 'appen to me).
But it makes you think better o' you an' your friends,
 an' the work you may 'ave to do,
When you think o' the sinkin' ~Victorier~'s Jollies -- soldier an' sailor too!
Now there isn't no room for to say ye don't know --
 they 'ave proved it plain and true --
That whether it's Widow, or whether it's ship, Victorier's work is to do,
An' they done it, the Jollies -- 'Er Majesty's Jollies --
 soldier an' sailor too!"
2,A Ballad of Burial,"If down here I chance to die,
 Solemnly I beg you take
All that is left of ""I""
 To the Hills for old sake's sake,
Pack me very thoroughly
 In the ice that used to slake
Pegs I drank when I was dry --
 This observe for old sake's sake.

To the railway station hie,
 There a single ticket take
For Umballa -- goods-train -- I
 Shall not mind delay or shake.
I shall rest contentedly
 Spite of clamor coolies make;
Thus in state and dignity
 Send me up for old sake's sake.

Next the sleepy Babu wake,
 Book a Kalka van ""for four.""
Few, I think, will care to make
 Journeys with me any more
As they used to do of yore.
 I shall need a ""special"" break --
Thing I never took before --
 Get me one for old sake's sake.

After that -- arrangements make.
 No hotel will take me in,
And a bullock's back would break
 'Neath the teak and leaden skin
Tonga ropes are frail and thin,
 Or, did I a back-seat take,
In a tonga I might spin, --
 Do your best for old sake's sake.

After that -- your work is done.
 Recollect a Padre must
Mourn the dear departed one --
 Throw the ashes and the dust.
Don't go down at once. I trust
 You will find excuse to ""snake
Three days' casual on the bust.""
 Get your fun for old sake's sake.

I could never stand the Plains.
 Think of blazing June and May
Think of those September rains
 Yearly till the Judgment Day!
I should never rest in peace,
 I should sweat and lie awake.
Rail me then, on my decease,
 To the Hills for old sake's sake."
3,A Ballade of Jakko Hill,"One moment bid the horses wait,
 Since tiffin is not laid till three,
Below the upward path and straight
 You climbed a year ago with me.
Love came upon us suddenly
 And loosed -- an idle hour to kill --
A headless, armless armory
 That smote us both on Jakko Hill.

Ah Heaven! we would wait and wait
 Through Time and to Eternity!
Ah Heaven! we could conquer Fate
 With more than Godlike constancy
I cut the date upon a tree --
 Here stand the clumsy figures still:
""10-7-85, A.D.""
 Damp with the mist of Jakko Hill.

What came of high resolve and great,
 And until Death fidelity!
Whose horse is waiting at your gate?
 Whose 'rickshaw-wheels ride over me?
No Saint's, I swear; and -- let me see
 To-night what names your programme fill --
We drift asunder merrily,
 As drifts the mist on Jakko Hill.

               L'ENVOI.
Princess, behold our ancient state
 Has clean departed; and we see
'Twas Idleness we took for Fate
 That bound light bonds on you and me.
Amen! Here ends the comedy
 Where it began in all good will;
Since Love and Leave together flee
 As driven mist on Jakko Hill!"
4,A Bank Fraud,"He drank strong waters and his speech was coarse;
He purchased raiment and forbore to pay';
He stuck a trusting junior with a horse,
And won gymkhanas in a doubtful way.
Then 'twixt a vice and folly, turned aside
To do good deeds and straight to cloak them, lied."
5,A Boy Scouts' Patrol Song,"These are our regulations --
 There's just one law for the Scout
And the first and the last, and the present and the past,
 And the future and the perfect is ""Look out!""
 I, thou and he, look out!
 We, ye and they, look out!
 Though you didn't or you wouldn't
 Or you hadn't or you couldn't;
 You jolly well must look out!

Look out, when you start for the day
 That your kit is packed to your mind;
There is no use going away            
 With half of it left behind.
Look out that your laces are tight,
 And your boots are easy and stout,
Or you'll end with a blister at night.
(Chorus) All Patrols look out!

Look out for the birds of the air,
 Look out for the beasts of the field --
They'll tell you how and where
 The other side's concealed.
When the blackbird bolts from the copse,
 Or the cattle are staring about,
The wise commander stops
 And (chorus) All Patrols look out!

Look out when your front is clear,
 And you feel you are bound to win.
Look out for your flank and your rear --
 That's where surprises begin.
For the rustle that isn't a rat,
 For the splash that isn't a trout,
For the boulder that may be a hat
(Chorus) All Patrols look out!

For the innocent knee-high grass,
 For the ditch that never tells,
Look out!  Look out ere you pass --
 And look out for everything else!
A sign mis-read as you run
 May turn retreat to a rout --
For all things under the sun
(Chorus) All Patrols look out!

Look out when your temper goes
 At the end of a losing game;
When your boots are too tight for your toes;
 And you answer and argue and blame.
It's the hardest part of the Low,
 But it has to be learnt by the Scout --
For whining and shirking and ""jaw""
(Chorus) All Patrols look out!"
6,A British-Roman Song,"My father's father saw it not,
And I, belike, shall never come
To look on that so-holy spot --
That very Rome --

Crowned by all Time, all Art, all Might,
The equal work of Gods and Man,
City beneath whose oldest height --
The Race began!

Soon to send forth again a brood,
Unshakable, we pray, that clings
To Rome's thrice-hammered hardihood --
In arduous things.

Strong heart with triple armour bound,
Beat strongly, for thy life-blood runs,
Age after Age, the Empire round --
In us thy Sons

Who, distant from the Seven Hills,
Loving and serving much, require
Thee -- thee to guard 'gainst home-born ills
The Imperial Fire!"
7,A Carol,"Our Lord Who did the Ox command
To kneel to Judah's King,
He binds His frost upon the land
To ripen it for Spring --
To ripen it for Spring, good sirs,
According to His Word.
Which well must be as ye can see --
And who shall judge the Lord?

When we poor fenmen skate the ice
Or shiver on the wold,
We hear the cry of a single tree
That breaks her heart in the cold --
That breaks her heart in the cold, good sirs,
And rendeth by the board.
Which well must be as ye can see --
And who shall judge the Lord?

Her wood is crazed and little worth
Excepting as to burn,
That we may warm and make our mirth
Until the Spring return --
Until the Spring return, good sirs,
When Christians walk abroad;
When well must be as ye can see --
And who shall judge the Lord?

God bless the master of this house,
And all who sleep therein!
And guard the fens from pirate folk,
And keep us all from sin,
To walk in honesty, good sirs,
Of thought and deed ad word!
Which shall befriend our latter end....
And who shall judge the Lord?"
8,A Charm,"Take of English earth as much
As either hand may rightly clutch.
In the taking of it breathe
Prayer for all who lie beneath.
Not the great nor well-bespoke,
But the mere uncounted folk
Of whose life and death is none
Report or lamentation.
Lay that earth upon thy heart,
And thy sickness shall depart!

It shall sweeten and make whole
Fevered breath and festered soul.
It shall mightily restrain
Over-busied hand and brain.
It shall ease thy mortal strife
'Gainst the immortal woe of life,
Till thyself, restored, shall prove
By what grace the Heavens do move.

Take of English flowers these --
Spring's full-vaced primroses,
Summer's wild wide-hearted rose,
Autumn's wall-flower of the close,
And, thy darkness to illume,
Winter's bee-thronged ivy-bloom.
Seek and serve them where they bide
From Candlemas to Christmas-tide,
For these simples, used aright,
Can restore a failing sight.

These shall cleanse and purify
Webbed and inward-turning eye;
These shall show thee treasure hid,
Thy familiar fields amid;
And reveal (which is thy need)
Every man a King indeed!"
9,A Child's Garden,"Now there is nothing wrong with me
Except -- I think it's called T.B.
And that is why I have to lay
Out in the garden all the day.

Our garden is not very wide
And cars go by on either side,
And make an angry-hooty noise
That rather startles little boys.

But worst of all is when they take
Me out in cars that growl and shake,
With charabancs so dreadful-near
I have to shut my eyes for fear.

But when I'm on my back again,
I watch the Croydon aeroplane
That flies across to France, and sings
Like hitting thick piano-strings.

When I am strong enough to do
The things I'm truly wishful to,
I'll never use a car or train
But always have an aeroplane;

And just go zooming round and round,
And frighten Nursey with the sound,
And see the angel-side of clouds,
And spit on all those motor-crowds!"
