,title,text
0,A Birthday Present,"What is this, behind this veil, is it ugly, is it beautiful?
It is shimmering, has it breasts, has it edges?

I am sure it is unique, I am sure it is what I want.
When I am quiet at my cooking I feel it looking, I feel it thinking

'Is this the one I am too appear for,
Is this the elect one, the one with black eye-pits and a scar?

Measuring the flour, cutting off the surplus,
Adhering to rules, to rules, to rules.

Is this the one for the annunciation?
My god, what a laugh!'

But it shimmers, it does not stop, and I think it wants me.
I would not mind if it were bones, or a pearl button.

I do not want much of a present, anyway, this year.
After all I am alive only by accident.

I would have killed myself gladly that time any possible way.
Now there are these veils, shimmering like curtains,

The diaphanous satins of a January window
White as babies' bedding and glittering with dead breath. O ivory!

It must be a tusk there, a ghost column.
Can you not see I do not mind what it is.

Can you not give it to me?
Do not be ashamed--I do not mind if it is small.

Do not be mean, I am ready for enormity.
Let us sit down to it, one on either side, admiring the gleam,

The glaze, the mirrory variety of it.
Let us eat our last supper at it, like a hospital plate.

I know why you will not give it to me,
You are terrified

The world will go up in a shriek, and your head with it,
Bossed, brazen, an antique shield,

A marvel to your great-grandchildren.
Do not be afraid, it is not so.

I will only take it and go aside quietly.
You will not even hear me opening it, no paper crackle,

No falling ribbons, no scream at the end.
I do not think you credit me with this discretion.

If you only knew how the veils were killing my days.
To you they are only transparencies, clear air.

But my god, the clouds are like cotton.
Armies of them. They are carbon monoxide.

Sweetly, sweetly I breathe in,
Filling my veins with invisibles, with the million

Probable motes that tick the years off my life.
You are silver-suited for the occasion. O adding machine-----

Is it impossible for you to let something go and have it go whole?
Must you stamp each piece purple,

Must you kill what you can?
There is one thing I want today, and only you can give it to me.

It stands at my window, big as the sky.
It breathes from my sheets, the cold dead center

Where split lives congeal and stiffen to history.
Let it not come by the mail, finger by finger.

Let it not come by word of mouth, I should be sixty
By the time the whole of it was delivered, and to numb to use it.

Only let down the veil, the veil, the veil.
If it were death

I would admire the deep gravity of it, its timeless eyes.
I would know you were serious.

There would be a nobility then, there would be a birthday.
And the knife not carve, but enter

Pure and clean as the cry of a baby,
And the universe slide from my side."
1,A Lesson In Vengeance,"In the dour ages
Of drafty cells and draftier castles,
Of dragons breathing without the frame of fables,
Saint and king unfisted obstruction's knuckles
By no miracle or majestic means,

But by such abuses
As smack of spite and the overscrupulous
Twisting of thumbscrews: one soul tied in sinews,
One white horse drowned, and all the unconquered pinnacles
Of God's city and Babylon's

Must wait, while here Suso's
Hand hones his tack and needles,
Scouraging to sores his own red sluices
For the relish of heaven, relentless, dousing with prickles
Of horsehair and lice his horny loins;
While there irate Cyrus
Squanders a summer and the brawn of his heroes
To rebuke the horse-swallowing River Gyndes:
He split it into three hundred and sixty trickles
A girl could wade without wetting her shins.

Still, latter-day sages,
Smiling at this behavior, subjugating their enemies
Neatly, nicely, by disbelief or bridges,
Never grip, as the grandsires did, that devil who chuckles
From grain of the marrow and the river-bed grains."
2,A Life,"Touch it: it won't shrink like an eyeball,
This egg-shaped bailiwick, clear as a tear.
Here's yesterday, last year ---
Palm-spear and lily distinct as flora in the vast
Windless threadwork of a tapestry.

Flick the glass with your fingernail:
It will ping like a Chinese chime in the slightest air stir
Though nobody in there looks up or bothers to answer.
The inhabitants are light as cork,
Every one of them permanently busy.

At their feet, the sea waves bow in single file.
Never trespassing in bad temper:
Stalling in midair,
Short-reined, pawing like paradeground horses.
Overhead, the clouds sit tasseled and fancy

As Victorian cushions. This family
Of valentine faces might please a collector:
They ring true, like good china.

Elsewhere the landscape is more frank.
The light falls without letup, blindingly.

A woman is dragging her shadow in a circle
About a bald hospital saucer.
It resembles the moon, or a sheet of blank paper
And appears to have suffered a sort of private blitzkrieg.
She lives quietly

With no attachments, like a foetus in a bottle,
The obsolete house, the sea, flattened to a picture
She has one too many dimensions to enter.
Grief and anger, exorcised,
Leave her alone now.

The future is a grey seagull
Tattling in its cat-voice of departure.
Age and terror, like nurses, attend her,
And a drowned man, complaining of the great cold,
Crawls up out of the sea.
"
3,A Sorcerer Bids FarewellTo Seem,"I'm through with this grand looking-glass hotel
where adjectives play croquet with flamingo nouns;
methinks I shall absent me for a while
from rhetoric of these rococo queens.
Item : chuck out royal rigmarole of props
and auction off each rare white-rabbit verb;
send my muse Alice packing with gaudy scraps
of mushroom simile and gryphon garb.

My native sleight-of-hand is wearing out :
mad hatter's hat yields no new metaphor,
and jabberwock will not translate his songs :
it's time to vanish like the cheshire cat
alone to that authentic island where
cabbages are cabbages; kings : kings."
4,A Winter Ship,"At this wharf there are no grand landings to speak of.
Red and orange barges list and blister
Shackled to the dock, outmoded, gaudy,
And apparently indestructible.
The sea pulses under a skin of oil.

A gull holds his pose on a shanty ridgepole,
Riding the tide of the wind, steady
As wood and formal, in a jacket of ashes,
The whole flat harbor anchored in
The round of his yellow eye-button.

A blimp swims up like a day-moon or tin
Cigar over his rink of fishes.
The prospect is dull as an old etching.
They are unloading three barrels of little crabs.
The pier pilings seem about to collapse

And with them that rickety edifice
Of warehouses, derricks, smokestacks and bridges
In the distance. All around us the water slips
And gossips in its loose vernacular,
Ferrying the smells of cod and tar.

Farther out, the waves will be mouthing icecakes ---
A poor month for park-sleepers and lovers.
Even our shadows are blue with cold.
We wanted to see the sun come up
And are met, instead, by this iceribbed ship,

Bearded and blown, an albatross of frost,
Relic of tough weather, every winch and stay
Encased in a glassy pellicle.
The sun will diminish it soon enough:
Each wave-tip glitters like a knife."
5,Above The Oxbow,"Here in this valley of discrete academies
We have not mountains, but mounts, truncated hillocks
To the Adirondacks, to northern Monadnock,
Themselves mere rocky hillocks to an Everest.
Still, they're out best mustering of height: by
Comparison with the sunnken silver-grizzled
Back of the Connecticut, the river-level
Flats of Hadley farms, they're lofty enough
Elevations to be called something more than hills.
Green, wholly green, they stand their knobby spine
Against our sky: they are what we look southward to
Up Pleasant Street at Main. Poising their shapes
Between the snuff and red tar-paper apartments,
They mound a summer coolness in our view.

To people who live in the bottom of valleys
A rise in the landscape, hummock or hogback, looks
To be meant for climbing. A peculiar logic
In going up for the coming down if the post
We start at's the same post we finish by,
But it's the clear conversion at the top can hold
Us to the oblique road, in spite of a fitful
Wish for even ground, and it's the last cliff
Ledge will dislodge out cramped concept of space, unwall
Horizons beyond vision, spill vision
After the horizons, stretching the narrowed eye
To full capacity. We climb to hopes
Of such seeing up the leaf-shuttered escarpments,
Blindered by green, under a green-grained sky

Into the blue. Tops define themselves as places
Where nothing higher's to be looked to. Downward looks
Follow the black arrow-backs of swifts on their track
Of the air eddies' loop and arc though air's at rest
To us, since we see no leaf edge stir high
Here on a mount overlaid with leaves. The paint-peeled
Hundred-year-old hotel sustains its ramshackle
Four-way veranda, view-keeping above
The fallen timbers of its once remarkable
Funicular railway, witness to gone
Time, and to graces gone with the time. A state view-
Keeper collects half-dollars for the slopes
Of state scenery, sells soda, shows off viewpoints.
A ruffy skylight oaints the gray oxbow

And paints the river's pale circumfluent stillness.
As roses broach their carmine in a mirror. Flux
Of the desultory currents --- all that unique
Stripple of shifting wave-tips is ironed out, lost
In the simplified orderings of sky-
Lorded perspectives. Maplike, the far fields are ruled
By correct green lines and no seedy free-for-all
Of asparagus heads. Cars run their suave
Colored beads on the strung roads, and the people stroll
Straightforwardly across the springing green.
All's peace and discipline down there. Till lately we
Lived under the shadow of hot rooftops
And never saw how coolly we might move. For once
A high hush quietens the crickets' cry."
6,Admonition,"If you dissect a bird
To diagram the tongue
You'll cut the chord
Articulating song.

If you flay a beast
To marvel at the mane
You'll wreck the rest
From which the fur began.

If you pluck out the heart
To find what makes it move,
You'll halt the clock
That syncopates our love."
7,Aftermath,"Compelled by calamity's magnet
They loiter and stare as if the house
Burnt-out were theirs, or as if they thought
Some scandal might any minute ooze
From a smoke-choked closet into light;
No deaths, no prodigious injuries
Glut these hunters after an old meat,
Blood-spoor of the austere tragedies.

Mother Medea in a green smock
Moves humbly as any housewife through
Her ruined apartments, taking stock
Of charred shoes, the sodden upholstery:
Cheated of the pyre and the rack,
The crowd sucks her last tear and turns away."
8,Alicante Lullaby,"In Alicante they bowl the barrels
Bumblingly over the nubs of the cobbles
Past the yellow-paella eateries,
Below the ramshackle back-alley balconies,
While the cocks and hens
In the roofgardens
Scuttle repose with crowns and cackles.

Kumquat-colored trolleys ding as they trundle
Passengers under an indigo fizzle
Needling spumily down from the wires:
Alongside the sibliant narhor the lovers
Hear loudspeakers boom
From each neon-lit palm
Rumbas and sambas no ear-flaps can muffle.

O Cacophony, goddess of jazz and of quarrels,
Crack-throated mistress of bagpipes and cymbals,
Let be your con brios, your capricciosos,
Crescendos, cadenzas, prestos and pretissimos,
My head on the pillow
(Piano, pianissimo)
Lullayed by susurrous lyres and viols."
9,All The Dead Dears,"Rigged poker -stiff on her back
With a granite grin
This antique museum-cased lady
Lies, companioned by the gimcrack
Relics of a mouse and a shrew
That battened for a day on her ankle-bone.

These three, unmasked now, bear
Dry witness
To the gross eating game
We'd wink at if we didn't hear
Stars grinding, crumb by crumb,
Our own grist down to its bony face.

How they grip us through think and thick,
These barnacle dead!
This lady here's no kin
Of mine, yet kin she is: she'll suck
Blood and whistle my narrow clean
To prove it. As I think now of her hand,

From the mercury-backed glass
Mother, grandmother, greatgrandmother
Reach hag hands to haul me in,
And an image looms under the fishpond surface
Where the daft father went down
With orange duck-feet winnowing this hair ---

All the long gone darlings: They
Get back, though, soon,
Soon: be it by wakes, weddings,
Childbirths or a family barbecue:
Any touch, taste, tang's
Fit for those outlaws to ride home on,

And to sanctuary: usurping the armchair
Between tick
And tack of the clock, until we go,
Each skulled-and-crossboned Gulliver
Riddled with ghosts, to lie
Deadlocked with them, taking roots as cradles rock."
