,title,text
0,1914,"War broke: and now the Winter of the world
With perishing great darkness closes in.
The foul tornado, centred at Berlin,
Is over all the width of Europe whirled,
Rending the sails of progress. Rent or furled
Are all Art's ensigns. Verse wails. Now begin
Famines of thought and feeling. Love's wine's thin.
The grain of human Autumn rots, down-hurled.

For after Spring had bloomed in early Greece,
And Summer blazed her glory out with Rome,
An Autumn softly fell, a harvest home,
A slow grand age, and rich with all increase.
But now, for us, wild Winter, and the need
Of sowings for new Spring, and blood for seed."
1,A New Heaven,"Seeing we never found gay fairyland
(Though still we crouched by bluebells moon by moon)
And missed the tide of Lethe; yet are soon
For that new bridge that leaves old Styx half-spanned;
Nor ever unto Mecca caravanned;
Nor bugled Asgard, skilled in magic rune;
Nor yearned for far Nirvana, the sweet swoon,
And from high Paradise are cursed and banned;

-Let's die home, ferry across the Channel! Thus
Shall we live gods there. Death shall be no sev'rance.
Weary cathedrals light new shrines for us.
To us, rough knees of boys shall ache with rev'rence.
Are not girls' breasts a clear, strong Acropole?
-There our oun mothers' tears shall heal us whole."
2,A Terre (being the philosophy of many soldiers),"Sit on the bed. I'm blind, and three parts shell.
Be careful; can't shake hands now; never shall.
Both arms have mutinied against me,-brutes.
My fingers fidget like ten idle brats.

I tried to peg out soldierly,-no use!
One dies of war like any old disease.
This bandage feels like pennies on my eyes.
I have my medals?-Discs to make eyes close.
My glorious ribbons?-Ripped from my own back
In scarlet shreds. (That's for your poetry book.)

A short life and a merry one, my buck!
We used to say we'd hate to live dead-old,-
Yet now...I'd willingly be puffy, bald,
And patriotic. Buffers catch from boys
At least the jokes hurled at them. I suppose
Little I'd ever teach a son, but hitting,
Shooting, war, hunting, all the arts of hurting.
Well, that's what I learnt,-that, and making money.

Your fifty years ahead seem none too many?
Tell me how long I've got? God! For one year
To help myself to nothing more than air!
One Spring! Is one too good to spare, too long?
Spring wind would work its own way to my lung,
And grow me legs as quick as lilac-shoots.

My servant's lamed, but listen how he shouts!
When I'm lugged out, he'll still be good for that.
Here in this mummy-case, you know, I've thought
How well I might have swept his floors for ever.
I'd ask no nights off when the bustle's over,
Enjoying so the dirt. Who's prejudiced
Against a grimed hand when his own's quite dust,
Less live than specks that in the sun-shafts turn,
Less warm than dust that mixes with arms' tan?
I'd love to be a sweep, now, black as Town,
Yes, or a muckman. Must I be his load?

O Life, Life, let me breathe,-a dug-out rat!
Not worse than ours the lives rats lead-
Nosing along at night down some safe rut,
They find a shell-proof home before they rot.
Dead men may envy living mites in cheese,
Or good germs even. Microbes have their joys,
And subdivide, and never come to death.
Certainly flowers have the easiest time on earth.
'I shall be one with nature, herb, and stone'
Shelley would tell me. Shelley would be stunned:
The dullest Tommy hugs that fancy now.
'Pushing up daisies' is their creed, you know.

To grain, then, go my fat, to buds my sap,
For all the usefulness there is in soap.
D'you think the Boche will ever stew man-soup?
Some day, no doubt, if...Friend, be very sure
I shall be better off with plants that share
More peaceably the meadow and the shower.
Soft rains will touch me,-as they could touch once,
And nothing but the sun shall make me ware.
Your guns may crash around me. I'll not hear;
Or, if I wince, I shall not know I wince.

Don't take my soul's poor comfort for your jest.
Soldiers may grow a soul when turned to fronds,
But here's the thing's best left at home with friends.

My soul's a little grief, grappling your chest,
To climb your throat on sobs; easily chased
On other sighs and wiped by fresher winds.

Carry my crying spirit till it's weaned
To do without what blood remained these wounds."
3,Anthem for Doomed Youth,"What passing-bells for these who die as cattle?
    Only the monstrous anger of the guns.
    Only the stuttering rifles' rapid rattle
Can patter out their hasty orisons.
No mockeries for them; no prayers nor bells,
Nor any voice of mourning save the choirs,--
The shrill, demented choirs of wailing shells;
And bugles calling for them from sad shires.
What candles may be held to speed them all?
     Not in the hands of boys, but in their eyes
 Shall shine the holy glimmers of goodbyes.
     The pallor of girls' brows shall be their pall;
 Their flowers the tenderness of patient minds,
 And each slow dusk a drawing-down of blinds."
4,Apologia Pro Poemate Meo,"I, too, saw God through mud--
The mud that cracked on cheeks when wretches smiled.
War brought more glory to their eyes than blood,
And gave their laughs more glee than shakes a child.

Merry it was to laugh there--
Where death becomes absurd and life absurder.
For power was on us as we slashed bones bare
Not to feel sickness or remorse of murder.

I, too, have dropped off fear--
Behind the barrage, dead as my platoon,
And sailed my spirit surging, light and clear,
Past the entanglement where hopes lie strewn;

And witnessed exhultation--
Faces that used to curse me, scowl for scowl,
Shine and lift up with passion of oblation,
Seraphic for an hour, though they were foul.

I have made fellowships--
Untold of happy lovers in old song.
For love is not the binding of fair lips
With the soft silk of eyes that look and long.

By joy, whose ribbon slips,--
But wound with war's hard wire whose stakes are strong;
Bound with the bandage of the arm that drips;
Knit in the welding of the rifle-thong.

I have perceived much beauty
In the hoarse oaths that kept our courage straight;
Heard music in the silentness of duty;
Found peace where shell-storms spouted reddest spate.

Nevertheless, except you share
With them in hell the sorrowful dark of hell,
Whose world is but a trembling of a flare
And heaven but a highway for a shell,

You shall not hear their mirth:
You shall not come to think them well content
By any jest of mine. These men are worth
Your tears: You are not worth their merriment."
5,Arms and the Boy," Let the boy try along this bayonet-blade
How cold steel is, and keen with hunger of blood;
Blue with all malice, like a madman's flash;
And thinly drawn with famishing for flesh.
Lend him to stroke these blind, blunt bullet-heads
Which long to muzzle in the hearts of lads.
Or give him cartridges of fine zinc teeth,
Sharp with the sharpness of grief and death.
For his teeth seem for laughing round an apple.
  There lurk no claws behind his fingers supple;
  And God will grow no talons at his heels,
  Nor antlers through the thickness of his curls."
6,Asleep,"Under his helmet, up against his pack,
After so many days of work and waking,
Sleep took him by the brow and laid him back.

There, in the happy no-time of his sleeping,
Death took him by the heart. There heaved a quaking
Of the aborted life within him leaping,
Then chest and sleepy arms once more fell slack.

And soon the slow, stray blood came creeping
From the intruding lead, like ants on track.

Whether his deeper sleep lie shaded by the shaking
Of great wings, and the thoughts that hung the stars,
High-pillowed on calm pillows of God's making,
Above these clouds, these rains, these sleets of lead,
And these winds' scimitars,
-Or whether yet his thin and sodden head
Confuses more and more with the low mould,
His hair being one with the grey grass
Of finished fields, and wire-scrags rusty-old,
Who knows? Who hopes? Who troubles? Let it pass!
He sleeps. He sleeps less tremulous, less cold,
Than we who wake, and waking say Alas!"
7,At a Calvary Near the Ancre,"One ever hangs where shelled roads part.
In this war He too lost a limb,
But His disciples hide apart;
And now the Soldiers bear with Him.

Near Golgotha strolls many a priest,
And in their faces there is pride
That they were flesh-marked by the Beast
By whom the gentle Christ's denied

The scribes on all the people shove
And bawl allegiance to the state,
But they who love the greater love
Lay down their life; they do not hate"
8,Beauty: [Notes for an unfinished poem],"The beautiful, the fair, the elegant,
Is that which pleases us, says Kant,
Without a thought of interest or advantage.

I used to watch men when they spoke of beauty
And measure their enthusiasm. One
An old man, seeing a ( ) setting sun,
Praised it ( ) a certain sense of duty
To the calm evening and his time of life.
I know another man that never says a Beauty
But of a horse; ( )

Men seldom speak of beauty, beauty as such,
Not even lovers think about it much.
Women of course consider it for hours
In mirrors; ( )

A shrapnel ball -
Just where the wet skin glistened when he swam -
Like a fully-opened sea-anemone.
We both said 'What a beauty! What a beauty, lad'
I knew that in that flower he saw a hope
Of living on, and seeing again the roses of his home.
Beauty is that which pleases and delights,
Not bringing personal advantage - Kant.
But later on I heard
A canker worked into that crimson flower
And that he sank with it
And laid it with the anemones off Dover."
9,But I Was Looking at the Permanent Stars,"Bugles sang, saddening the evening air,
And bugles answered, sorrowful to hear.

Voices of boys were by the river-side.
Sleep mothered them; and left the twilight sad.
The shadow of the morrow weighed on men.

Voices of old despondency resigned,
Bowed by the shadow of the morrow, slept.

( ) dying tone
Of receding voices that will not return.
The wailing of the high far-travelling shells
And the deep cursing of the provoking ( )

The monstrous anger of our taciturn guns.
The majesty of the insults of their mouths."
