,title,text
0,"'Tis Said, That Some Have Died For Love","'Tis said, that some have died for love:
And here and there a churchyard grave is found
In the cold north's unhallowed ground,
Because the wretched man himself had slain,
His love was such a grievous pain.
And there is one whom I five years have known;
He dwells alone
Upon Helvellyn's side:
He loved--the pretty Barbara died;
And thus he makes his moan:
Three years had Barbara in her grave been laid
When thus his moan he made:

""Oh, move, thou Cottage, from behind that oak!
Or let the aged tree uprooted lie,
That in some other way yon smoke
May mount into the sky!
The clouds pass on; they from the heavens depart.
I look--the sky is empty space;
I know not what I trace;
But when I cease to look, my hand is on my heart.

""Oh! what a weight is in these shades! Ye leaves,
That murmur once so dear, when will it cease?
Your sound my heart of rest bereaves,
It robs my heart of peace.
Thou Thrush, that singest loud--and loud and free,
Into yon row of willows flit,
Upon that alder sit;
Or sing another song, or choose another tree.

""Roll back, sweet Rill! back to thy mountain-bounds,
And there for ever be thy waters chained!
For thou dost haunt the air with sounds
That cannot be sustained;
If still beneath that pine-tree's ragged bough
Headlong yon waterfall must come,
Oh let it then be dumb!
Be anything, sweet Rill, but that which thou art now.

""Thou Eglantine, so bright with sunny showers,
Proud as a rainbow spanning half the vale,
Thou one fair shrub, oh! shed thy flowers,
And stir not in the gale.
For thus to see thee nodding in the air,
To see thy arch thus stretch and bend,
Thus rise and thus descend,--
Disturbs me till the sight is more than I can dear.""

The Man who makes this feverish complaint
Is one of giant stature, who could dance
Equipped from head to foot in iron mail.
Ah gentle Love! if ever thought was thine
To store up kindred hours for me, thy face
Turn from me, gentle Love! nor let me walk
Within the sound of Emma's voice, nor know
Such happiness as I have known to-day."
1,A Character,"I marvel how Nature could ever find space
For so many strange contrasts in one human face:
There's thought and no thought, and there's paleness and bloom
And bustle and sluggishness, pleasure and gloom.

There's weakness, and strength both redundant and vain;
Such strength as, if ever affliction and pain
Could pierce through a temper that's soft to disease,
Would be rational peace--a philosopher's ease.

There's indifference, alike when he fails or succeeds,
And attention full ten times as much as there needs;
Pride where there's no envy, there's so much of joy;
And mildness, and spirit both forward and coy.

There's freedom, and sometimes a diffident stare
Of shame scarcely seeming to know that she's there,
There's virtue, the title it surely may claim,
Yet wants heaven knows what to be worthy the name.

This picture from nature may seem to depart,
Yet the Man would at once run away with your heart;
And I for five centuries right gladly would be
Such an odd such a kind happy creature as he."
2,A Complaint,"There is a change--and I am poor;
Your love hath been, nor long ago,
A fountain at my fond heart's door,
Whose only business was to flow;
And flow it did; not taking heed
Of its own bounty, or my need.
What happy moments did I count!
Blest was I then all bliss above!
Now, for that consecrated fount
Of murmuring, sparkling, living love,
What have I? shall I dare to tell?
A comfortless and hidden well.

A well of love--it may be deep--
I trust it is,--and never dry:
What matter? if the waters sleep
In silence and obscurity.
--Such change, and at the very door
Of my fond heart, hath made me poor."
3,A Narrow Girdle of Rough Stones and Crags,"A narrow girdle of rough stones and crags,
A rude and natural causeway, interposed
Between the water and a winding slope
Of copse and thicket, leaves the eastern shore
Of Grasmere safe in its own privacy:
And there myself and two beloved Friends,
One calm September morning, ere the mist
Had altogether yielded to the sun,
Sauntered on this retired and difficult way.
----Ill suits the road with one in haste; but we
Played with our time; and, as we strolled along,
It was our occupation to observe
Such objects as the waves had tossed ashore--
Feather, or leaf, or weed, or withered bough,
Each on the other heaped, along the line
Of the dry wreck. And, in our vacant mood,
Not seldom did we stop to watch some tuft
Of dandelion seed or thistle's beard,
That skimmed the surface of the dead calm lake,
Suddenly halting now--a lifeless stand!
And starting off again with freak as sudden;
In all its sportive wanderings, all the while,
Making report of an invisible breeze
That was its wings, its chariot, and its horse,
Its playmate, rather say, its moving soul.
--And often, trifling with a privilege
Alike indulged to all, we paused, one now,
And now the other, to point out, perchance
To pluck, some flower or water-weed, too fair
Either to be divided from the place
On which it grew, or to be left alone
To its own beauty. Many such there are,
Fair ferns and flowers, and chiefly that tall fern,
So stately, of the queen Osmunda named;
Plant lovelier, in its own retired abode
On Grasmere's beach, than Naiad by the side
Of Grecian brook, or Lady of the Mere,
Sole-sitting by the shores of old romance.
--So fared we that bright morning: from the fields
Meanwhile, a noise was heard, the busy mirth
Of reapers, men and women, boys and girls.
Delighted much to listen to those sounds,
And feeding thus our fancies, we advanced
Along the indented shore; when suddenly,
Through a thin veil of glittering haze was seen
Before us, on a point of jutting land,
The tall and upright figure of a Man
Attired in peasant's garb, who stood alone,
Angling beside the margin of the lake.
""Improvident and reckless,"" we exclaimed,
""The Man must be, who thus can lose a day
Of the mid harvest, when the labourer's hire
Is ample, and some little might be stored
Wherewith to cheer him in the winter time.""
Thus talking of that Peasant, we approached
Close to the spot where with his rod and line
He stood alone; whereat he turned his head
To greet us--and we saw a Mam worn down
By sickness, gaunt and lean, with sunken cheeks
And wasted limbs, his legs so long and lean
That for my single self I looked at them,
Forgetful of the body they sustained.--
Too weak to labour in the harvest field,
The Man was using his best skill to gain
A pittance from the dead unfeeling lake
That knew not of his wants. I will not say
What thoughts immediately were ours, nor how
The happy idleness of that sweet morn,
With all its lovely images, was changed
To serious musing and to self-reproach.
Nor did we fail to see within ourselves
What need there is to be reserved in speech,
And temper all our thoughts with charity.
--Therefore, unwilling to forget that day,
My Friend, Myself, and She who then received
The same admonishment, have called the place
By a memorial name, uncouth indeed
As e'er by mariner was given to bay
Or foreland, on a new-discovered coast;
And POINT RASH-JUDGMENT is the name it bears."
4,A Night Thought,"Lo! where the Moon along the sky
Sails with her happy destiny;
Oft is she hid from mortal eye
Or dimly seen,
But when the clouds asunder fly
How bright her mien!

Far different we--a froward race,
Thousands though rich in Fortune's grace
With cherished sullenness of pace
Their way pursue,
Ingrates who wear a smileless face
The whole year through.

If kindred humours e'er would make
My spirit droop for drooping's sake,
From Fancy following in thy wake,
Bright ship of heaven!
A counter impulse let me take
And be forgiven."
5,A Night-Piece,"------The sky is overcast
With a continuous cloud of texture close,
Heavy and wan, all whitened by the Moon,
Which through that veil is indistinctly seen,
A dull, contracted circle, yielding light
So feebly spread, that not a shadow falls,
Chequering the ground--from rock, plant, tree, or tower.
At length a pleasant instantaneous gleam
Startles the pensive traveller while he treads
His lonesome path, with unobserving eye
Bent earthwards; he looks up--the clouds are split
Asunder,--and above his head he sees
The clear Moon, and the glory of the heavens.
There, in a black-blue vault she sails along,
Followed by multitudes of stars, that, small
And sharp, and bright, along the dark abyss
Drive as she drives: how fast they wheel away,
Yet vanish not!--the wind is in the tree,
But they are silent;--still they roll along
Immeasurably distant; and the vault,
Built round by those white clouds, enormous clouds,
Still deepens its unfathomable depth.
At length the Vision closes; and the mind,
Not undisturbed by the delight it feels,
Which slowly settles into peaceful calm,
Is left to muse upon the solemn scene."
6,A Poet! He Hath Put his Heart to School,".    A poet!--He hath put his heart to school,
   Nor dares to move unpropped upon the staff
   Which art hath lodged within his hand--must laugh
   By precept only, and shed tears by rule.
   Thy Art be Nature; the live current quaff,
   And let the groveller sip his stagnant pool,
   In fear that else, when Critics grave and cool
   Have killed him, Scorn should write his epitaph.
   How does the Meadow-flower its bloom unfold?
  Because the lovely little flower is free
  Down to its root, and, in that freedom, bold;
  And so the grandeur of the Forest-tree
  Comes not by casting in a formal mould,
  But from its own divine vitality."
7,A Poet's Epitaph,"Art thou a Statist in the van
Of public conflicts trained and bred?
--First learn to love one living man;
'Then' may'st thou think upon the dead.

A Lawyer art thou?--draw not nigh!
Go, carry to some fitter place
The keenness of that practised eye,
The hardness of that sallow face.

Art thou a Man of purple cheer?
A rosy Man, right plump to see?
Approach; yet, Doctor, not too near,
This grave no cushion is for thee.

Or art thou one of gallant pride,
A Soldier and no man of chaff?
Welcome!--but lay thy sword aside,
And lean upon a peasant's staff.

Physician art thou? one, all eyes,
Philosopher! a fingering slave,
One that would peep and botanise
Upon his mother's grave?

Wrapt closely in thy sensual fleece,
O turn aside,--and take, I pray,
That he below may rest in peace,
Thy ever-dwindling soul, away!

A Moralist perchance appears;
Led, Heaven knows how! to this poor sod:
And he has neither eyes nor ears;
Himself his world, and his own God;

One to whose smooth-rubbed soul can cling
Nor form, nor feeling, great or small;
A reasoning, self-sufficing thing,
An intellectual All-in-all!

Shut close the door; press down the latch;
Sleep in thy intellectual crust;
Nor lose ten tickings of thy watch
Near this unprofitable dust.

But who is He, with modest looks,
And clad in homely russet brown?
He murmurs near the running brooks
A music sweeter than their own.

He is retired as noontide dew,
Or fountain in a noon-day grove;
And you must love him, ere to you
He will seem worthy of your love.

The outward shows of sky and earth,
Of hill and valley, he has viewed;
And impulses of deeper birth
Have come to him in solitude.

In common things that round us lie
Some random truths he can impart,--
The harvest of a quiet eye
That broods and sleeps on his own heart.

But he is weak; both Man and Boy,
Hath been an idler in the land;
Contented if he might enjoy
The things which others understand.

--Come hither in thy hour of strength;
Come, weak as is a breaking wave!
Here stretch thy body at full length;
Or build thy house upon this grave."
8,A Whirl-Blast from Behind the Hill,"A Whirl-Blast from behind the hill
Rushed o'er the wood with startling sound;
Then--all at once the air was still,
And showers of hailstones pattered round.
Where leafless oaks towered high above,
I sat within an undergrove
Of tallest hollies, tall and green;
A fairer bower was never seen.
From year to year the spacious floor
With withered leaves is covered o'er,
And all the year the bower is green.
But see! where'er the hailstones drop
The withered leaves all skip and hop;
There's not a breeze--no breath of air--
Yet here, and there, and everywhere
Along the floor, beneath the shade
By those embowering hollies made,
The leaves in myriads jump and spring,
As if with pipes and music rare
Some Robin Good-fellow were there,
And all those leaves, in festive glee,
Were dancing to the minstrelsy."
9,A Wren's Nest,"AMONG the dwellings framed by birds
    In field or forest with nice care,
Is none that with the little Wren's
    In snugness may compare.

No door the tenement requires,
    And seldom needs a laboured roof;
Yet is it to the fiercest sun
    Impervious, and storm-proof.

So warm, so beautiful withal,
    In perfect fitness for its aim,
That to the Kind by special grace
    Their instinct surely came.

And when for their abodes they seek
    An opportune recess,
The hermit has no finer eye
    For shadowy quietness.

These find, 'mid ivied abbey-walls,
    A canopy in some still nook;
Others are pent-housed by a brae
    That overhangs a brook.

There to the brooding bird her mate
    Warbles by fits his low clear song;
And by the busy streamlet both
    Are sung to all day long.

Or in sequestered lanes they build,
    Where, till the flitting bird's return,
Her eggs within the nest repose,
    Like relics in an urn.

But still, where general choice is good,
    There is a better and a best;
And, among fairest objects, some
    Are fairer than the rest;

This, one of those small builders proved
    In a green covert, where, from out
The forehead of a pollard oak,
    The leafy antlers sprout;

For She who planned the mossy lodge,
    Mistrusting her evasive skill,
Had to a Primrose looked for aid
    Her wishes to fulfill.

High on the trunk's projecting brow,
    And fixed an infant's span above
The budding flowers, peeped forth the nest
    The prettiest of the grove!

The treasure proudly did I show
    To some whose minds without disdain
Can turn to little things; but once
    Looked up for it in vain:

'Tis gone---a ruthless spoiler's prey,
    Who heeds not beauty, love, or song,
'Tis gone! (so seemed it) and we grieved
    Indignant at the wrong.

Just three days after, passing by
    In clearer light the moss-built cell
I saw, espied its shaded mouth;
    And felt that all was well.

The Primrose for a veil had spread
    The largest of her upright leaves;
And thus, for purposes benign,
    A simple flower deceives.

Concealed from friends who might disturb
    Thy quiet with no ill intent,
Secure from evil eyes and hands
    On barbarous plunder bent,

Rest, Mother-bird! and when thy young
    Take flight, and thou art free to roam,
When withered is the guardian Flower,
    And empty thy late home,

Think how ye prospered, thou and thine,
    Amid the unviolated grove
Housed near the growing Primrose-tuft
    In foresight, or in love."
