,doc_id,sentence
0,0,"one christmas was so much like another, in those years around the sea-town corner now and out of all sound except the distant speaking of the voices i sometimes hear a moment before sleep, that i can never remember whether it snowed for six days and six nights when i was twelve or whether it snowed for twelve days and twelve nights when i was six,"
1,0,
2,0,"all the christmases roll down toward the two-tongued sea, like a cold and headlong moon bundling down the sky that was our street; and they stop at the rim of the ice-edged fish-freezing waves, and i plunge my hands in the snow and bring out whatever i can find, in goes my hand into that wool-white bell-tongued ball of holidays resting at the rim of the carol-singing sea, and out come mrs, prothero and the firemen,"
3,0,
4,0,"it was on the afternoon of the christmas eve, and i was in mrs, prothero's garden, waiting for cats, with her son jim, it was snowing, it was always snowing at christmas, december, in my memory, is white as lapland, though there were no reindeer's, but there were cats, patient, cold and callous, our hands wrapped in socks, we waited to snowball the cats, sleek and long as jaguars and horrible-whiskered, spitting and snarling, they would slink and sidle over the white back-garden walls, and the lynx-eyed hunters, jim and i, fur-capped and moccasined trappers from hudson bay, off mumbles road, would hurl our deadly snowballs at the green of their eyes, the wise cats never appeared,"
5,0,
6,0,"we were so still, eskimo-footed arctic marksmen in the muffling silence of the eternal snows - eternal, ever since wednesday - that we never heard mrs, prothero's first cry from her igloo at the bottom of the garden, or, if we heard it at all, it was, to us, like the far-off challenge of our enemy and prey, the neighbor's polar cat, but soon the voice grew louder,"
7,0,"fire! cried mrs, prothero, and she beat the dinner-gong,"
8,0,
9,0,"and we ran down the garden, with the snowballs in our arms, toward the house; and smoke, indeed, was pouring out of the dining-room, and the gong was bombilating, and mrs, prothero was announcing ruin like a town crier in pompeii, this was better than all the cats in wales standing on the wall in a row, we bounded into the house, laden with snowballs, and stopped at the open door of the smoke-filled room,"
10,0,
11,0,"something was burning all right; perhaps it was mr, prothero, who always slept there after midday dinner with a newspaper over his face, but he was standing in the middle of the room, saying, a fine christmas! and smacking at the smoke with a slipper,"
12,0,
13,0,"call the fire brigade, cried mrs, prothero as she beat the gong,"
14,0,"there won't be there, said mr, prothero, it's christmas,"
15,0,"there was no fire to be seen, only clouds of smoke and mr, prothero standing in the middle of them, waving his slipper as though he were conducting,"
16,0,"do something, he said, and we threw all our snowballs into the smoke - i think we missed mr, prothero - and ran out of the house to the telephone box,"
17,0,"let's call the police as well, jim said, and the ambulance, and ernie jenkins, he likes fires,"
18,0,
19,0,"but we only called the fire brigade, and soon the fire engine came and three tall men in helmets brought a hose into the house and mr, prothero got out just in time before they turned it on, nobody could have had a noisier christmas eve, and when the firemen turned off the hose and were standing in the wet, smoky room, jim's aunt, miss, prothero, came downstairs and peered in at them, jim and i waited, very quietly, to hear what she would say to them, she said the right thing, always, she looked at the three tall firemen in their shining helmets, standing among the smoke and cinders and dissolving snowballs, and she said, would you like anything to read?"
20,0,
21,0,"years and years ago, when i was a boy, when there were wolves in wales, and birds the color of red-flannel petticoats whisked past the harp-shaped hills, when we sang and wallowed all night and day in caves that smelt like sunday afternoons in damp front farmhouse parlors, and we chased, with the jawbones of deacons, the english and the bears, before the motor car, before the wheel, before the duchess-faced horse, when we rode the daft and happy hills bareback, it snowed and it snowed, but here a small boy says, it snowed last year, too, i made a snowman and my brother knocked it down and i knocked my brother down and then we had tea,"
22,0,
23,0,"but that was not the same snow, i say, our snow was not only shaken from white wash buckets down the sky, it came shawling out of the ground and swam and drifted out of the arms and hands and bodies of the trees; snow grew overnight on the roofs of the houses like a pure and grandfather moss, minutely -ivied the walls and settled on the postman, opening the gate, like a dumb, numb thunder-storm of white, torn christmas cards,"
24,0,
25,0,"were there postmen then, too?"
26,0,"with sprinkling eyes and wind-cherried noses, on spread, frozen feet they crunched up to the doors and mittened on them manfully, but all that the children could hear was a ringing of bells,"
27,0,you mean that the postman went rat-a-tat-tat and the doors rang?
28,0,"i mean that the bells the children could hear were inside them,"
29,0,"i only hear thunder sometimes, never bells,"
30,0,"there were church bells, too,"
31,0,inside them?
32,0,"no, no, no, in the bat-black, snow-white belfries, tugged by bishops and storks, and they rang their tidings over the bandaged town, over the frozen foam of the powder and ice-cream hills, over the crackling sea, it seemed that all the churches boomed for joy under my window; and the weathercocks crew for christmas, on our fence,"
33,0,
34,0,get back to the postmen
35,0,"they were just ordinary postmen, found of walking and dogs and christmas and the snow, they knocked on the doors with blue knuckles ,,"
36,0,"ours has got a black knocker,,"
37,0,"and then they stood on the white welcome mat in the little, drifted porches and huffed and puffed, making ghosts with their breath, and jogged from foot to foot like small boys wanting to go out,"
38,0,and then the presents?
39,0,"and then the presents, after the christmas box, and the cold postman, with a rose on his button-nose, tingled down the tea-tray-slithered run of the chilly glinting hill, he went in his ice-bound boots like a man on fishmonger's slabs,"
40,0,"he wagged his bag like a frozen camel's hump, dizzily turned the corner on one foot, and, by god, he was gone,"
41,0,
42,0,"get back to the presents,"
43,0,"there were the useful presents, engulfing mufflers of the old coach days, and mittens made for giant sloths; zebra scarfs of a substance like silky gum that could be tug-o'-warred down to the galoshes; blinding tam-o'-shanters like patchwork tea cozies and bunny-suited busbies and balaclavas for victims of head-shrinking tribes; from aunts who always wore wool next to the skin there were mustached and rasping vests that made you wonder why the aunts had any skin left at all; and once i had a little crocheted nose bag from an aunt now, alas, no longer whinnying with us, and pictureless books in which small boys, though warned with quotations not to, would skate on farmer giles' pond and did and drowned; and books that told me everything about the wasp, except why,"
44,0,
45,0,"go on the useless presents,"
46,0,"bags of moist and many-colored jelly babies and a folded flag and a false nose and a tram-conductor's cap and a machine that punched tickets and rang a bell; never a catapult; once, by mistake that no one could explain, a little hatchet; and a celluloid duck that made, when you pressed it, a most unducklike sound, a mewing moo that an ambitious cat might make who wished to be a cow; and a painting book in which i could make the grass, the trees, the sea and the animals any colour i pleased, and still the dazzling sky-blue sheep are grazing in the red field under the rainbow-billed and pea-green birds, hardboileds, toffee, fudge and allsorts, crunches, cracknels, humbugs, glaciers, marzipan, and butterwelsh for the welsh, and troops of bright tin soldiers who, if they could not fight, could always run, and snakes-and-families and happy ladders, and easy hobbi-games for little engineers, complete with instructions, oh, easy for leonardo! and a whistle to make the dogs bark to wake up the old man next door to make him beat on the wall with his stick to shake our picture off the wall, and a packet of cigarettes, you put one in your mouth and you stood at the corner of the street and you waited for hours, in vain, for an old lady to scold you for smoking a cigarette, and then with a smirk you ate it, and then it was breakfast under the balloons,"
47,0,
48,0,were there uncles like in our house?
49,0,"there are always uncles at christmas, the same uncles, and on christmas morning, with dog-disturbing whistle and sugar fags, i would scour the swatched town for the news of the little world, and find always a dead bird by the post office or by the white deserted swings; perhaps a robin, all but one of his fires out, men and women wading or scooping back from chapel, with taproom noses and wind-bussed cheeks, all albinos, huddles their stiff black jarring feathers against the irreligious snow, mistletoe hung from the gas brackets in all the front parlors; there was sherry and walnuts and bottled beer and crackers by the dessertspoons; and cats in their fur-abouts watched the fires; and the high-heaped fire spat, all ready for the chestnuts and the mulling pokers, some few large men sat in the front parlors, without their collars, uncles almost certainly, trying their new cigars, holding them out judiciously at arms' length, returning them to their mouths, coughing, then holding them out again as though waiting for the explosion; and some few small aunts, not wanted in the kitchen, nor anywhere else for that matter, sat on the very edge of their chairs, poised and brittle, afraid to break, like faded cups and saucers,"
50,0,
51,0,"not many those mornings trod the piling streets, an old man always, fawn-bowlered, yellow-gloved and, at this time of year, with spats of snow, would take his constitutional to the white bowling green and back, as he would take it wet or fire on christmas day or doomsday; sometimes two hale young men, with big pipes blazing, no overcoats and wind blown scarfs, would trudge, unspeaking, down to the forlorn sea, to work up an appetite, to blow away the fumes, who knows, to walk into the waves until nothing of them was left but the two furling smoke clouds of their inextinguishable briars, then i would be slap-dashing home, the gravy smell of the dinners of others, the bird smell, the brandy, the pudding and mince, coiling up to my nostrils, when out of a snow-clogged side lane would come a boy the spit of myself, with a pink-tipped cigarette and the violet past of a black eye, cocky as a bullfinch, leering all to himself,"
52,0,
53,0,"i hated him on sight and sound, and would be about to put my dog whistle to my lips and blow him off the face of christmas when suddenly he, with a violet wink, put his whistle to his lips and blew so stridently, so high, so exquisitely loud, that gobbling faces, their cheeks bulged with goose, would press against their tinsled windows, the whole length of the white echoing street, for dinner we had turkey and blazing pudding, and after dinner the uncles sat in front of the fire, loosened all buttons, put their large moist hands over their watch chains, groaned a little and slept, mothers, aunts and sisters scuttled to and fro, bearing tureens, auntie bessie, who had already been frightened, twice, by a clock-work mouse, whimpered at the sideboard and had some elderberry wine, the dog was sick, auntie dosie had to have three aspirins, but auntie hannah, who liked port, stood in the middle of the snowbound back yard, singing like a big-bosomed thrush, i would blow up balloons to see how big they would blow up to; and, when they burst, which they all did, the uncles jumped and rumbled, in the rich and heavy afternoon, the uncles breathing like dolphins and the snow descending, i would sit among festoons and chinese lanterns and nibble dates and try to make a model man-o'-war, following the instructions for little engineers, and produce what might be mistaken for a sea-going tramcar,"
54,0,
55,0,"or i would go out, my bright new boots squeaking, into the white world, on to the seaward hill, to call on jim and dan and jack and to pad through the still streets, leaving huge footprints on the hidden pavements,"
56,0,"i bet people will think there's been hippos,"
57,0,what would you do if you saw a hippo coming down our street?
58,0,"i'd go like this, bang! i'd throw him over the railings and roll him down the hill and then i'd tickle him under the ear and he'd wag his tail,"
59,0,what would you do if you saw two hippos?
60,0,
61,0,"iron-flanked and bellowing he-hippos clanked and battered through the scudding snow toward us as we passed mr, daniel's house,"
62,0,"let's post mr, daniel a snow-ball through his letter box,"
63,0,"let's write things in the snow,"
64,0,"let's write, 'mr, daniel looks like a spaniel' all over his lawn,"
65,0,"or we walked on the white shore, can the fishes see it's snowing?"
66,0,
67,0,"the silent one-clouded heavens drifted on to the sea, now we were snow-blind travelers lost on the north hills, and vast dewlapped dogs, with flasks round their necks, ambled and shambled up to us, baying excelsior, we returned home through the poor streets where only a few children fumbled with bare red fingers in the wheel-rutted snow and cat-called after us, their voices fading away, as we trudged uphill, into the cries of the dock birds and the hooting of ships out in the whirling bay, and then, at tea the recovered uncles would be jolly; and the ice cake loomed in the center of the table like a marble grave, auntie hannah laced her tea with rum, because it was only once a year,"
68,0,
69,0,"bring out the tall tales now that we told by the fire as the gaslight bubbled like a diver, ghosts whooed like owls in the long nights when i dared not look over my shoulder; animals lurked in the cubbyhole under the stairs and the gas meter ticked, and i remember that we went singing carols once, when there wasn't the shaving of a moon to light the flying streets, at the end of a long road was a drive that led to a large house, and we stumbled up the darkness of the drive that night, each one of us afraid, each one holding a stone in his hand in case, and all of us too brave to say a word, the wind through the trees made noises as of old and unpleasant and maybe webfooted men wheezing in caves, we reached the black bulk of the house, what shall we give them? hark the herald?"
70,0,"no, jack said, good king wencelas, i'll count three, one, two three, and we began to sing, our voices high and seemingly distant in the snow-felted darkness round the house that was occupied by nobody we knew, we stood close together, near the dark door, good king wencelas looked out on the feast of stephen , and then a small, dry voice, like the voice of someone who has not spoken for a long time, joined our singing, a small, dry, eggshell voice from the other side of the door, a small dry voice through the keyhole, and when we stopped running we were outside our house; the front room was lovely; balloons floated under the hot-water-bottle-gulping gas; everything was good again and shone over the town,"
71,0,"perhaps it was a ghost, jim said,"
72,0,"perhaps it was trolls, dan said, who was always reading,"
73,0,"let's go in and see if there's any jelly left, jack said, and we did that,"
74,0,
75,0,"always on christmas night there was music, an uncle played the fiddle, a cousin sang cherry ripe, and another uncle sang drake's drum, it was very warm in the little house, auntie hannah, who had got on to the parsnip wine, sang a song about bleeding hearts and death, and then another in which she said her heart was like a bird's nest; and then everybody laughed again; and then i went to bed, looking through my bedroom window, out into the moonlight and the unending smoke-colored snow, i could see the lights in the windows of all the other houses on our hill and hear the music rising from them up the long, steady falling night, i turned the gas down, i got into bed, i said some words to the close and holy darkness, and then i slept,"
