,doc_id,sentence
0,0,"as hermes once took to his feathers light,"
1,0,"when lulled argus, baffled, swooned and slept,"
2,0,"so on a delphic reed, my idle spright"
3,0,"so played, so charmed, so conquered, so bereft"
4,0,the dragon-world of all its hundred eyes;
5,0,"and seeing it asleep, so fled away,"
6,0,"not to pure ida with its snow-cold skies,"
7,0,"nor unto tempe, where jove grieved a day;"
8,0,"but to that second circle of sad hell,"
9,0,"where in the gust, the whirlwind, and the flaw"
10,0,"of rain and hail-stones, lovers need not tell"
11,0,"their sorrows, pale were the sweet lips i saw,"
12,0,"pale were the lips i kissed, and fair the form"
13,0,"i floated with, about that melancholy storm,"
14,1,"high-mindedness, a jealousy for good,"
15,1,"a loving-kindness for the great man's fame,"
16,1,"dwells here and there with people of no name,"
17,1,"in noisome alley, and in pathless wood,"
18,1,"and where we think the truth least understood,"
19,1,"oft may be found a singleness of aim,"
20,1,that ought to frighten into hooded shame
21,1,"a money-mongering, pitiable brood,"
22,1,how glorious this affection for the cause
23,1,"of steadfast genius, toiling gallantly!"
24,1,what when a stout unbending champion awes
25,1,envy and malice to their native sty?
26,1,"unnumbered souls breathe out a still applause,"
27,1,"proud to behold him in his country's eye,"
28,2,dark eyes are dearer far
29,2,"than those that mock the hyacinthine bell,"
30,2,
31,2,"blue! 'tis the life of heaven,—the domain"
32,2,"of cynthia,—the wide palace of the sun,—"
33,2,"the tent of hesperus, and all his train,—"
34,2,"the bosomer of clouds, gold, gray, and dun,"
35,2,"blue! 'tis the life of waters,—ocean"
36,2,"and all its vassal streams, pools numberless,"
37,2,"may rage, and foam, and fret, but never can"
38,2,"subside, if not to dark-blue nativeness,"
39,2,"blue! gentle cousin of the forest-green,"
40,2,married to green in all the sweetest flowers—
41,2,"forget-me-not,—the blue-bell,—and, that queen"
42,2,"of secrecy, the violet, what strange powers"
43,2,"hast thou, as a mere shadow! but how great,"
44,2,when in an eye thou art alive with fate!
45,3,"bards of passion and of mirth,"
46,3,ye have left your souls on earth!
47,3,"have ye souls in heaven too,"
48,3,doubled-lived in regions new?
49,3,"yes, and those of heaven commune"
50,3,with the spheres of sun and moon;
51,3,"with the noise of fountains wondrous,"
52,3,and the parle of voices thund'rous;
53,3,with the whisper of heaven's trees
54,3,"and one another, in soft ease"
55,3,seated on elysian lawns
56,3,browsed by none but dian's fawns;
57,3,"underneath large blue-bells tented,"
58,3,"where the daisies are rose-scented,"
59,3,and the rose herself has got
60,3,perfume which on earth is not;
61,3,where the nightingale doth sing
62,3,"not a senseless, tranced thing,"
63,3,but divine melodious truth;
64,3,philosophic numbers smooth;
65,3,tales and golden histories
66,3,"of heaven and its mysteries,"
67,3,
68,3,"  thus ye live on high, and then"
69,3,on the earth ye live again;
70,3,and the souls ye left behind you
71,3,"teach us, here, the way to find you,"
72,3,"where your other souls are joying,"
73,3,"never slumber'd, never cloying,"
74,3,"here, your earth-born souls still speak"
75,3,"to mortals, of their little week;"
76,3,of their sorrows and delights;
77,3,of their passions and their spites;
78,3,of their glory and their shame;
79,3,"what doth strengthen and what maim,"
80,3,"thus ye teach us, every day,"
81,3,"wisdom, though fled far away,"
82,3,
83,3,"  bards of passion and of mirth,"
84,3,ye have left your souls on earth!
85,3,"ye have souls in heaven too,"
86,3,double-lived in regions new!
87,4,"bright star, would i were steadfast as thou art--"
88,4,not in lone splendour hung aloft the night
89,4,"and watching, with eternal lids apart,"
90,4,"like nature's patient, sleepless eremite,"
91,4,the moving waters at their priest like task
92,4,"of pure ablution round earth's human shores,"
93,4,or gazing on the new soft-fallen mask
94,4,of snow upon the mountains and the moors--
95,4,"no--yet still steadfast, still unchangeable,"
96,4,"pillow'd upon my fair love's ripening breast,"
97,4,"to feel for ever its soft fall and swell,"
98,4,"awake for ever in a sweet unrest,"
99,4,"still, still to hear her tender-taken breath,"
100,4,"and so live ever--or else swoon to death,"
101,5,book i
102,5,"a thing of beauty is a joy for ever,"
103,5,its loveliness increases; it will never
104,5,pass into nothingness; but still will keep
105,5,"a bower quiet for us, and a sleep"
106,5,"full of sweet dreams, and health, and quiet breathing,"
107,5,"therefore, on every morrow, are we wreathing"
108,5,"a flowery band to bind us to the earth,"
109,5,"spite of despondence, of the inhuman dearth"
110,5,"of noble natures, of the gloomy days,"
111,5,of all the unhealthy and o'er-darkened ways
112,5,"made for our searching, yes, in spite of all,"
113,5,some shape of beauty moves away the pall
114,5,"from our dark spirits, such the sun, the moon,"
115,5,"trees old and young, sprouting a shady boon"
116,5,for simple sheep; and such are daffodils
117,5,with the green world they live in; and clear rills
118,5,that for themselves a cooling covert make
119,5,"'gainst the hot season; the mid forest brake,"
120,5,"rich with a sprinkling of fair musk-rose blooms,"
121,5,and such too is the grandeur of the dooms
122,5,we have imagined for the mighty dead;
123,5,"all lovely tales that we have heard or read,"
124,5,"an endless fountain of immortal drink,"
125,5,"pouring unto us from the heaven's brink,"
126,5,
127,5, nor do we merely feel these essences
128,5,"for one short hour; no, even as the trees"
