,doc_id,sentence
0,0,"fine living , , , a la carte?"
1,0,    come to the waldorf-astoria!
2,0,
3,0,    listen hungry ones!
4,0,look! see what vanity fair says about the
5,0,"    new waldorf-astoria,"
6,0,
7,0,"    all the luxuries of private home, , , ,"
8,0,"now, won't that be charming when the last flop-house"
9,0,    has turned you down this winter?
10,0,"    furthermore,"
11,0,it is far beyond anything hitherto attempted in the hotel
12,0,"    world, , , , it cost twenty-eight million dollars, the fa-"
13,0,"    mous oscar tschirky is in charge of banqueting,"
14,0,"    alexandre gastaud is chef, it will be a distinguished"
15,0,"    background for society,"
16,0,"so when you've no place else to go, homeless and hungry"
17,0,"    ones, choose the waldorf as a background for your rags--"
18,0,or do you still consider the subway after midnight good
19,0,    enough?
20,0,
21,0,       roomers
22,0,"take a room at the new waldorf, you down-and-outers--"
23,0,    sleepers in charity's flop-houses where god pulls a
24,0,"    long face, and you have to pray to get a bed,"
25,0,"they serve swell board at the waldorf-astoria, look at the menu, will"
26,0,"you,"
27,0,
28,0,    gumbo creole
29,0,    crabmeat in cassolette
30,0,    boiled brisket of beef
31,0,    small onions in cream
32,0,    watercress salad
33,0,    peach melba
34,0,
35,0,"have luncheon there this afternoon, all you jobless,"
36,0,    why not?
37,0,dine with some of the men and women who got rich off of
38,0,"    your labor, who clip coupons with clean white fingers"
39,0,"    because your hands dug coal, drilled stone, sewed gar-"
40,0,"    ments, poured steel to let other people draw dividends"
41,0,"    and live easy,"
42,0,or haven't you had enough yet of the soup-lines and the bit-
43,0,    ter bread of charity?
44,0,"walk through peacock alley tonight before dinner, and get"
45,0,"    warm, anyway, you've got nothing else to do,"
46,1,let the rain kiss you
47,1,let the rain beat upon your head with silver liquid drops
48,1,let the rain sing you a lullaby
49,1,the rain makes still pools on the sidewalk
50,1,the rain makes running pools in the gutter
51,1,the rain plays a little sleep song on our roof at night
52,1,"and i love the rain,"
53,2,"it was a long time ago,"
54,2,"i have almost forgotten my dream,"
55,2,"but it was there then,"
56,2,"in front of me,"
57,2,bright like a sun--
58,2,"my dream,"
59,2,"and then the wall rose,"
60,2,"rose slowly,"
61,2,"slowly,"
62,2,"between me and my dream,"
63,2,rose until it touched the sky--
64,2,"the wall,"
65,2,"shadow,"
66,2,"i am black,"
67,2,"i lie down in the shadow,"
68,2,"no longer the light of my dream before me,"
69,2,"above me,"
70,2,"only the thick wall,"
71,2,"only the shadow,"
72,2,my hands!
73,2,my dark hands!
74,2,break through the wall!
75,2,find my dream!
76,2,"help me to shatter this darkness,"
77,2,"to smash this night,"
78,2,to break this shadow
79,2,"into a thousand lights of sun,"
80,2,into a thousand whirling dreams
81,2,of sun!
82,3,here i sit
83,3,"with my shoes mismated,"
84,3,lawdy-mercy!
85,3,i's frustrated!
86,4,by what sends
87,4,the white kids
88,4,"i ain't sent,"
89,4,i know i can't
90,4,"be president,"
91,4,what don't bug
92,4,them white kids
93,4,"sure bugs me,"
94,4,we know everybody
95,4,"ain't free,"
96,4,
97,4,lies written down
98,4,for white folks
99,4,"ain't for us a-tall,"
100,4,liberty and justice--
101,4,huh!--for all?
102,5,my old man's a white old man
103,5,"and my old mother's black,"
104,5,if ever i cursed my white old man
105,5,"i take my curses back,"
106,5,if ever i cursed my black old mother
107,5,"and wished she were in hell,"
108,5,i'm sorry for that evil wish
109,5,and now i wish her well
110,5,"my old man died in a fine big house,"
111,5,"my ma died in a shack,"
112,5,"i wonder were i'm going to die,"
113,5,being neither white nor black?
114,6,in the quarter of the negroes
115,6,where the doors are doors of paper
116,6,dust of dingy atoms
117,6,"blows a scratchy sound,"
118,6,amorphous jack-o'-lanterns caper
119,6,and the wind won't wait for midnight
120,6,"for fun to blow doors down,"
121,6,by the river and the railroad
122,6,with fluid far-off going
123,6,boundaries bind unbinding
124,6,"a whirl of whistles blowing,"
125,6,no trains or steamboats going--
126,6,"yet leontyne's unpacking,"
127,6,
128,6,in the quarter of the negroes
129,6,where the doorknob lets in lieder
130,6,"more than german ever bore,"
131,6,her yesterday past grandpa--
132,6,not of her own doing--
133,6,in a pot of collard greens
134,6,"is gently stewing,"
135,6,
136,6,pushcarts fold and unfold
137,6,"in a supermarket sea,"
138,6,"and we better find out, mama,"
139,6,where is the colored laundromat
140,6,"since we move dup to mount vernon,"
141,6,
142,6,in the pot behind the paper doors
143,6,on the old iron stove what's cooking?
144,6,"what's smelling, leontyne?"
145,6,"lieder, lovely lieder"
146,6,"and a leaf of collard green,"
147,6,"lovely lieder, leontyne,"
148,6,
149,6,"you know, right at christmas"
150,6,"they asked me if my blackness,"
151,6,would it rub off?
152,6,"i said, ask your mama,"
153,6,
154,6,dreams and nightmares!
155,6,"nightmares, dreams, oh!"
156,6,dreaming that the negroes
157,6,of the south have taken over--
