,doc_id,sentence
0,0,"my dog has died,"
1,0,i buried him in the garden
2,0,"next to a rusted old machine,"
3,0,
4,0,"some day i'll join him right there,"
5,0,"but now he's gone with his shaggy coat,"
6,0,"his bad manners and his cold nose,"
7,0,"and i, the materialist, who never believed"
8,0,in any promised heaven in the sky
9,0,"for any human being,"
10,0,"i believe in a heaven i'll never enter,"
11,0,"yes, i believe in a heaven for all dogdom"
12,0,where my dog waits for my arrival
13,0,"waving his fan-like tail in friendship,"
14,0,
15,0,"ai, i'll not speak of sadness here on earth,"
16,0,of having lost a companion
17,0,"who was never servile,"
18,0,"his friendship for me, like that of a porcupine"
19,0,"withholding its authority,"
20,0,"was the friendship of a star, aloof,"
21,0,"with no more intimacy than was called for,"
22,0,"with no exaggerations,"
23,0,he never climbed all over my clothes
24,0,"filling me full of his hair or his mange,"
25,0,he never rubbed up against my knee
26,0,"like other dogs obsessed with sex,"
27,0,
28,0,"no, my dog used to gaze at me,"
29,0,"paying me the attention i need,"
30,0,the attention required
31,0,to make a vain person like me understand
32,0,"that, being a dog, he was wasting time,"
33,0,"but, with those eyes so much purer than mine,"
34,0,he'd keep on gazing at me
35,0,with a look that reserved for me alone
36,0,"all his sweet and shaggy life,"
37,0,"always near me, never troubling me,"
38,0,"and asking nothing,"
39,0,
40,0,"ai, how many times have i envied his tail"
41,0,as we walked together on the shores of the sea
42,0,in the lonely winter of isla negra
43,0,where the wintering birds filled the sky
44,0,and my hairy dog was jumping about
45,0,"full of the voltage of the sea's movement,"
46,0,"my wandering dog, sniffing away"
47,0,"with his golden tail held high,"
48,0,"face to face with the ocean's spray,"
49,0,
50,0,"joyful, joyful, joyful,"
51,0,as only dogs know how to be happy
52,0,with only the autonomy
53,0,"of their shameless spirit,"
54,0,
55,0,"there are no good-byes for my dog who has died,"
56,0,"and we don't now and never did lie to each other,"
57,0,
58,0,"so now he's gone and i buried him,"
59,0,"and that's all there is to it,"
60,1,out of lemon flowers
61,1,loosed
62,1,"on the moonlight, love's"
63,1,lashed and insatiable
64,1,"essences,"
65,1,"sodden with fragrance,"
66,1,the lemon tree's yellow
67,1,"emerges,"
68,1,the lemons
69,1,move down
70,1,from the tree's planetarium
71,1,
72,1,delicate merchandise!
73,1,the harbors are big with it-
74,1,bazaars
75,1,for the light and the
76,1,"barbarous gold,"
77,1,we open
78,1,the halves
79,1,"of a miracle,"
80,1,and a clotting of acids
81,1,brims
82,1,into the starry
83,1,"divisions,"
84,1,creation's
85,1,"original juices,"
86,1,"irreducible, changeless,"
87,1,"alive,"
88,1,so the freshness lives on
89,1,"in a lemon,"
90,1,"in the sweet-smelling house of the rind,"
91,1,"the proportions, arcane and acerb,"
92,1,
93,1,cutting the lemon
94,1,the knife
95,1,"leaves a little cathedral,"
96,1,alcoves unguessed by the eye
97,1,that open acidulous glass
98,1,to the light; topazes
99,1,"riding the droplets,"
100,1,"altars,"
101,1,"aromatic facades,"
102,1,
103,1,"so, while the hand"
104,1,"holds the cut of the lemon,"
105,1,half a world
106,1,"on a trencher,"
107,1,the gold of the universe
108,1,wells
109,1,"to your touch,"
110,1,a cup yellow
111,1,"with miracles,"
112,1,a breast and a nipple
113,1,perfuming the earth;
114,1,"a flashing made fruitage,"
115,1,"the diminutive fire of a planet,"
116,2,"the memory of you emerges from the night around me,"
117,2,"the river mingles its stubborn lament with the sea,"
118,2,
119,2,"deserted like the dwarves at dawn,"
120,2,"it is the hour of departure, oh deserted one!"
121,2,
122,2,"cold flower heads are raining over my heart,"
123,2,"oh pit of debris, fierce cave of the shipwrecked,"
124,2,
125,2,"in you the wars and the flights accumulated,"
126,2,"from you the wings of the song birds rose,"
127,2,
128,2,"you swallowed everything, like distance,"
129,2,"like the sea, like time, in you everything sank!"
130,2,
131,2,"it was the happy hour of assault and the kiss,"
132,2,"the hour of the spell that blazed like a lighthouse,"
133,2,
134,2,"pilot's dread, fury of blind driver,"
135,2,"turbulent drunkenness of love, in you everything sank!"
136,2,
137,2,"in the childhood of mist my soul, winged and wounded,"
