,doc_id,sentence
0,0,"you say that father write a lot of books, but what he writes i don't"
1,0,"understand,"
2,0,"    he was reading to you all evening, but could you really"
3,0,make out what he meant?
4,0,"    what nice stores, mother, you can tell us! why can't father"
5,0,"write like that, i wonder?"
6,0,    did he never hear from his own mother stories of giants and
7,0,fairies and princesses?
8,0,    has he forgotten them all?
9,0,    often when he gets late for his bath you have to call him
10,0,"a hundred times,"
11,0,"    you wait and keep his dishes warm for him, but he goes on"
12,0,"writing and forgets,"
13,0,"    father always plays at making books,"
14,0,"    if ever i go to play in father's room, you come and call me,"
15,0,what a naughty child!
16,0,"    if i make the slightest noise you say, don't you see that"
17,0,father's at his work?
18,0,    what's the fun of always writing and writing?
19,0,    when i take up father's pen or pencil and write upon his book
20,0,"just as he does,-a,b,c,d,e,f,g,h,i,-why do you get cross with me"
21,0,"then, mother?"
22,0,"    you never say a word when father writes,"
23,0,"    when my father wastes such heaps of paper, mother, you don't"
24,0,"seem to mind at all,"
25,0,"    but if i take only one sheet to make a boat with, you say,"
26,0,"child, how troublesome you are!"
27,0,    what do you think of father's spoiling sheets and sheets of
28,0,paper with black marks all over both sides?
29,1,"if baby only wanted to, he could fly up to heaven this moment,"
30,1,"    it is not for nothing that he does not leave us,"
31,1,"    he loves to rest his head on mother's bosom, and cannot ever"
32,1,"bear to lose sight of her,"
33,1,"    baby know all manner of wise words, though few on earth can"
34,1,"understand their meaning,"
35,1,"    it is not for nothing that he never wants to speak,"
36,1,    the one thing he wants is to learn mother's words from
37,1,"mother's lips, that is why he looks so innocent,"
38,1,"    baby had a heap of gold and pearls, yet he came like a beggar"
39,1,"on to this earth,"
40,1,"    it is not for nothing he came in such a disguise,"
41,1,    this dear little naked mendicant pretends to be utterly
42,1,"helpless, so that he may beg for mother's wealth of love,"
43,1,    baby was so free from every tie in the land of the tiny
44,1,"crescent moon,"
45,1,"    it was not for nothing he gave up his freedom,"
46,1,    he knows that there is room for endless joy in mother's little
47,1,"corner of a heart, and it is sweeter far than liberty to be caught"
48,1,"and pressed in her dear arms,"
49,1,"    baby never knew how to cry, he dwelt in the land of perfect"
50,1,"bliss,"
51,1,"    it is not for nothing he has chosen to shed tears,"
52,1,    though with the smile of his dear face he draws mother's
53,1,"yearning heart to him, yet his little cries over tiny troubles"
54,1,"weave the double bond of pity and love,"
55,2,i wish i could take a quiet corner in the heart of my baby's very
56,2,"own world,"
57,2,"    i know it has stars that talk to him, and a sky that stoops"
58,2,"down to his face to amuse him with its silly clouds and rainbows,"
59,2,"    those who make believe to be dumb, and look as if they never"
60,2,"could move, come creeping to his window with their stories and with"
61,2,"trays crowded with bright toys,"
62,2,"    i wish i could travel by the road that crosses baby's mind,"
63,2,and out beyond all bounds;
64,2,    where messengers run errands for no cause between the kingdoms
65,2,of kings of no history;
66,2,"    where reason makes kites of her laws and flies them, the truth"
67,2,"sets fact free from its fetters,"
68,3,"when the heart is hard and parched up,"
69,3,"come upon me with a shower of mercy,"
70,3,
71,3,"when grace is lost from life,"
72,3,"come with a burst of song,"
73,3,
74,3,when tumultuous work raises its din on all sides shutting me out from
75,3,"beyond, come to me, my lord of silence, with thy peace and rest,"
76,3,
77,3,"when my beggarly heart sits crouched, shut up in a corner,"
78,3,"break open the door, my king, and come with the ceremony of a king,"
79,3,
80,3,"when desire blinds the mind with delusion and dust, o thou holy one,"
81,3,"thou wakeful, come with thy light and thy thunder,"
82,4,"bless this little heart, this white soul that has won the kiss of"
83,4,"heaven for our earth,"
84,4,"    he loves the light of the sun, he loves the sight of his"
85,4,"mother's face,"
86,4,"    he has not learned to despise the dust, and to hanker after"
87,4,"gold,"
88,4,"    clasp him to your heart and bless him,"
89,4,"    he has come into this land of an hundred cross-roads,"
90,4,"    i know not how he chose you from the crowd, came to your door,"
91,4,"and grasped you hand to ask his way,"
92,4,"    he will follow you, laughing the talking, and not a doubt in"
93,4,"his heart,"
94,4,"    keep his trust, lead him straight and bless him,"
95,4,"    lay your hand on his head, and pray that though the waves"
96,4,"underneath grow threatening, yet the breath from above may come and"
97,4,"fill his sails and waft him to the heaven of peace,"
98,4,"    forget him not in your hurry, let him come to your heart and"
99,4,"bless him,"
100,5,in desperate hope i go and search for her
101,5,in all the corners of my room;
102,5,"i find her not,"
103,5,
104,5,my house is small
105,5,"and what once has gone from it can never be regained,"
106,5,
107,5,"but infinite is thy mansion, my lord,"
108,5,"and seeking her i have to come to thy door,"
109,5,
110,5,i stand under the golden canopy of thine evening sky
111,5,"and i lift my eager eyes to thy face,"
112,5,
113,5,i have come to the brink of eternity from which nothing can vanish
114,5,"---no hope, no happiness, no vision of a face seen through tears,"
115,5,
116,5,"oh, dip my emptied life into that ocean,"
117,5,"plunge it into the deepest fullness,"
118,5,let me for once feel that lost sweet touch
119,5,"in the allness of the universe,"
120,6,"mother, i shall weave a chain of pearls for thy neck"
121,6,"with my tears of sorrow,"
122,6,
123,6,"the stars have wrought their anklets of light to deck thy feet,"
124,6,"but mine will hang upon thy breast,"
125,6,
126,6,wealth and fame come from thee
127,6,"and it is for thee to give or to withhold them,"
128,6,"but this my sorrow is absolutely mine own,"
129,6,and when i bring it to thee as my offering
130,6,"thou rewardest me with thy grace,"
131,7,i thought that my voyage had come to its end
132,7,"at the last limit of my power,---that the path before me was closed,"
133,7,that provisions were exhausted
134,7,"and the time come to take shelter in a silent obscurity,"
135,7,
136,7,"but i find that thy will knows no end in me,"
137,7,"and when old words die out on the tongue,"
138,7,new melodies break forth from the heart;
139,7,"and where the old tracks are lost,"
140,7,"new country is revealed with its wonders,"
141,8,"mother, the folk who live up in the clouds call out to me-"
142,8,"    we play from the time we wake till the day ends,"
143,8,"    we play with the golden dawn, we play with the silver moon,"
144,8,"    i ask, but how am i to get up to you ?"
145,8,"    they answer, come to the edge of the earth, lift up your"
146,8,"hands to the sky, and you will be taken up into the clouds,"
147,8,"    my mother is waiting for me at home, i say, how can i leave"
148,8,her and come?
149,8,"    then they smile and float away,"
150,8,"    but i know a nicer game than that, mother,"
151,8,"    i shall be the cloud and you the moon,"
152,8,"    i shall cover you with both my hands, and our house-top will"
153,8,"be the blue sky,"
154,8,    the folk who live in the waves call out to me-
155,8,    we sing from morning till night; on and on we travel and know
156,8,"not where we pass,"
157,8,"    i ask, but how am i to join you?"
158,8,"    they tell me, come to the edge of the shore and stand with"
159,8,"your eyes tight shut, and you will be carried out upon the waves,"
160,8,"    i say, my mother always wants me at home in the everything-"
161,8,how can i leave her and go?
162,8,"    they smile, dance and pass by,"
163,8,"    but i know a better game than that,"
164,8,"    i will be the waves and you will be a strange shore,"
165,8,"    i shall roll on and on and on, and break upon your lap with"
166,8,"laughter,"
167,8,"    and no one in the world will know where we both are,"
168,9,"when i bring to you colored toys, my child,"
169,9,"i understand why there is such a play of colors on clouds, on water,"
170,9,and why flowers are painted in tints
171,9,"---when i give colored toys to you, my child,"
172,9,
173,9,when i sing to make you dance
174,9,"i truly now why there is music in leaves,"
175,9,and why waves send their chorus of voices to the heart of the listening earth
176,9,"---when i sing to make you dance,"
177,9,
178,9,when i bring sweet things to your greedy hands
179,9,i know why there is honey in the cup of the flowers
180,9,and why fruits are secretly filled with sweet juice
181,9,"---when i bring sweet things to your greedy hands,"
182,9,
183,9,"when i kiss your face to make you smile, my darling,"
184,9,"i surely understand what pleasure streams from the sky in morning light,"
185,9,and what delight that is that is which the summer breeze brings to my body
186,9,"---when i kiss you to make you smile,"
187,10,"o thou the last fulfilment of life,"
188,10,"death, my death, come and whisper to me!"
189,10,
190,10,day after day i have kept watch for thee;
191,10,"for thee have i borne the joys and pangs of life,"
192,10,
193,10,"all that i am, that i have, that i hope and all my love"
194,10,"have ever flowed towards thee in depth of secrecy,"
195,10,
196,10,one final glance from thine eyes
197,10,"and my life will be ever thine own,"
198,10,
199,10,the flowers have been woven
200,10,"and the garland is ready for the bridegroom,"
201,10,
