,doc_id,sentence
0,0,"is there a whim-inspired fool,"
1,0,"owre fast for thought, owre hot for rule,"
2,0,"owre blate to seek, owre proud to snool,"
3,0,let him draw near;
4,0,"and owre this grassy heap sing dool,"
5,0,"and drap a tear,"
6,0,
7,0,"is there a bard of rustic song,"
8,0,"who, noteless, steals the crowds among,"
9,0,"that weekly this area throng,"
10,0,"o, pass not by!"
11,0,"but, with a frater-feeling strong,"
12,0,"here, heave a sigh,"
13,0,
14,0,"is there a man, whose judgment clear"
15,0,"can others teach the course to steer,"
16,0,"yet runs, himself, life's mad career,"
17,0,"wild as the wave,"
18,0,"here pause-and, thro' the starting tear,"
19,0,"survey this grave,"
20,0,
21,0,the poor inhabitant below
22,0,"was quick to learn the wise to know,"
23,0,"and keenly felt the friendly glow,"
24,0,and softer flame;
25,0,"but thoughtless follies laid him low,"
26,0,and stain'd his name!
27,0,
28,0,"reader, attend! whether thy soul"
29,0,"soars fancy's flights beyond the pole,"
30,0,"or darkling grubs this earthly hole,"
31,0,"in low pursuit,"
32,0,"know, prudent, cautious, self-control"
33,0,"is wisdom's root,"
34,1,"there's nane that's blest of human kind,"
35,1,"but the cheerful and the gay, man,"
36,1,"fal, la, la, &c,"
37,1,
38,1,here's a bottle and an honest friend!
39,1,"what wad ye wish for mair, man?"
40,1,"wha kens, before his life may end,"
41,1,"what his share may be o' care, man?"
42,1,
43,1,"then catch the moments as they fly,"
44,1,"and use them as ye ought, man,"
45,1,"believe me, happiness is shy,"
46,1,"and comes not aye when sought, man,"
47,2,"expect na, sir, in this narration,"
48,2,"a fleechin, fleth'rin dedication,"
49,2,"to roose you up, an' ca' you guid,"
50,2,"an' sprung o' great an' noble bluid,"
51,2,because ye're surnam'd like his grace-
52,2,"perhaps related to the race,"
53,2,"then, when i'm tir'd-and sae are ye,"
54,2,"wi' mony a fulsome, sinfu' lie,"
55,2,"set up a face how i stop short,"
56,2,"for fear your modesty be hurt,"
57,2,
58,2,"this may do-maun do, sir, wi' them wha"
59,2,maun please the great folk for a wamefou;
60,2,"for me! sae laigh i need na bow,"
61,2,"for, lord be thankit, i can plough;"
62,2,"and when i downa yoke a naig,"
63,2,"then, lord be thankit, i can beg;"
64,2,sae i shall say-an' that's nae flatt'rin-
65,2,"it's just sic poet an' sic patron,"
66,2,
67,2,"the poet, some guid angel help him,"
68,2,"or else, i fear, some ill ane skelp him!"
69,2,"he may do weel for a' he's done yet,"
70,2,"but only-he's no just begun yet,"
71,2,
72,2,"the patron sir, ye maun forgie me;"
73,2,"i winna lie, come what will o' me,"
74,2,"on ev'ry hand it will allow'd be,"
75,2,"he's just-nae better than he should be,"
76,2,
77,2,"i readily and freely grant,"
78,2,he downa see a poor man want;
79,2,"what's no his ain, he winna tak it;"
80,2,"what ance he says, he winna break it;"
81,2,"ought he can lend he'll no refus't,"
82,2,till aft his guidness is abus'd;
83,2,"and rascals whiles that do him wrang,"
84,2,"ev'n that, he does na mind it lang;"
85,2,"as master, landlord, husband, father,"
86,2,"he does na fail his part in either,"
87,2,
88,2,"but then, nae thanks to him for a'that;"
89,2,nae godly symptom ye can ca' that;
90,2,it's naething but a milder feature
91,2,"of our poor, sinfu' corrupt nature,"
92,2,"ye'll get the best o' moral works,"
93,2,"'mang black gentoos, and pagan turks,"
94,2,"or hunters wild on ponotaxi,"
95,2,"wha never heard of orthodoxy,"
96,2,"that he's the poor man's friend in need,"
97,2,"the gentleman in word and deed,"
98,2,it's no thro' terror of damnation;
99,2,"it's just a carnal inclination,"
100,2,
101,2,"morality, thou deadly bane,"
102,2,thy tens o' thousands thou hast slain!
103,2,"vain is his hope, whase stay an' trust is"
104,2,"in moral mercy, truth, and justice!"
105,2,
106,2,"no-stretch a point to catch a plack,"
107,2,abuse a brother to his back;
108,2,"steal through the winnock frae a whore,"
109,2,but point the rake that taks the door;
110,2,"be to the poor like ony whunstane,"
111,2,and haud their noses to the grunstane;
112,2,ply ev'ry art o' legal thieving;
113,2,"no matter-stick to sound believing,"
114,2,
115,2,"learn three-mile pray'rs, an' half-mile graces,"
116,2,"wi' weel-spread looves, an' lang, wry faces;"
117,2,"grunt up a solemn, lengthen'd groan,"
118,2,and damn a' parties but your own;
119,2,"i'll warrant they ye're nae deceiver,"
120,2,"a steady, sturdy, staunch believer,"
121,2,
122,2,"o ye wha leave the springs o' calvin,"
123,2,for gumlie dubs of your ain delvin!
124,2,"ye sons of heresy and error,"
125,2,"ye'll some day squeel in quaking terror,"
126,2,"when vengeance draws the sword in wrath,"
127,2,and in the fire throws the sheath;
128,2,"when ruin, with his sweeping besom,"
129,2,just frets till heav'n commission gies him;
130,2,"while o'er the harp pale misery moans,"
131,2,"and strikes the ever-deep'ning tones,"
132,2,"still louder shrieks, and heavier groans!"
133,2,
134,2,"your pardon, sir, for this digression,"
135,2,i maist forgat my dedication;
136,2,"but when divinity comes 'cross me,"
137,2,"my readers still are sure to lose me,"
138,2,
139,2,"so, sir, you see 'twas nae daft vapour;"
140,2,"but i maturely thought it proper,"
141,2,"when a' my works i did review,"
142,2,"to dedicate them, sir, to you,"
143,2,"because ye need na tak it ill,"
144,2,"i thought them something like yoursel',"
145,2,
146,2,"then patronize them wi' your favor,"
147,2,and your petitioner shall ever-
148,2,"i had amaist said, ever pray,"
149,2,but that's a word i need na say;
150,2,"for prayin, i hae little skill o't,"
151,2,"i'm baith dead-sweer, an' wretched ill o't;"
152,2,"but i'se repeat each poor man's pray'r,"
153,2,"that kens or hears about you, sir-"
154,2,
155,2,"may ne'er misfortune's gowling bark,"
156,2,howl thro' the dwelling o' the clerk!
157,2,"may ne'er his genrous, honest heart,"
158,2,for that same gen'rous spirit smart!
159,2,may kennedy's far-honour'd name
160,2,"lang beet his hymeneal flame,"
161,2,"till hamiltons, at least a dizzen,"
162,2,"are frae their nuptial labours risen,"
163,2,"five bonie lasses round their table,"
164,2,"and sev'n braw fellows, stout an' able,"
165,2,"to serve their king an' country weel,"
166,2,"by word, or pen, or pointed steel!"
167,2,"may health and peace, with mutual rays,"
168,2,shine on the ev'ning o' his days;
169,2,"till his wee, curlie john's ier-oe,"
170,2,"when ebbing life nae mair shall flow,"
171,2,"the last, sad, mournful rites bestow!"
172,2,
173,2,"i will not wind a lang conclusion,"
174,2,with complimentary effusion;
175,2,"but, whilst your wishes and endeavours"
176,2,"are blest with fortune's smiles and favours,"
177,2,"i am, dear sir, with zeal most fervent,"
178,2,"your much indebted, humble servant,"
179,2,
180,2,but if which pow'rs above prevent
181,2,"that iron-hearted carl, want,"
182,2,"attended, in his grim advances,"
183,2,"by sad mistakes, and black mischances,"
184,2,"while hopes, and joys, and pleasures fly him,"
185,2,"make you as poor a dog as i am,"
186,2,your humble servant then no more;
187,2,for who would humbly serve the poor?
188,2,"but, by a poor man's hopes in heav'n!"
189,2,while recollection's pow'r is giv'n-
190,2,"if, in the vale of humble life,"
191,2,"the victim sad of fortune's strife,"
192,2,"i, thro' the tender-gushing tear,"
193,2,should recognise my master dear;
194,2,"if friendless, low, we meet together,"
195,2,"then, sir, your hand-my friend and brother!"
196,3,guid-mornin' to our majesty!
197,3,may heaven augment your blisses
198,3,"on ev'ry new birth-day ye see,"
199,3,"a humble poet wishes,"
200,3,"my bardship here, at your levee"
201,3,"on sic a day as this is,"
202,3,"is sure an uncouth sight to see,"
203,3,amang thae birth-day dresses
204,3,"sae fine this day,"
205,3,
206,3,"i see ye're complimented thrang,"
207,3,by mony a lord an' lady;
208,3,god save the king 's a cuckoo sang
209,3,"that's unco easy said aye,"
210,3,"the poets, too, a venal gang,"
211,3,"wi' rhymes weel-turn'd an' ready,"
212,3,"wad gar you trow ye ne'er do wrang,"
213,3,"but aye unerring steady,"
214,3,"on sic a day,"
215,3,
216,3,for me! before a monarch's face
217,3,ev'n there i winna flatter;
218,3,"for neither pension, post, nor place,"
219,3,"am i your humble debtor,"
220,3,"so, nae reflection on your grace,"
221,3,your kingship to bespatter;
222,3,"there's mony waur been o' the race,"
223,3,and aiblins ane been better
224,3,"than you this day,"
225,3,
226,3,"'tis very true, my sovereign king,"
227,3,my skill may weel be doubted;
228,3,"but facts are chiels that winna ding,"
229,3,"an' downa be disputed,"
230,3,"your royal nest, beneath your wing,"
231,3,"is e'en right reft and clouted,"
232,3,"and now the third part o' the string,"
233,3,"an' less, will gang aboot it"
234,3,"than did ae day,^1"
235,3,
236,3,far be't frae me that i aspire
237,3,"to blame your legislation,"
238,3,"or say, ye wisdom want, or fire,"
239,3,"to rule this mighty nation,"
240,3,"but faith! i muckle doubt, my sire,"
241,3,ye've trusted ministration
242,3,to chaps wha in barn or byre
243,3,wad better fill'd their station
244,3,"than courts yon day,"
245,3,
246,3,"and now ye've gien auld britain peace,"
247,3,"her broken shins to plaister,"
248,3,"your sair taxation does her fleece,"
249,3,"till she has scarce a tester,"
250,3,"for me, thank god, my life's a lease,"
251,3,"nae bargain wearin' faster,"
252,3,"or, faith! i fear, that, wi' the geese,"
253,3,i shortly boost to pasture
254,3,"i' the craft some day,"
255,3,
256,3,"i'm no mistrusting willie pitt,"
257,3,"when taxes he enlarges,"
258,3,"an' will's a true guid fallow's get,"
259,3,"a name not envy spairges,"
260,3,"that he intends to pay your debt,"
261,3,an' lessen a' your charges;
262,3,"but, god-sake! let nae saving fit"
263,3,abridge your bonie barges
264,3,"an'boats this day,"
265,3,
266,3,"adieu, my liege; may freedom geck"
267,3,beneath your high protection;
268,3,"an' may ye rax corruption's neck,"
269,3,and gie her for dissection!
270,3,"but since i'm here, i'll no neglect,"
271,3,"in loyal, true affection,"
