,doc_id,sentence
0,0,"he halted in the wind, and -- what was that"
1,0,"far in the maples, pale, but not a ghost?"
2,0,"he stood there bringing march against his thought,"
3,0,"and yet too ready to believe the most,"
4,0,
5,0,"oh, that's the paradise-in-bloom, i said;"
6,0,and truly it was fair enough for flowers
7,0,had we but in us to assume in march
8,0,"such white luxuriance of may for ours,"
9,0,
10,0,"we stood a moment so in a strange world,"
11,0,myself as one his own pretense deceives;
12,0,"and then i said the truth and we moved on,"
13,0,"a young beech clinging to its last year's leaves,"
14,1,part i
15,1,       into my own
16,1,           the youth is persuaded that he will be rather more than less himself
17,1,"           for having forsworn the world,"
18,1,       ghost house
19,1,"           he is happy in society of his choosing,"
20,1,       my november guest
21,1,"           he is in love with being misunderstood,"
22,1,       love and a question
23,1,           he is in doubt whether to admit real trouble to a place beside the
24,1,"           hearth with love,"
25,1,       a late walk
26,1,"           he courts the autumnal mood,"
27,1,       stars
28,1,"           there is no oversight of human affairs,"
29,1,       storm fear
30,1,"           he is afraid of his own isolation,"
31,1,       wind and window flower
32,1,"           out of the winter things he fashions a story of modern love,"
33,1,       to the thawing wind audio
34,1,"           he calls on change through the violence of the elements,"
35,1,       a prayer in spring
36,1,           he discovers that the greatness of love lies not in forward-looking
37,1,           thoughts;
38,1,       flower-gathering
39,1,"           nor yet in any spur it may be to ambition,"
40,1,       rose pogonias
41,1,           he is no dissenter from the ritualism of nature;
42,1,       asking for roses
43,1,"           nor from the ritualism of youth which is make-believe,"
44,1,       waiting--afield at dusk
45,1,"           he arrives at the turn of the year,"
46,1,       in a vale
47,1,"           out of old longings he fashions a story,"
48,1,       a dream pang
49,1,"           he is shown by a dream how really well it is with him,"
50,1,       in neglect
51,1,"           he is scornful of folk his scorn cannot reach,"
52,1,       the vantage point
53,1,"           and again scornful, but there is no one hurt,"
54,1,       mowing
55,1,"           he takes up life simply with the small tasks,"
56,1,       going for water
57,1,   part ii
58,1,       revelation
59,1,"           he resolves to become intelligible, at least to himself, since there"
60,1,           is no help else;
61,1,       the trial by existence
62,1,           and to know definitely what he thinks about the soul;
63,1,       in equal sacrifice
64,1,           about love;
65,1,       the tuft of flowers
66,1,           about fellowship;
67,1,       spoils of the dead
68,1,           about death;
69,1,       pan with us
70,1,           about art his own;
71,1,       the demiurge's laugh
72,1,"           about science,"
73,1,   part iii
74,1,       now close the windows
75,1,"           it is time to make an end of speaking,"
76,1,       a line-storm song
77,1,"           it is the autumnal mood with a difference,"
78,1,       october
79,1,           he sees days slipping from him that were the best for what they
80,1,"           were,"
81,1,       my butterfly
82,1,"           there are things that can never be the same,"
83,1,       reluctance
84,2,"the farmhouse lingers, though averse to square"
85,2,with the new city street it has to wear
86,2,"a number in, but what about the brook"
87,2,that held the house as in an elbow-crook?
88,2,"i ask as one who knew the brook, its strength"
89,2,"and impulse, having dipped a finger length"
90,2,"and made it leap my knuckle, having tossed"
91,2,"a flower to try its currents where they crossed,"
92,2,the meadow grass could be cemented down
93,2,from growing under pavements of a town;
94,2,"the apple trees be sent to hearth-stone flame,"
95,2,is water wood to serve a brook the same?
96,2,how else dispose of an immortal force
97,2,no longer needed? staunch it at its source
98,2,with cinder loads dumped down? the brook was thrown
99,2,deep in a sewer dungeon under stone
100,2,in fetid darkness still to live and run --
101,2,and all for nothing it had ever done
102,2,"except forget to go in fear perhaps,"
103,2,no one would know except for ancient maps
104,2,"that such a brook ran water, but i wonder"
105,2,"if from its being kept forever under,"
106,2,the thoughts may not have risen that so keep
107,2,"this new-built city from both work and sleep,"
108,3,there sandy seems the golden sky
109,3,"and golden seems the sandy plain,"
110,3,no habitation meets the eye
111,3,"unless in the horizon rim,"
112,3,"some halfway up the limestone wall,"
113,3,that spot of black is not a stain
114,3,"or shadow, but a cavern hole,"
115,3,where someone used to climb and crawl
116,3,"to rest from his besetting fears,"
117,3,i see the callus on his soul
118,3,the disappearing last of him
119,3,"and of his race starvation slim,"
120,3,"oh years ago - ten thousand years,"
121,4,microscopic
122,4,
123,4,a speck that would have been beneath my sight
124,4,on any but a paper sheet so white
125,4,"set off across what i had written there,"
126,4,and i had idly poised my pen in air
127,4,to stop it with a period of ink
128,4,"when something strange about it made me think,"
129,4,"this was no dust speck by my breathing blown,"
130,4,but unmistakably a living mite
131,4,"with inclinations it could call its own,"
132,4,"it paused as with suspicion of my pen,"
133,4,and then came racing wildly on again
134,4,to where my manuscript was not yet dry;
135,4,then paused again and either drank or smelt--
136,4,"with loathing, for again it turned to fly,"
137,4,"plainly with an intelligence i dealt,"
138,4,"it seemed too tiny to have room for feet,"
139,4,yet must have had a set of them complete
140,4,"to express how much it didn't want to die,"
141,4,"it ran with terror and with cunning crept,"
142,4,"it faltered, i could see it hesitate;"
143,4,then in the middle of the open sheet
144,4,cower down in desperation to accept
145,4,"whatever i accorded it of fate,"
146,4,i have none of the tenderer-than-thou
147,4,collectivistic regimenting love
148,4,"with which the modern world is being swept,"
149,4,but this poor microscopic item now!
150,4,since it was nothing i knew evil of
151,4,"i let it lie there till i hope it slept,"
152,4,
153,4,i have a mind myself and recognize
154,4,mind when i meet with it in any guise
155,4,no one can know how glad i am to find
156,4,"on any sheet the least display of mind,"
157,5,"i had withdrawn in forest, and my song"
158,5,was swallowed up in leaves that blew alway;
159,5,and to the forest edge you came one day
160,5,"this was my dream and looked and pondered long,"
161,5,"but did not enter, though the wish was strong,"
162,5,"you shook your pensive head as who should say,"
163,5,‘i dare not--too far in his footsteps stray--
164,5,"he must seek me would he undo the wrong,"
165,5,
166,5,"not far, but near, i stood and saw it all"
167,5,behind low boughs the trees let down outside;
168,5,and the sweet pang it cost me not to call
169,5,"and tell you that i saw does still abide,"
170,5,"but 'tis not true that thus i dwelt aloof,"
171,5,"for the wood wakes, and you are here for proof,"
172,6,"when i go up through the mowing field,"
173,6,"the headless aftermath,"
174,6,"   smooth-laid like thatch with the heavy dew,"
175,6," half closes the garden path,"
176,6,
177,6,"   and when i come to the garden ground,"
178,6,the whir of sober birds
179,6, up from the tangle of withered weeds
180,6, is sadder than any words
181,6,
182,6,"a tree beside the wall stands bare,"
183,6," but a leaf that lingered brown,"
184,6,"   disturbed, i doubt not, by my thought,"
185,6," comes softly rattling down,"
186,6,
187,6, i end not far from my going forth
188,6,   by picking the faded blue
189,6,of the last remaining aster flower
190,6," to carry again to you,"
191,7,"the line-storm clouds fly tattered and swift,"
192,7," the road is forlorn all day,"
193,7,"where a myriad snowy quartz stones lift,"
194,7," and the hoof-prints vanish away,"
195,7,"the roadside flowers, too wet for the bee,"
196,7," expend their bloom in vain,"
197,7,"come over the hills and far with me,"
198,7," and be my love in the rain,"
199,7,
200,7,the birds have less to say for themselves
201,7, in the wood-world's torn despair
202,7,"than now these numberless years the elves,"
203,7," although they are no less there,"
204,7,all song of the woods is crushed like some
205,7," wild, earily shattered rose,"
206,7,"come, be my love in the wet woods, come,"
207,7," where the boughs rain when it blows,"
208,7,
209,7,there is the gale to urge behind
210,7," and bruit our singing down,"
211,7,and the shallow waters aflutter with wind
212,7," from which to gather your gown,"
213,7,"what matter if we go clear to the west,"
214,7, and come not through dry-shod?
215,7,for wilding brooch shall wet your breast
216,7," the rain-fresh goldenrod,"
217,7,
218,7,"oh, never this whelming east wind swells"
219,7, but it seems like the sea's return
220,7,to the ancient lands where it left the shells
221,7, before the age of the fern;
222,7,and it seems like the time when after doubt
223,7," our love came back amain,"
224,7,"oh, come forth into the storm and rout"
225,7," and be my love in the rain,"
226,8,"i have wished a bird would fly away,"
227,8,and not sing by my house all day;
228,8,
229,8,have clapped my hands at him from the door
230,8,"when it seemed as if i could bear no more,"
231,8,
232,8,"the fault must partly have been in me,"
233,8,"the bird was not to blame for his key,"
234,8,
235,8,and of course there must be something wrong
236,8,"in wanting to silence any song,"
237,9,there's a patch of old snow in a corner
238,9,that i should have guessed
239,9,was a blow-away paper the rain
240,9,"had brought to rest,"
241,9,
242,9,it is speckled with grime as if
243,9,"small print overspread it,"
244,9,the news of a day i've forgotten --
245,9,"if i ever read it,"
246,10,"oh, give us pleasure in the flowers today;"
247,10,and give us not to think so far away
248,10,as the uncertain harvest; keep us here
249,10,"all simply in the springing of the year,"
250,10,
251,10,"oh, give us pleasure in the orchard white,"
252,10,"like nothing else by day, like ghosts by night;"
253,10,"and make us happy in the happy bees,"
