,doc_id,sentence
0,0,"i'm 'ere in a ticky ulster an' a broken billycock 'at,"
1,0,a-layin' on to the sergeant i don't know a gun from a bat;
2,0,"my shirt's doin' duty for jacket, my sock's stickin' out o' my boots,"
3,0,an' i'm learnin' the damned old goose-step along o' the new recruits!
4,0,
5,0,"  back to the army again, sergeant,"
6,0,"   back to the army again,"
7,0,"  don't look so 'ard, for i 'aven't no card,"
8,0,   i'm back to the army again!
9,0,
10,0,"i done my six years' service,  'er majesty sez,  good-day --"
11,0,"you'll please to come when you're rung for, an' 'ere's your 'ole back-pay;"
12,0,"an' fourpence a day for baccy -- an' bloomin' gen'rous, too;"
13,0,"an' now you can make your fortune -- the same as your orf'cers do,"
14,0,
15,0,"  back to the army again, sergeant,"
16,0,   back to the army again;
17,0,  'ow did i learn to do right-about turn?
18,0,   i'm back to the army again!
19,0,
20,0,a man o' four-an'-twenty that 'asn't learned of a trade --
21,0,"beside reserve agin' him -- 'e'd better be never made,"
22,0,"i tried my luck for a quarter, an' that was enough for me,"
23,0,"an' i thought of 'er majesty's barricks, an' i thought i'd go an' see,"
24,0,
25,0,"  back to the army again, sergeant,"
26,0,   back to the army again;
27,0,  'tisn't my fault if i dress when i 'alt --
28,0,   i'm back to the army again!
29,0,
30,0,"the sergeant arst no questions, but 'e winked the other eye,"
31,0,"'e sez to me, 'shun! an' i shunted, the same as in days gone by;"
32,0,"for 'e saw the set o' my shoulders, an' i couldn't 'elp 'oldin' straight"
33,0,"when me an' the other rookies come under the barrick-gate,"
34,0,
35,0,"  back to the army again, sergeant,"
36,0,   back to the army again;
37,0,  'oo would ha' thought i could carry an' port?
38,0,   i'm back to the army again!
39,0,
40,0,"i took my bath, an' i wallered -- for, gawd, i needed it so!"
41,0,"i smelt the smell o' the barricks, i 'eard the bugles go,"
42,0,i 'eard the feet on the gravel -- the feet o' the men what drill --
43,0,"an' i sez to my flutterin' 'eart-strings, i sez to 'em, peace, be still!"
44,0,
45,0,"  back to the army again, sergeant,"
46,0,   back to the army again;
47,0,  'oo said i knew when the ~jumner~ was due?
48,0,   i'm back to the army again!
49,0,
50,0,"i carried my slops to the tailor; i sez to 'im, none o' your lip!"
51,0,"you tight 'em over the shoulders, an' loose 'em over the 'ip,"
52,0,"for the set o' the tunic's 'orrid,  an' 'e sez to me, strike me dead,"
53,0,"but i thought you was used to the business! an' so 'e done what i said,"
54,0,
55,0,"  back to the army again, sergeant,"
56,0,"   back to the army again,"
57,0,  rather too free with my fancies?  wot -- me?
58,0,   i'm back to the army again!
59,0,
60,0,next week i'll 'ave 'em fitted; i'll buy me a swagger-cane;
61,0,they'll let me free o' the barricks to walk on the hoe again
62,0,"in the name o' william parsons, that used to be edward clay,"
63,0,an' -- any pore beggar that wants it can draw my fourpence a day!
64,0,
65,0,"  back to the army again, sergeant,"
66,0,"   back to the army again,"
67,0,"  out o' the cold an' the rain, sergeant,"
68,0,"   out o' the cold an' the rain,"
69,0,
70,0,                   'oo's there?
71,0,"a man that's too good to be lost you,"
72,0,a man that is 'andled an' made --
73,0,a man that will pay what 'e cost you
