,doc_id,sentence
0,0,"what is this, behind this veil, is it ugly, is it beautiful?"
1,0,"it is shimmering, has it breasts, has it edges?"
2,0,
3,0,"i am sure it is unique, i am sure it is what i want,"
4,0,"when i am quiet at my cooking i feel it looking, i feel it thinking"
5,0,
6,0,"'is this the one i am too appear for,"
7,0,"is this the elect one, the one with black eye-pits and a scar?"
8,0,
9,0,"measuring the flour, cutting off the surplus,"
10,0,"adhering to rules, to rules, to rules,"
11,0,
12,0,is this the one for the annunciation?
13,0,"my god, what a laugh!'"
14,0,
15,0,"but it shimmers, it does not stop, and i think it wants me,"
16,0,"i would not mind if it were bones, or a pearl button,"
17,0,
18,0,"i do not want much of a present, anyway, this year,"
19,0,"after all i am alive only by accident,"
20,0,
21,0,"i would have killed myself gladly that time any possible way,"
22,0,"now there are these veils, shimmering like curtains,"
23,0,
24,0,the diaphanous satins of a january window
25,0,"white as babies' bedding and glittering with dead breath, o ivory!"
26,0,
27,0,"it must be a tusk there, a ghost column,"
28,0,"can you not see i do not mind what it is,"
29,0,
30,0,can you not give it to me?
31,0,"do not be ashamed--i do not mind if it is small,"
32,0,
33,0,"do not be mean, i am ready for enormity,"
34,0,"let us sit down to it, one on either side, admiring the gleam,"
35,0,
36,0,"the glaze, the mirrory variety of it,"
37,0,"let us eat our last supper at it, like a hospital plate,"
38,0,
39,0,"i know why you will not give it to me,"
40,0,you are terrified
41,0,
42,0,"the world will go up in a shriek, and your head with it,"
43,0,"bossed, brazen, an antique shield,"
44,0,
45,0,"a marvel to your great-grandchildren,"
46,0,"do not be afraid, it is not so,"
47,0,
48,0,"i will only take it and go aside quietly,"
49,0,"you will not even hear me opening it, no paper crackle,"
50,0,
51,0,"no falling ribbons, no scream at the end,"
52,0,"i do not think you credit me with this discretion,"
53,0,
54,0,"if you only knew how the veils were killing my days,"
55,0,"to you they are only transparencies, clear air,"
56,0,
57,0,"but my god, the clouds are like cotton,"
58,0,"armies of them, they are carbon monoxide,"
59,0,
60,0,"sweetly, sweetly i breathe in,"
61,0,"filling my veins with invisibles, with the million"
62,0,
63,0,"probable motes that tick the years off my life,"
64,0,"you are silver-suited for the occasion, o adding machine-----"
65,0,
66,0,is it impossible for you to let something go and have it go whole?
67,0,"must you stamp each piece purple,"
68,0,
69,0,must you kill what you can?
70,0,"there is one thing i want today, and only you can give it to me,"
71,0,
72,0,"it stands at my window, big as the sky,"
73,0,"it breathes from my sheets, the cold dead center"
74,0,
75,0,"where split lives congeal and stiffen to history,"
76,0,"let it not come by the mail, finger by finger,"
77,0,
78,0,"let it not come by word of mouth, i should be sixty"
79,0,"by the time the whole of it was delivered, and to numb to use it,"
80,0,
81,0,"only let down the veil, the veil, the veil,"
82,0,if it were death
83,0,
84,0,"i would admire the deep gravity of it, its timeless eyes,"
85,0,"i would know you were serious,"
86,0,
87,0,"there would be a nobility then, there would be a birthday,"
88,0,"and the knife not carve, but enter"
89,0,
90,0,"pure and clean as the cry of a baby,"
91,0,"and the universe slide from my side,"
92,1,in the dour ages
93,1,"of drafty cells and draftier castles,"
94,1,"of dragons breathing without the frame of fables,"
95,1,saint and king unfisted obstruction's knuckles
96,1,"by no miracle or majestic means,"
97,1,
98,1,but by such abuses
99,1,as smack of spite and the overscrupulous
100,1,"twisting of thumbscrews, one soul tied in sinews,"
101,1,"one white horse drowned, and all the unconquered pinnacles"
102,1,of god's city and babylon's
103,1,
104,1,"must wait, while here suso's"
105,1,"hand hones his tack and needles,"
106,1,scouraging to sores his own red sluices
107,1,"for the relish of heaven, relentless, dousing with prickles"
108,1,of horsehair and lice his horny loins;
109,1,while there irate cyrus
110,1,squanders a summer and the brawn of his heroes
111,1,"to rebuke the horse-swallowing river gyndes,"
112,1,he split it into three hundred and sixty trickles
113,1,"a girl could wade without wetting her shins,"
114,1,
115,1,"still, latter-day sages,"
116,1,"smiling at this behavior, subjugating their enemies"
117,1,"neatly, nicely, by disbelief or bridges,"
118,1,"never grip, as the grandsires did, that devil who chuckles"
119,1,"from grain of the marrow and the river-bed grains,"
120,2,"touch it, it won't shrink like an eyeball,"
121,2,"this egg-shaped bailiwick, clear as a tear,"
122,2,"here's yesterday, last year ---"
123,2,palm-spear and lily distinct as flora in the vast
124,2,"windless threadwork of a tapestry,"
125,2,
126,2,"flick the glass with your fingernail,"
127,2,it will ping like a chinese chime in the slightest air stir
128,2,"though nobody in there looks up or bothers to answer,"
129,2,"the inhabitants are light as cork,"
130,2,"every one of them permanently busy,"
131,2,
132,2,"at their feet, the sea waves bow in single file,"
133,2,"never trespassing in bad temper,"
134,2,"stalling in midair,"
135,2,"short-reined, pawing like paradeground horses,"
136,2,"overhead, the clouds sit tasseled and fancy"
137,2,
138,2,"as victorian cushions, this family"
139,2,"of valentine faces might please a collector,"
140,2,"they ring true, like good china,"
141,2,
142,2,"elsewhere the landscape is more frank,"
143,2,"the light falls without letup, blindingly,"
144,2,
145,2,a woman is dragging her shadow in a circle
146,2,"about a bald hospital saucer,"
147,2,"it resembles the moon, or a sheet of blank paper"
148,2,"and appears to have suffered a sort of private blitzkrieg,"
149,2,she lives quietly
150,2,
151,2,"with no attachments, like a foetus in a bottle,"
152,2,"the obsolete house, the sea, flattened to a picture"
153,2,"she has one too many dimensions to enter,"
154,2,"grief and anger, exorcised,"
155,2,"leave her alone now,"
156,2,
157,2,the future is a grey seagull
158,2,"tattling in its cat-voice of departure,"
159,2,"age and terror, like nurses, attend her,"
160,2,"and a drowned man, complaining of the great cold,"
161,2,"crawls up out of the sea,"
162,3,i'm through with this grand looking-glass hotel
163,3,where adjectives play croquet with flamingo nouns;
164,3,methinks i shall absent me for a while
165,3,"from rhetoric of these rococo queens,"
166,3,"item , chuck out royal rigmarole of props"
167,3,and auction off each rare white-rabbit verb;
168,3,send my muse alice packing with gaudy scraps
169,3,"of mushroom simile and gryphon garb,"
170,3,
171,3,"my native sleight-of-hand is wearing out ,"
172,3,"mad hatter's hat yields no new metaphor,"
173,3,"and jabberwock will not translate his songs ,"
174,3,it's time to vanish like the cheshire cat
175,3,alone to that authentic island where
176,3,"cabbages are cabbages; kings , kings,"
177,4,"at this wharf there are no grand landings to speak of,"
178,4,red and orange barges list and blister
179,4,"shackled to the dock, outmoded, gaudy,"
180,4,"and apparently indestructible,"
181,4,"the sea pulses under a skin of oil,"
182,4,
183,4,"a gull holds his pose on a shanty ridgepole,"
184,4,"riding the tide of the wind, steady"
185,4,"as wood and formal, in a jacket of ashes,"
186,4,the whole flat harbor anchored in
187,4,"the round of his yellow eye-button,"
188,4,
189,4,a blimp swims up like a day-moon or tin
190,4,"cigar over his rink of fishes,"
191,4,"the prospect is dull as an old etching,"
192,4,"they are unloading three barrels of little crabs,"
193,4,the pier pilings seem about to collapse
194,4,
195,4,and with them that rickety edifice
196,4,"of warehouses, derricks, smokestacks and bridges"
197,4,"in the distance, all around us the water slips"
198,4,"and gossips in its loose vernacular,"
199,4,"ferrying the smells of cod and tar,"
200,4,
201,4,"farther out, the waves will be mouthing icecakes ---"
202,4,"a poor month for park-sleepers and lovers,"
203,4,"even our shadows are blue with cold,"
204,4,we wanted to see the sun come up
205,4,"and are met, instead, by this iceribbed ship,"
206,4,
207,4,"bearded and blown, an albatross of frost,"
208,4,"relic of tough weather, every winch and stay"
209,4,"encased in a glassy pellicle,"
210,4,"the sun will diminish it soon enough,"
211,4,"each wave-tip glitters like a knife,"
212,5,here in this valley of discrete academies
213,5,"we have not mountains, but mounts, truncated hillocks"
214,5,"to the adirondacks, to northern monadnock,"
215,5,"themselves mere rocky hillocks to an everest,"
216,5,"still, they're out best mustering of height, by"
217,5,comparison with the sunnken silver-grizzled
218,5,"back of the connecticut, the river-level"
219,5,"flats of hadley farms, they're lofty enough"
220,5,"elevations to be called something more than hills,"
221,5,"green, wholly green, they stand their knobby spine"
222,5,"against our sky, they are what we look southward to"
223,5,"up pleasant street at main, poising their shapes"
224,5,"between the snuff and red tar-paper apartments,"
225,5,"they mound a summer coolness in our view,"
226,5,
227,5,to people who live in the bottom of valleys
228,5,"a rise in the landscape, hummock or hogback, looks"
229,5,"to be meant for climbing, a peculiar logic"
230,5,in going up for the coming down if the post
231,5,"we start at's the same post we finish by,"
232,5,but it's the clear conversion at the top can hold
233,5,"us to the oblique road, in spite of a fitful"
234,5,"wish for even ground, and it's the last cliff"
235,5,"ledge will dislodge out cramped concept of space, unwall"
236,5,"horizons beyond vision, spill vision"
237,5,"after the horizons, stretching the narrowed eye"
238,5,"to full capacity, we climb to hopes"
239,5,"of such seeing up the leaf-shuttered escarpments,"
240,5,"blindered by green, under a green-grained sky"
241,5,
242,5,"into the blue, tops define themselves as places"
243,5,"where nothing higher's to be looked to, downward looks"
244,5,follow the black arrow-backs of swifts on their track
245,5,of the air eddies' loop and arc though air's at rest
246,5,"to us, since we see no leaf edge stir high"
247,5,"here on a mount overlaid with leaves, the paint-peeled"
248,5,hundred-year-old hotel sustains its ramshackle
249,5,"four-way veranda, view-keeping above"
250,5,the fallen timbers of its once remarkable
251,5,"funicular railway, witness to gone"
252,5,"time, and to graces gone with the time, a state view-"
253,5,keeper collects half-dollars for the slopes
254,5,"of state scenery, sells soda, shows off viewpoints,"
255,5,a ruffy skylight oaints the gray oxbow
256,5,
257,5,"and paints the river's pale circumfluent stillness,"
258,5,"as roses broach their carmine in a mirror, flux"
259,5,of the desultory currents --- all that unique
260,5,"stripple of shifting wave-tips is ironed out, lost"
261,5,in the simplified orderings of sky-
262,5,"lorded perspectives, maplike, the far fields are ruled"
263,5,by correct green lines and no seedy free-for-all
264,5,"of asparagus heads, cars run their suave"
265,5,"colored beads on the strung roads, and the people stroll"
266,5,"straightforwardly across the springing green,"
267,5,"all's peace and discipline down there, till lately we"
268,5,lived under the shadow of hot rooftops
269,5,"and never saw how coolly we might move, for once"
270,5,"a high hush quietens the crickets' cry,"
