,doc_id,sentence
0,0,arm'd year! year of the struggle!
1,0,"no dainty rhymes or sentimental love verses for you, terrible year!"
2,0,"not you as some pale poetling, seated at a desk, lisping cadenzas"
3,0,        piano;
4,0,"but as a strong man, erect, clothed in blue clothes, advancing,"
5,0,"        carrying a rifle on your shoulder,"
6,0,with well-gristled body and sunburnt face and hands--with a knife in
7,0,"        the belt at your side,"
8,0,as i heard you shouting loud--your sonorous voice ringing across the
9,0,        continent;
10,0,"your masculine voice, o year, as rising amid the great cities,"
11,0,"amid the men of manhattan i saw you, as one of the workmen, the"
12,0,        dwellers in manhattan;
13,0,or with large steps crossing the prairies out of illinois and
14,0,"        indiana,"
15,0,"rapidly crossing the west with springy gait, and descending the"
16,0,        alleghanies;                                                
17,0,"or down from the great lakes, or in pennsylvania, or on deck along"
18,0,        the ohio river;
19,0,"or southward along the tennessee or cumberland rivers, or at"
20,0,"        chattanooga on the mountain top,"
21,0,"saw i your gait and saw i your sinewy limbs, clothed in blue, bearing"
22,0,"        weapons, robust year;"
23,0,"heard your determin'd voice, launch'd forth again and again;"
24,0,"year that suddenly sang by the mouths of the round-lipp'd cannon,"
25,0,"i repeat you, hurrying, crashing, sad, distracted year,"
26,1,"to get betimes in boston town, i rose this morning early;"
27,1,"here's a good place at the corner--i must stand and see the show,"
28,1,
29,1,"clear the way there, jonathan!"
30,1,way for the president's marshal! way for the government cannon!
31,1,way for the federal foot and dragoons--and the apparitions copiously
32,1,"        tumbling,"
33,1,
34,1,i love to look on the stars and stripes--i hope the fifes will play
35,1,"        yankee doodle,"
36,1,
37,1,how bright shine the cutlasses of the foremost troops!
38,1,"every man holds his revolver, marching stiff through boston town,"
39,1,
40,1,"a fog follows--antiques of the same come limping,"
41,1,"some appear wooden-legged, and some appear bandaged and bloodless,"
42,1,
43,1,why this is indeed a show! it has called the dead out of the earth!
44,1,the old grave-yards of the hills have hurried to see!
45,1,phantoms! phantoms countless by flank and rear!
46,1,cock'd hats of mothy mould! crutches made of mist!
47,1,arms in slings! old men leaning on young men's shoulders!
48,1,
49,1,"what troubles you, yankee phantoms? what is all this chattering of"
50,1,        bare gums?
51,1,does the ague convulse your limbs? do you mistake your crutches for
52,1,"        fire-locks, and level them?"
53,1,
54,1,"if you blind your eyes with tears, you will not see the president's"
55,1,        marshal;
56,1,"if you groan such groans, you might balk the government cannon,"
57,1,
58,1,"for shame, old maniacs! bring down those toss'd arms, and let your"
59,1,        white hair be;                                              
60,1,
61,1,here gape your great grand-sons--their wives gaze at them from the
62,1,"        windows,"
63,1,"see how well dress'd--see how orderly they conduct themselves,"
64,1,
65,1,worse and worse! can't you stand it? are you retreating?
66,1,is this hour with the living too dead for you?
67,1,
68,1,retreat then! pell-mell!
69,1,"to your graves! back! back to the hills, old limpers!"
70,1,"i do not think you belong here, anyhow,"
71,1,
72,1,but there is one thing that belongs here--shall i tell you what it
73,1,"        is, gentlemen of boston?"
74,1,i will whisper it to the mayor--he shall send a committee to england;
75,1,"they shall get a grant from the parliament, go with a cart to the"
76,1,        royal vault--haste!                                          
77,1,
