,doc_id,sentence
0,0,"war broke, and now the winter of the world"
1,0,"with perishing great darkness closes in,"
2,0,"the foul tornado, centred at berlin,"
3,0,"is over all the width of europe whirled,"
4,0,"rending the sails of progress, rent or furled"
5,0,"are all art's ensigns, verse wails, now begin"
6,0,"famines of thought and feeling, love's wine's thin,"
7,0,"the grain of human autumn rots, down-hurled,"
8,0,
9,0,"for after spring had bloomed in early greece,"
10,0,"and summer blazed her glory out with rome,"
11,0,"an autumn softly fell, a harvest home,"
12,0,"a slow grand age, and rich with all increase,"
13,0,"but now, for us, wild winter, and the need"
14,0,"of sowings for new spring, and blood for seed,"
15,1,seeing we never found gay fairyland
16,1,though still we crouched by bluebells moon by moon
17,1,and missed the tide of lethe; yet are soon
18,1,for that new bridge that leaves old styx half-spanned;
19,1,nor ever unto mecca caravanned;
20,1,"nor bugled asgard, skilled in magic rune;"
21,1,"nor yearned for far nirvana, the sweet swoon,"
22,1,and from high paradise are cursed and banned;
23,1,
24,1,"-let's die home, ferry across the channel! thus"
25,1,"shall we live gods there, death shall be no sev'rance,"
26,1,"weary cathedrals light new shrines for us,"
27,1,"to us, rough knees of boys shall ache with rev'rence,"
28,1,"are not girls' breasts a clear, strong acropole?"
29,1,"-there our oun mothers' tears shall heal us whole,"
30,2,"sit on the bed, i'm blind, and three parts shell,"
31,2,"be careful; can't shake hands now; never shall,"
32,2,"both arms have mutinied against me,-brutes,"
33,2,"my fingers fidget like ten idle brats,"
34,2,
35,2,"i tried to peg out soldierly,-no use!"
36,2,"one dies of war like any old disease,"
37,2,"this bandage feels like pennies on my eyes,"
38,2,"i have my medals?-discs to make eyes close,"
39,2,my glorious ribbons?-ripped from my own back
40,2,"in scarlet shreds, that's for your poetry book,"
41,2,
42,2,"a short life and a merry one, my buck!"
43,2,"we used to say we'd hate to live dead-old,-"
44,2,"yet now,i'd willingly be puffy, bald,"
45,2,"and patriotic, buffers catch from boys"
46,2,"at least the jokes hurled at them, i suppose"
47,2,"little i'd ever teach a son, but hitting,"
48,2,"shooting, war, hunting, all the arts of hurting,"
49,2,"well, that's what i learnt,-that, and making money,"
50,2,
51,2,your fifty years ahead seem none too many?
52,2,tell me how long i've got? god! for one year
53,2,to help myself to nothing more than air!
54,2,"one spring! is one too good to spare, too long?"
55,2,"spring wind would work its own way to my lung,"
56,2,"and grow me legs as quick as lilac-shoots,"
57,2,
58,2,"my servant's lamed, but listen how he shouts!"
59,2,"when i'm lugged out, he'll still be good for that,"
60,2,"here in this mummy-case, you know, i've thought"
61,2,"how well i might have swept his floors for ever,"
62,2,"i'd ask no nights off when the bustle's over,"
63,2,"enjoying so the dirt, who's prejudiced"
64,2,"against a grimed hand when his own's quite dust,"
65,2,"less live than specks that in the sun-shafts turn,"
66,2,less warm than dust that mixes with arms' tan?
67,2,"i'd love to be a sweep, now, black as town,"
68,2,"yes, or a muckman, must i be his load?"
69,2,
70,2,"o life, life, let me breathe,-a dug-out rat!"
71,2,not worse than ours the lives rats lead-
72,2,"nosing along at night down some safe rut,"
73,2,"they find a shell-proof home before they rot,"
74,2,"dead men may envy living mites in cheese,"
75,2,"or good germs even, microbes have their joys,"
76,2,"and subdivide, and never come to death,"
77,2,"certainly flowers have the easiest time on earth,"
78,2,"'i shall be one with nature, herb, and stone'"
79,2,"shelley would tell me, shelley would be stunned,"
80,2,"the dullest tommy hugs that fancy now,"
81,2,"'pushing up daisies' is their creed, you know,"
82,2,
83,2,"to grain, then, go my fat, to buds my sap,"
84,2,"for all the usefulness there is in soap,"
85,2,d'you think the boche will ever stew man-soup?
86,2,"some day, no doubt, if,friend, be very sure"
87,2,i shall be better off with plants that share
88,2,"more peaceably the meadow and the shower,"
89,2,"soft rains will touch me,-as they could touch once,"
90,2,"and nothing but the sun shall make me ware,"
91,2,"your guns may crash around me, i'll not hear;"
92,2,"or, if i wince, i shall not know i wince,"
93,2,
94,2,"don't take my soul's poor comfort for your jest,"
95,2,"soldiers may grow a soul when turned to fronds,"
96,2,"but here's the thing's best left at home with friends,"
97,2,
98,2,"my soul's a little grief, grappling your chest,"
99,2,to climb your throat on sobs; easily chased
100,2,"on other sighs and wiped by fresher winds,"
101,2,
102,2,carry my crying spirit till it's weaned
103,2,"to do without what blood remained these wounds,"
104,3,what passing-bells for these who die as cattle?
105,3,"    only the monstrous anger of the guns,"
106,3,    only the stuttering rifles' rapid rattle
107,3,"can patter out their hasty orisons,"
108,3,"no mockeries for them; no prayers nor bells,"
109,3,"nor any voice of mourning save the choirs,--"
110,3,"the shrill, demented choirs of wailing shells;"
111,3,"and bugles calling for them from sad shires,"
112,3,what candles may be held to speed them all?
113,3,"     not in the hands of boys, but in their eyes"
114,3," shall shine the holy glimmers of goodbyes,"
115,3,     the pallor of girls' brows shall be their pall;
116,3," their flowers the tenderness of patient minds,"
117,3," and each slow dusk a drawing-down of blinds,"
118,4,"i, too, saw god through mud--"
119,4,"the mud that cracked on cheeks when wretches smiled,"
120,4,"war brought more glory to their eyes than blood,"
121,4,"and gave their laughs more glee than shakes a child,"
122,4,
123,4,merry it was to laugh there--
124,4,"where death becomes absurd and life absurder,"
125,4,for power was on us as we slashed bones bare
126,4,"not to feel sickness or remorse of murder,"
127,4,
128,4,"i, too, have dropped off fear--"
129,4,"behind the barrage, dead as my platoon,"
130,4,"and sailed my spirit surging, light and clear,"
131,4,past the entanglement where hopes lie strewn;
132,4,
133,4,and witnessed exhultation--
134,4,"faces that used to curse me, scowl for scowl,"
135,4,"shine and lift up with passion of oblation,"
136,4,"seraphic for an hour, though they were foul,"
137,4,
138,4,i have made fellowships--
139,4,"untold of happy lovers in old song,"
140,4,for love is not the binding of fair lips
141,4,"with the soft silk of eyes that look and long,"
142,4,
143,4,"by joy, whose ribbon slips,--"
144,4,but wound with war's hard wire whose stakes are strong;
145,4,bound with the bandage of the arm that drips;
146,4,"knit in the welding of the rifle-thong,"
147,4,
148,4,i have perceived much beauty
149,4,in the hoarse oaths that kept our courage straight;
150,4,heard music in the silentness of duty;
151,4,"found peace where shell-storms spouted reddest spate,"
152,4,
153,4,"nevertheless, except you share"
154,4,"with them in hell the sorrowful dark of hell,"
155,4,whose world is but a trembling of a flare
156,4,"and heaven but a highway for a shell,"
157,4,
158,4,"you shall not hear their mirth,"
159,4,you shall not come to think them well content
160,4,"by any jest of mine, these men are worth"
161,4,"your tears, you are not worth their merriment,"
162,5, let the boy try along this bayonet-blade
163,5,"how cold steel is, and keen with hunger of blood;"
164,5,"blue with all malice, like a madman's flash;"
165,5,"and thinly drawn with famishing for flesh,"
166,5,"lend him to stroke these blind, blunt bullet-heads"
167,5,"which long to muzzle in the hearts of lads,"
168,5,"or give him cartridges of fine zinc teeth,"
169,5,"sharp with the sharpness of grief and death,"
170,5,"for his teeth seem for laughing round an apple,"
171,5,  there lurk no claws behind his fingers supple;
172,5,"  and god will grow no talons at his heels,"
173,5,"  nor antlers through the thickness of his curls,"
174,6,"under his helmet, up against his pack,"
175,6,"after so many days of work and waking,"
176,6,"sleep took him by the brow and laid him back,"
177,6,
178,6,"there, in the happy no-time of his sleeping,"
179,6,"death took him by the heart, there heaved a quaking"
180,6,"of the aborted life within him leaping,"
181,6,"then chest and sleepy arms once more fell slack,"
182,6,
183,6,"and soon the slow, stray blood came creeping"
184,6,"from the intruding lead, like ants on track,"
185,6,
186,6,whether his deeper sleep lie shaded by the shaking
187,6,"of great wings, and the thoughts that hung the stars,"
188,6,"high-pillowed on calm pillows of god's making,"
189,6,"above these clouds, these rains, these sleets of lead,"
190,6,"and these winds' scimitars,"
191,6,-or whether yet his thin and sodden head
192,6,"confuses more and more with the low mould,"
193,6,his hair being one with the grey grass
194,6,"of finished fields, and wire-scrags rusty-old,"
195,6,who knows? who hopes? who troubles? let it pass!
196,6,"he sleeps, he sleeps less tremulous, less cold,"
197,6,"than we who wake, and waking say alas!"
198,7,"one ever hangs where shelled roads part,"
199,7,"in this war he too lost a limb,"
200,7,but his disciples hide apart;
201,7,"and now the soldiers bear with him,"
202,7,
203,7,"near golgotha strolls many a priest,"
204,7,and in their faces there is pride
205,7,that they were flesh-marked by the beast
206,7,by whom the gentle christ's denied
207,7,
208,7,the scribes on all the people shove
209,7,"and bawl allegiance to the state,"
210,7,but they who love the greater love
211,7,lay down their life; they do not hate
212,8,"the beautiful, the fair, the elegant,"
213,8,"is that which pleases us, says kant,"
214,8,"without a thought of interest or advantage,"
215,8,
216,8,i used to watch men when they spoke of beauty
217,8,"and measure their enthusiasm, one"
218,8,"an old man, seeing a   setting sun,"
219,8,praised it   a certain sense of duty
220,8,"to the calm evening and his time of life,"
221,8,i know another man that never says a beauty
222,8,but of a horse;  
223,8,
224,8,"men seldom speak of beauty, beauty as such,"
225,8,"not even lovers think about it much,"
226,8,women of course consider it for hours
227,8,in mirrors;  
228,8,
229,8,a shrapnel ball -
230,8,just where the wet skin glistened when he swam -
231,8,"like a fully-opened sea-anemone,"
232,8,"we both said 'what a beauty! what a beauty, lad'"
233,8,i knew that in that flower he saw a hope
234,8,"of living on, and seeing again the roses of his home,"
235,8,"beauty is that which pleases and delights,"
236,8,"not bringing personal advantage - kant,"
237,8,but later on i heard
238,8,a canker worked into that crimson flower
239,8,and that he sank with it
240,8,"and laid it with the anemones off dover,"
241,9,"bugles sang, saddening the evening air,"
242,9,"and bugles answered, sorrowful to hear,"
243,9,
244,9,"voices of boys were by the river-side,"
245,9,"sleep mothered them; and left the twilight sad,"
246,9,"the shadow of the morrow weighed on men,"
247,9,
248,9,"voices of old despondency resigned,"
249,9,"bowed by the shadow of the morrow, slept,"
250,9,
251,9,  dying tone
252,9,"of receding voices that will not return,"
253,9,the wailing of the high far-travelling shells
254,9,and the deep cursing of the provoking  
255,9,
256,9,"the monstrous anger of our taciturn guns,"
257,9,"the majesty of the insults of their mouths,"
258,10,"his fingers wake, and flutter; up the bed,"
259,10,"his eyes come open with a pull of will,"
260,10,"helped by the yellow mayflowers by his head,"
261,10,"the blind-cord drawls across the window-sill,"
262,10,what a smooth floor the ward has! what a rug!
263,10,who is that talking somewhere out of sight?
264,10,"three flies creeping round the shiny jug,"
265,10,"'nurse! doctor!'-'yes; all right, all right,'"
266,10,
267,10,"but sudden evening muddles all the air,"
268,10,"there seems no time to want a drink of water,"
269,10,"nurse looks so far away, and here and there"
270,10,"music and roses burst through crimson slaughter,"
271,10,"he can't remember where he saw blue sky,"
272,10,"the trench is narrower, cold, he's cold; yet hot --"
273,10,"and there's no light to see the voices by,"
274,10,"there is no time to ask, he knows not what,"
275,11,"he sat in a wheeled chair, waiting for dark,"
276,11,"and shivered in his ghastly suit of grey,"
277,11,"legless, sewn short at elbow, through the park"
278,11,"voices of boys rang saddening like a hymn,"
279,11,"voices of play and pleasure after day,"
280,11,"till gathering sleep had mothered them from him,"
281,11,
282,11,about this time town used to swing so gay
283,11,"when glow-lamps budded in the light blue trees,"
284,11,"and girls glanced lovelier as the air grew dim,-"
285,11,"in the old times, before he threw away his knees,"
286,11,now he will never feel again how slim
287,11,"girls' waists are, or how warm their subtle hands,"
288,11,"all of them touch him like some queer disease,"
289,11,
290,11,"there was an artist silly for his face,"
291,11,"for it was younger than his youth, last year,"
292,11,"now, he is old; his back will never brace;"
293,11,"he's lost his colour very far from here,"
294,11,"poured it down shell-holes till the veins ran dry,"
295,11,and half his lifetime lapsed in the hot race
296,11,"and leap of purple spurted from his thigh,"
297,11,
298,11,"one time he liked a blood-smear down his leg,"
299,11,"after the matches, carried shoulder-high,"
300,11,"it was after football, when he'd drunk a peg,"
301,11,"he thought he'd better join, - he wonders why,"
302,11,"someone had said he'd look a god in kilts,"
303,11,"that's why; and maybe, too, to please his meg,"
304,11,"aye, that was it, to please the giddy jilts"
305,11,"he asked to join, he didn't have to beg;"
306,11,"smiling they wrote his lie, aged nineteen years,"
307,11,
308,11,"germans he scarcely thought of; all their guilt,"
309,11,"and austria's, did not move him, and no fears"
310,11,"of fear came yet, he drought of jewelled hills"
311,11,for daggers in plaid socks; of smart salutes;
312,11,and care of arms; and leave; and pay arrears;
313,11,"esprit de corps; and hints for young recruits,"
314,11,"and soon, he was drafted out with drums and cheers,"
315,11,
316,11,"some cheered him home, but not as crowds cheer goal,"
317,11,only a solemn man who brought him fruits
318,11,"thanked him; and then enquired about his soul,"
319,11,
320,11,"now, he will spend a few sick years in institutes,"
321,11,"and do what things the rules consider wise,"
322,11,"and take whatever pity they may dole,"
323,11,tonight he noticed how the women's eyes
324,11,"passed from him to the strong men that were whole,"
325,11,how cold and late it is! why don't they come
326,11,and put him into bed? why don't they come?
327,12,"bent double, like old beggars under sacks,"
328,12,"knock-kneed, coughing like hags, we cursed through sludge,"
329,12,"till on the haunting flares we turned our backs,"
330,12,"and towards our distant rest began to trudge,"
331,12,"men marched asleep, many had lost their boots,"
332,12,"but limped on, blood-shod, all went lame, all blind;"
333,12,drunk with fatigue; deaf even to the hoots
334,12,"of gas-shells dropping softly behind,"
335,12,
336,12,"gas! gas! quick, boys!--an ecstasy of fumbling"
337,12,"fitting the clumsy helmets just in time,"
338,12,but someone still was yelling out and stumbling
339,12,"and flound'ring like a man in fire or lime,--"
340,12,"dim through the misty panes and thick green light,"
341,12,"as under a green sea, i saw him drowning,"
342,12,in all my dreams before my helpless sight
343,12,"he plunges at me, guttering, choking, drowning,"
344,12,
345,12,"if in some smothering dreams, you too could pace"
346,12,"behind the wagon that we flung him in,"
347,12,"and watch the white eyes writhing in his face,"
348,12,"his hanging face, like a devil's sick of sin,"
349,12,"if you could hear, at every jolt, the blood"
350,12,come gargling from the froth-corrupted lungs
351,12,bitter as the cud
352,12,"of vile, incurable sores on innocent tongues,--"
353,12,"my friend, you would not tell with such high zest"
354,12,"to children ardent for some desperate glory,"
355,12,"the old lie, dulce et decorum est"
356,12,"pro patria mori,"
357,13,"hush, thrush! hush, missen-thrush, i listen,"
358,13,"i heard the flush of footsteps through the loose leaves,"
359,13,"and a low whistle by the water's brim,"
360,13,
361,13,"still! daffodil! nay, hail me not so gaily,-"
362,13,"your gay gold lily daunts me and deceives,"
363,13,"who follow gleams more golden and more slim,"
364,13,
365,13,"look, brook! o run and look, o run!"
366,13,"the vain reeds shook? - yet search till gray sea heaves,"
367,13,"and i will stray among these fields for him,"
368,13,
369,13,"gaze, daisy! stare through haze and glare,"
370,13,"and mark the hazardous stars all dawns and eves,"
371,13,"for my eye withers, and his star wanes dim,"
372,13,
373,13,2
374,13,
375,13,"close, rose, and droop, heliotrope,"
376,13,"and shudder, hope! the shattering winter blows,"
377,13,"drop, heliotrope, and close, rose,"
378,13,
379,13,"mourn, corn, and sigh, rye,"
380,13,"men garner you, but youth's head lies forlorn,"
381,13,"sigh, rye, and mourn, corn,"
382,13,
383,13,"brood, wood, and muse, yews,"
384,13,"the ways gods use we have not understood,"
385,13,"muse, yews, and brood, wood,"
386,14,i
387,14,"our brains ache, in the merciless iced east winds that knife us ,"
388,14,"wearied we keep awake because the night is silent ,"
389,14,"low drooping flares confuse our memory of the salient ,"
390,14,"worried by silence, sentries whisper, curious, nervous,"
391,14,"  but nothing happens,"
392,14,"watching, we hear the mad gusts tugging on the wire,"
393,14,"like twitching agonies of men among its brambles,"
394,14,"northward incessantly, the flickering gunnery rumbles,"
395,14,"far off, like a dull rumour of some other war,"
396,14,    what are we doing here?
397,14,"  the poignant misery of dawn begins to grow ,"
398,14,"  we only know war lasts, rain soaks, and clouds sag stormy,"
399,14,  dawn massing in the east her melancholy army
400,14,"  attacks once more in ranks on shivering ranks of gray,"
401,14,"    but nothing happens,"
402,14,"  sudden successive flights of bullets streak the silence,"
403,14,"  less deadly than the air that shudders black with snow,"
404,14,"  with sidelong flowing flakes that flock, pause and renew,"
405,14,"  we watch them wandering up and down the wind's nonchalance,"
406,14,"    but nothing happens,"
407,14,
408,14,ii
409,14,  pale flakes with lingering stealth come feeling for our faces--
410,14,"  we cringe in holes, back on forgotten dreams, and stare, snow-dazed,"
411,14,"  deep into grassier ditches, so we drowse, sun-dozed,"
412,14,"  littered with blossoms trickling where the blackbird fusses,"
413,14,    is it that we are dying?
414,14,"  slowly our ghosts drag home, glimpsing the sunk fires glozed"
415,14,  with crusted dark-red jewels; crickets jingle there;
416,14,"  for hours the innocent mice rejoice, the house is theirs;"
417,14,"  shutters and doors all closed, on us the doors are closed--"
418,14,"    we turn back to our dying,"
419,14,  since we believe not otherwise can kind fires burn;
420,14,"  now ever suns smile true on child, or field, or fruit,"
421,14,  for god's invincible spring our love is made afraid;
422,14,"  therefore, not loath, we lie out here; therefore were born,"
423,14,"    for love of god seems dying,"
424,14,"  to-night, his frost will fasten on this mud and us,"
425,14,"  shrivelling many hands and puckering foreheads crisp,"
426,14,"  the burying-party, picks and shovels in their shaking grasp,"
427,14,"  pause over half-known faces, all their eyes are ice,"
428,14,"    but nothing happens,"
429,15,leaves
430,15,"            murmuring by miriads in the shimmering trees,"
431,15,lives
432,15,"            wakening with wonder in the pyrenees,"
433,15,birds
434,15,"            cheerily chirping in the early day,"
435,15,bards
436,15,"            singing of summer, scything thro' the hay,"
437,15,bees
438,15,"            shaking the heavy dews from bloom and frond,"
439,15,boys
440,15,"            bursting the surface of the ebony pond,"
441,15,flashes
442,15,"            of swimmers carving thro' the sparkling cold,"
443,15,fleshes
444,15,"            gleaming with wetness to the morning gold,"
445,15,a mead
446,15,"            bordered about with warbling water brooks,"
447,15,a maid
448,15,"            laughing the love-laugh with me; proud of looks,"
449,15,the heat
450,15,"            throbbing between the upland and the peak,"
451,15,her heart
452,15,"            quivering with passion to my pressed cheek,"
453,15,braiding
454,15,"            of floating flames across the mountain brow,"
455,15,brooding
456,15,"            of stillness; and a sighing of the bough,"
457,15,stirs
458,15,            of leaflets in the gloom; soft petal-showers;
459,15,stars
460,15,"            expanding with the starr'd nocturnal flowers,"
461,16, move him into the sun--
462,16,"gently its touch awoke him once,"
463,16,"at home, whispering of fields unsown,"
464,16,"always it awoke him, even in france,"
465,16,"until this morning and this snow,"
466,16,if anything might rouse him now
467,16,"the kind old sun will know,"
468,16,think how it wakes the seeds--
469,16,"woke, once, the clays of a cold star,"
470,16,"  are limbs so dear-achieved, are sides"
471,16,"  full-nerved,--still warm,--too hard to stir?"
472,16,  was it for this the clay grew tall?
473,16,  --o what made fatuous sunbeams toil
474,16,  to break earth's sleep at all?
475,17,red lips are not so red
476,17,"as the stained stones kissed by the english dead,"
477,17,kindness of wooed and wooer
478,17,"seems shame to their love pure,"
479,17,"o love, your eyes lose lure"
480,17,when i behold eyes blinded in my stead!
481,17,
482,17,your slender attitude
483,17,"trembles not exquisite like limbs knife-skewed,"
484,17,rolling and rolling there
485,17,where god seems not to care;
486,17,till the fierce love they bear
487,17,"cramps them in death's extreme decrepitude,"
488,17,
489,17,"your voice sings not so soft,-"
490,17,"though even as wind murmuring through raftered loft,-"
491,17,"your dear voice is not dear,"
492,17,"gentle, and evening clear,"
493,17,"as theirs whom none now hear,"
494,17,"now earth has stopped their piteous mouths that coughed,"
495,17,
496,17,"heart, you were never hot"
497,17,"nor large, nor full like hearts made great with shot;"
498,17,"and though your hand be pale,"
499,17,paler are all which trail
500,17,"your cross through flame and hail,"
501,17,"weep, you may weep, for you may touch them not,"
502,18,"ever again to breathe pure happiness,"
503,18,so happy that we gave away our toy?
504,18,"we smiled at nothings, needing no caress?"
505,18,have we not laughed too often since with joy?
506,18,have we not stolen too strange and sorrowful wrongs
507,18,"for her hands' pardoning? the sun may cleanse,"
508,18,"and time, and starlight, life will sing great songs,"
509,18,"and gods will show us pleasures more than men's,"
510,18,
