,doc_id,sentence
0,0,"but in the wine-presses the human grapes sing not nor dance,"
1,0,"   they howl and writhe in shoals of torment, in fierce flames consuming,"
2,0,"   in chains of iron and in dungeons circled with ceaseless fires,"
3,0,"   in pits and dens and shades of death, in shapes of torment and woe,"
4,0,   the plates and screws and racks and saws and cords and fires and cisterns
5,0,"   the cruel joys of luvah's daughters, lacerating with knives"
6,0,"   and whips their victims, and the deadly sport of luvah's sons,"
7,0,
8,0,"   they dance around the dying and they drink the howl and groan,"
9,0,"   they catch the shrieks in cups of gold, they hand them to one another,"
10,0,"  these are the sports of love, and these the sweet delights of amorous play,"
11,0,"  tears of the grape, the death sweat of the cluster, the last sigh"
12,0,"  of the mild youth who listens to the luring songs of luvah,----"
13,1,"sweet dreams form a shade,"
14,1,"o'er my lovely infants head,"
15,1,"sweet dreams of pleasant streams,"
16,1,by happy silent moony beams
17,1,
18,1,"sweet sleep with soft down,"
19,1,"weave thy brows an infant crown,"
20,1,"sweet sleep angel mild,"
21,1,"hover o'er my happy child,"
22,1,
23,1,"sweet smiles in the night,"
24,1,"hover over my delight,"
25,1,"sweet smiles mothers smiles,"
26,1,"all the livelong night beguiles,"
27,1,
28,1,"sweet moans, dovelike sighs,"
29,1,"chase not slumber from thy eyes,"
30,1,"sweet moans, sweeter smiles,"
31,1,"all the dovelike moans beguiles,"
32,1,
33,1,"sleep sleep happy child,"
34,1,"all creation slept and smil'd,"
35,1,"sleep sleep, happy sleep,"
36,1,while o'er thee thy mother weep
37,1,
38,1,"sweet babe in thy face,"
39,1,"holy image i can trace,"
40,1,"sweet babe once like thee,"
41,1,thy maker lay and wept for me
42,1,
43,1,"wept for me for thee for all,"
44,1,"when he was an infant small,"
45,1,"thou his image ever see,"
46,1,"heavenly face that smiles on thee,"
47,1,
48,1,"smiles on thee on me on all,"
49,1,"who became an infant small,"
50,1,"infant smiles are his own smiles,"
51,1,"heaven & earth to peace beguiles,"
52,2,"cruelty has a human heart,"
53,2,  and jealousy a human face;
54,2,"terror the human form divine,"
55,2,"  and secresy the human dress,"
56,2,
57,2,"the human dress is forged iron,"
58,2,"  the human form a fiery forge,"
59,2,"the human face a furnace sealed,"
60,2,"  the human heart its hungry gorge,"
61,3,once a dream did weave a shade
62,3,"o'er my angel-guarded bed,"
63,3,that an emmet lost its way
64,3,"where on grass methought i lay,"
65,3,
66,3,"troubled, wildered, and forlorn,"
67,3,"dark, benighted, travel-worn,"
68,3,"over many a tangle spray,"
69,3,"all heart-broke, i heard her say,"
70,3,
71,3,"oh my children! do they cry,"
72,3,do they hear their father sigh?
73,3,"now they look abroad to see,"
74,3,"now return and weep for me,"
75,3,
76,3,"pitying, i dropped a tear,"
77,3,"but i saw a glow-worm near,"
78,3,"who replied, what wailing wight"
79,3,calls the watchman of the night?
80,3,
81,3,"i am set to light the ground,"
82,3,"while the beetle goes his round,"
