,doc_id,sentence
0,0,"'tis said, that some have died for love,"
1,0,and here and there a churchyard grave is found
2,0,"in the cold north's unhallowed ground,"
3,0,"because the wretched man himself had slain,"
4,0,"his love was such a grievous pain,"
5,0,and there is one whom i five years have known;
6,0,he dwells alone
7,0,"upon helvellyn's side,"
8,0,he loved--the pretty barbara died;
9,0,"and thus he makes his moan,"
10,0,three years had barbara in her grave been laid
11,0,"when thus his moan he made,"
12,0,
13,0,"oh, move, thou cottage, from behind that oak!"
14,0,"or let the aged tree uprooted lie,"
15,0,that in some other way yon smoke
16,0,may mount into the sky!
17,0,"the clouds pass on; they from the heavens depart,"
18,0,i look--the sky is empty space;
19,0,i know not what i trace;
20,0,"but when i cease to look, my hand is on my heart,"
21,0,
22,0,"oh! what a weight is in these shades! ye leaves,"
23,0,"that murmur once so dear, when will it cease?"
24,0,"your sound my heart of rest bereaves,"
25,0,"it robs my heart of peace,"
26,0,"thou thrush, that singest loud--and loud and free,"
27,0,"into yon row of willows flit,"
28,0,upon that alder sit;
29,0,"or sing another song, or choose another tree,"
30,0,
31,0,"roll back, sweet rill! back to thy mountain-bounds,"
32,0,and there for ever be thy waters chained!
33,0,for thou dost haunt the air with sounds
34,0,that cannot be sustained;
35,0,if still beneath that pine-tree's ragged bough
36,0,"headlong yon waterfall must come,"
37,0,oh let it then be dumb!
38,0,"be anything, sweet rill, but that which thou art now,"
39,0,
40,0,"thou eglantine, so bright with sunny showers,"
41,0,"proud as a rainbow spanning half the vale,"
42,0,"thou one fair shrub, oh! shed thy flowers,"
43,0,"and stir not in the gale,"
44,0,"for thus to see thee nodding in the air,"
45,0,"to see thy arch thus stretch and bend,"
46,0,"thus rise and thus descend,--"
47,0,"disturbs me till the sight is more than i can dear,"
48,0,
49,0,the man who makes this feverish complaint
50,0,"is one of giant stature, who could dance"
51,0,"equipped from head to foot in iron mail,"
52,0,ah gentle love! if ever thought was thine
53,0,"to store up kindred hours for me, thy face"
54,0,"turn from me, gentle love! nor let me walk"
55,0,"within the sound of emma's voice, nor know"
56,0,"such happiness as i have known to-day,"
57,1,i marvel how nature could ever find space
58,1,"for so many strange contrasts in one human face,"
59,1,"there's thought and no thought, and there's paleness and bloom"
60,1,"and bustle and sluggishness, pleasure and gloom,"
61,1,
62,1,"there's weakness, and strength both redundant and vain;"
63,1,"such strength as, if ever affliction and pain"
64,1,"could pierce through a temper that's soft to disease,"
65,1,"would be rational peace--a philosopher's ease,"
66,1,
67,1,"there's indifference, alike when he fails or succeeds,"
68,1,and attention full ten times as much as there needs;
69,1,"pride where there's no envy, there's so much of joy;"
70,1,"and mildness, and spirit both forward and coy,"
71,1,
72,1,"there's freedom, and sometimes a diffident stare"
73,1,"of shame scarcely seeming to know that she's there,"
74,1,"there's virtue, the title it surely may claim,"
75,1,"yet wants heaven knows what to be worthy the name,"
76,1,
77,1,"this picture from nature may seem to depart,"
78,1,yet the man would at once run away with your heart;
79,1,and i for five centuries right gladly would be
80,1,"such an odd such a kind happy creature as he,"
81,2,there is a change--and i am poor;
82,2,"your love hath been, nor long ago,"
83,2,"a fountain at my fond heart's door,"
84,2,whose only business was to flow;
85,2,and flow it did; not taking heed
86,2,"of its own bounty, or my need,"
87,2,what happy moments did i count!
88,2,blest was i then all bliss above!
89,2,"now, for that consecrated fount"
90,2,"of murmuring, sparkling, living love,"
91,2,what have i? shall i dare to tell?
92,2,"a comfortless and hidden well,"
93,2,
94,2,a well of love--it may be deep--
95,2,"i trust it is,--and never dry,"
96,2,what matter? if the waters sleep
97,2,"in silence and obscurity,"
98,2,"--such change, and at the very door"
99,2,"of my fond heart, hath made me poor,"
100,3,"a narrow girdle of rough stones and crags,"
101,3,"a rude and natural causeway, interposed"
102,3,between the water and a winding slope
103,3,"of copse and thicket, leaves the eastern shore"
104,3,"of grasmere safe in its own privacy,"
105,3,"and there myself and two beloved friends,"
106,3,"one calm september morning, ere the mist"
107,3,"had altogether yielded to the sun,"
108,3,"sauntered on this retired and difficult way,"
109,3,----ill suits the road with one in haste; but we
110,3,"played with our time; and, as we strolled along,"
111,3,it was our occupation to observe
112,3,such objects as the waves had tossed ashore--
113,3,"feather, or leaf, or weed, or withered bough,"
114,3,"each on the other heaped, along the line"
115,3,"of the dry wreck, and, in our vacant mood,"
116,3,not seldom did we stop to watch some tuft
117,3,"of dandelion seed or thistle's beard,"
118,3,"that skimmed the surface of the dead calm lake,"
119,3,suddenly halting now--a lifeless stand!
120,3,and starting off again with freak as sudden;
121,3,"in all its sportive wanderings, all the while,"
122,3,making report of an invisible breeze
123,3,"that was its wings, its chariot, and its horse,"
124,3,"its playmate, rather say, its moving soul,"
125,3,"--and often, trifling with a privilege"
126,3,"alike indulged to all, we paused, one now,"
127,3,"and now the other, to point out, perchance"
128,3,"to pluck, some flower or water-weed, too fair"
129,3,either to be divided from the place
130,3,"on which it grew, or to be left alone"
131,3,"to its own beauty, many such there are,"
132,3,"fair ferns and flowers, and chiefly that tall fern,"
133,3,"so stately, of the queen osmunda named;"
134,3,"plant lovelier, in its own retired abode"
135,3,"on grasmere's beach, than naiad by the side"
136,3,"of grecian brook, or lady of the mere,"
137,3,"sole-sitting by the shores of old romance,"
138,3,"--so fared we that bright morning, from the fields"
139,3,"meanwhile, a noise was heard, the busy mirth"
140,3,"of reapers, men and women, boys and girls,"
141,3,"delighted much to listen to those sounds,"
142,3,"and feeding thus our fancies, we advanced"
143,3,"along the indented shore; when suddenly,"
144,3,through a thin veil of glittering haze was seen
145,3,"before us, on a point of jutting land,"
146,3,the tall and upright figure of a man
147,3,"attired in peasant's garb, who stood alone,"
148,3,"angling beside the margin of the lake,"
149,3,"improvident and reckless, we exclaimed,"
150,3,"the man must be, who thus can lose a day"
151,3,"of the mid harvest, when the labourer's hire"
152,3,"is ample, and some little might be stored"
153,3,"wherewith to cheer him in the winter time,"
154,3,"thus talking of that peasant, we approached"
155,3,close to the spot where with his rod and line
156,3,he stood alone; whereat he turned his head
157,3,to greet us--and we saw a mam worn down
158,3,"by sickness, gaunt and lean, with sunken cheeks"
159,3,"and wasted limbs, his legs so long and lean"
160,3,"that for my single self i looked at them,"
161,3,"forgetful of the body they sustained,--"
162,3,"too weak to labour in the harvest field,"
163,3,the man was using his best skill to gain
164,3,a pittance from the dead unfeeling lake
165,3,"that knew not of his wants, i will not say"
166,3,"what thoughts immediately were ours, nor how"
167,3,"the happy idleness of that sweet morn,"
168,3,"with all its lovely images, was changed"
169,3,"to serious musing and to self-reproach,"
170,3,nor did we fail to see within ourselves
171,3,"what need there is to be reserved in speech,"
172,3,"and temper all our thoughts with charity,"
173,3,"--therefore, unwilling to forget that day,"
174,3,"my friend, myself, and she who then received"
175,3,"the same admonishment, have called the place"
176,3,"by a memorial name, uncouth indeed"
177,3,as e'er by mariner was given to bay
178,3,"or foreland, on a new-discovered coast;"
179,3,"and point rash-judgment is the name it bears,"
180,4,lo! where the moon along the sky
181,4,sails with her happy destiny;
182,4,oft is she hid from mortal eye
183,4,"or dimly seen,"
184,4,but when the clouds asunder fly
